# bkwdrd throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	39.5	70.35	78.88	81.83	68.9	83.39	79.56	80.96	80.12	80.99	82.7	84.21	84.56								
Block size [kB] = 4 Run=2	43.95	67.31	72.35	54.73	68.02	69.83	57.13	78.41	79.3	81.85	82.87	83.81	83.92								
Block size [kB] = 4 Run=3	66.12	71.73	79.36	51.91	72.68	73.88	79.01	80.85	81.65	80.44	83.54	83.7	84.13								
Block size [kB] = 4 Run=4	52.04	35.86	72.67	73.19	72.16	76.97	77.54	74.89	77.79	80.87	78.97	80.92	80.75								
Block size [kB] = 4 Run=5	57.33	70.96	73.0	76.97	70.13	72.59	80.85	78.06	78.38	81.03	82.22	83.88	84.24								
Block size [kB] = 8 Run=1		110.03	112.45	134.18	130.43	133.96	129.54	121.84	113.31	125.05	137.33	129.96	136.07								
Block size [kB] = 8 Run=2		98.76	89.8	106.58	93.43	74.32	107.9	118.42	115.48	129.26	123.79	141.56	142.12								
Block size [kB] = 8 Run=3		100.27	127.05	111.95	116.83	113.22	119.89	120.51	126.66	134.09	134.2	137.86	139.08								
Block size [kB] = 8 Run=4		92.09	110.18	124.03	114.48	99.21	109.07	120.86	121.97	121.85	134.55	140.35	140.06								
Block size [kB] = 8 Run=5		96.43	98.88	93.3	119.27	118.59	122.56	122.55	123.0	131.79	123.25	141.14	126.53								
Block size [kB] = 16 Run=1			175.79	191.68	210.42	211.51	209.22	211.07	204.88	206.85	212.7	214.71	219.27								
Block size [kB] = 16 Run=2			169.87	170.93	133.28	198.68	172.18	205.59	199.48	205.21	209.78	207.81	214.91								
Block size [kB] = 16 Run=3			157.99	172.51	217.76	179.07	205.45	204.84	206.9	206.55	208.24	211.86	215.32								
Block size [kB] = 16 Run=4			147.34	167.22	183.86	178.04	181.29	192.31	205.34	205.4	203.56	211.05	206.91								
Block size [kB] = 16 Run=5			166.42	192.81	139.45	175.83	189.83	191.35	189.86	211.87	209.9	212.69	214.56								
Block size [kB] = 32 Run=1				260.68	302.08	262.69	307.16	335.98	335.01	331.4	328.68	333.54	339.52								
Block size [kB] = 32 Run=2				276.64	263.78	225.23	281.51	300.67	317.25	309.5	330.52	326.0	337.2								
Block size [kB] = 32 Run=3				267.05	304.89	328.95	301.94	320.28	321.33	315.02	322.19	321.95	335.63								
Block size [kB] = 32 Run=4				247.86	203.56	263.75	281.28	282.0	304.78	292.78	322.19	326.34	328.68								
Block size [kB] = 32 Run=5				105.63	190.54	317.98	290.0	286.03	318.48	320.88	322.89	326.17	332.31								
Block size [kB] = 64 Run=1					273.98	443.26	380.5	435.11	445.41	458.6	461.09	463.8	462.87	486.02	479.71	478.06	481.51	52.75	33.27	28.22	25.51
Block size [kB] = 64 Run=2					328.99	430.87	388.82	343.41	438.06	422.67	453.0	456.1	473.42	474.87	457.08	461.86	463.77	69.79	34.04	27.78	25.89
Block size [kB] = 64 Run=3					381.13	401.81	355.11	417.03	450.04	463.18	443.12	447.95	452.49	477.13	463.1	461.13	462.22	65.34	33.36	28.2	25.75
