# bkwdrd throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	47.65	52.78	69.73	66.51	65.59	69.02	77.11	79.73	79.63	80.33	81.07	79.42	80.51								
Block size [kB] = 4 Run=2	48.21	50.04	55.97	72.83	66.77	69.21	77.28	79.15	79.69	80.21	79.67	80.4	80.09								
Block size [kB] = 4 Run=3	17.2	43.94	58.95	69.58	67.71	76.6	66.84	75.69	78.58	79.63	79.7	80.42	79.75								
Block size [kB] = 4 Run=4	52.04	28.3	53.9	69.43	67.79	77.88	73.75	80.59	81.07	79.61	80.15	80.68	80.6								
Block size [kB] = 4 Run=5	48.79	42.46	72.35	69.91	67.0	71.97	82.18	79.73	78.86	80.13	79.72	79.97	79.18								
Block size [kB] = 8 Run=1		80.55	108.54	120.16	97.21	115.84	118.82	124.68	118.2	121.57	121.84	121.36	126.89								
Block size [kB] = 8 Run=2		38.88	42.23	97.97	114.03	108.51	120.47	114.23	119.84	126.05	131.31	121.33	142.83								
Block size [kB] = 8 Run=3		82.37	49.28	107.72	88.03	103.82	116.01	110.62	117.46	128.73	137.16	133.26	142.98								
Block size [kB] = 8 Run=4		101.51	50.38	100.76	91.38	114.58	111.46	121.1	115.86	119.55	134.11	120.93	123.46								
Block size [kB] = 8 Run=5		73.01	53.51	81.37	87.3	106.65	113.32	122.25	102.07	123.3	121.26	138.46	124.23								
Block size [kB] = 16 Run=1			173.46	201.71	113.0	169.35	186.42	209.63	202.3	198.04	208.73	206.24	208.28								
Block size [kB] = 16 Run=2			66.82	149.49	128.58	199.06	189.83	198.97	197.51	199.78	205.1	208.5	206.39								
Block size [kB] = 16 Run=3			63.76	168.95	180.07	173.39	200.16	190.19	200.52	204.33	197.2	206.71	228.12								
Block size [kB] = 16 Run=4			157.99	171.6	176.55	172.13	208.51	190.39	201.78	202.96	203.44	204.58	223.7								
Block size [kB] = 16 Run=5			173.92	151.74	191.79	164.05	197.81	195.38	202.06	203.89	204.6	207.43	206.5								
Block size [kB] = 32 Run=1				283.82	249.94	279.05	283.8	291.04	324.69	327.0	323.55	329.08	325.13								
Block size [kB] = 32 Run=2				253.62	173.17	326.5	318.44	316.27	311.13	309.07	325.52	323.17	328.3								
Block size [kB] = 32 Run=3				228.42	177.03	217.02	249.49	301.93	319.69	305.43	322.22	324.52	330.01								
Block size [kB] = 32 Run=4				195.39	253.08	206.92	279.34	287.01	303.59	318.11	318.62	326.4	330.25								
Block size [kB] = 32 Run=5				195.39	239.44	315.68	271.74	289.67	311.52	311.61	320.33	308.21	327.9								
Block size [kB] = 64 Run=1					402.8	388.13	475.16	447.27	426.08	456.63	458.13	445.58	453.37	464.83	461.48	475.73	480.87	54.16	32.34	27.59	26.1
Block size [kB] = 64 Run=2					280.13	265.35	425.94	424.88	434.25	439.57	434.22	456.39	456.14	459.57	460.65	467.7	470.96	73.44	33.21	28.21	25.71
Block size [kB] = 64 Run=3					293.29	258.29	423.02	338.97	402.42	426.17	443.9	448.71	456.19	465.8	467.0	471.56	477.76	72.51	32.95	27.45	25.4
Block size [kB] = 64 Run=4					296.27	378.87	315.28	396.83	426.78	425.71	443.8	450.55	457.17	455.78	462.52	469.02	471.29	73.16	33.52	27.57	25.35
Block size [kB] = 64 Run=5					285.62	365.41	396.32	421.64	399.65	433.55	447.23	449.59	450.3	453.66	455.82	460.37	466.88	75.67	33.1	27.48	26.12
Block size [kB] = 128 Run=1						475.41	431.72	567.44	610.54	609.96	514.59	576.99	520.09	525.43	520.87	540.79	544.97	86.71	48.07	40.02	35.95
Block size [kB] = 128 Run=2						432.65	542.51	527.35	548.58	563.19	571.82	524.93	521.8	525.37	517.72	530.12	535.68	90.1	48.35	39.32	36.53
Block size [kB] = 128 Run=3						468.2	400.71	501.97	543.53	598.3	541.64	526.11	526.02	531.11	537.49	529.8	528.76	90.22	48.16	39.72	35.67
Block size [kB] = 128 Run=4						498.46	519.92	363.91	460.37	521.52	553.25	523.9	519.75	523.15	530.75	538.04	541.07	91.52	46.36	39.92	35.86
Block size [kB] = 128 Run=5						295.41	391.29	507.19	519.17	544.23	574.8	548.65	523.03	524.67	528.59	530.75	540.04	85.06	47.96	40.07	35.81
