# bkwdrd throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	39.5												
File size [kB] = 4 Run=2	43.95												
File size [kB] = 4 Run=3	66.12												
File size [kB] = 4 Run=4	52.04												
File size [kB] = 4 Run=5	57.33												
File size [kB] = 8 Run=1	70.35	110.03											
File size [kB] = 8 Run=2	67.31	98.76											
File size [kB] = 8 Run=3	71.73	100.27											
File size [kB] = 8 Run=4	35.86	92.09											
File size [kB] = 8 Run=5	70.96	96.43											
File size [kB] = 16 Run=1	78.88	112.45	175.79										
File size [kB] = 16 Run=2	72.35	89.8	169.87										
File size [kB] = 16 Run=3	79.36	127.05	157.99										
File size [kB] = 16 Run=4	72.67	110.18	147.34										
File size [kB] = 16 Run=5	73.0	98.88	166.42										
File size [kB] = 32 Run=1	81.83	134.18	191.68	260.68									
File size [kB] = 32 Run=2	54.73	106.58	170.93	276.64									
File size [kB] = 32 Run=3	51.91	111.95	172.51	267.05									
File size [kB] = 32 Run=4	73.19	124.03	167.22	247.86									
File size [kB] = 32 Run=5	76.97	93.3	192.81	105.63									
File size [kB] = 64 Run=1	68.9	130.43	210.42	302.08	273.98								
File size [kB] = 64 Run=2	68.02	93.43	133.28	263.78	328.99								
File size [kB] = 64 Run=3	72.68	116.83	217.76	304.89	381.13								
File size [kB] = 64 Run=4	72.16	114.48	183.86	203.56	332.33								
File size [kB] = 64 Run=5	70.13	119.27	139.45	190.54	337.9								
File size [kB] = 128 Run=1	83.39	133.96	211.51	262.69	443.26	503.73							
File size [kB] = 128 Run=2	69.83	74.32	198.68	225.23	430.87	455.98							
File size [kB] = 128 Run=3	73.88	113.22	179.07	328.95	401.81	486.44							
File size [kB] = 128 Run=4	76.97	99.21	178.04	263.75	366.43	417.82							
File size [kB] = 128 Run=5	72.59	118.59	175.83	317.98	250.52	426.66							
File size [kB] = 256 Run=1	79.56	129.54	209.22	307.16	380.5	578.75	565.63						
File size [kB] = 256 Run=2	57.13	107.9	172.18	281.51	388.82	388.1	378.71						
File size [kB] = 256 Run=3	79.01	119.89	205.45	301.94	355.11	405.83	520.95						
File size [kB] = 256 Run=4	77.54	109.07	181.29	281.28	399.33	496.06	511.3						
File size [kB] = 256 Run=5	80.85	122.56	189.83	290.0	340.14	396.77	464.83						
File size [kB] = 512 Run=1	80.96	121.84	211.07	335.98	435.11	529.61	498.51	484.58					
File size [kB] = 512 Run=2	78.41	118.42	205.59	300.67	343.41	453.26	446.03	461.24					
File size [kB] = 512 Run=3	80.85	120.51	204.84	320.28	417.03	493.12	492.54	476.65					
File size [kB] = 512 Run=4	74.89	120.86	192.31	282.0	459.52	472.14	441.24	456.62					
File size [kB] = 512 Run=5	78.06	122.55	191.35	286.03	401.61	488.3	447.65	452.09					
File size [kB] = 1024 Run=1	80.12	113.31	204.88	335.01	445.41	590.26	544.09	503.77	506.08				
File size [kB] = 1024 Run=2	79.3	115.48	199.48	317.25	438.06	503.53	519.24	569.2	528.0				
File size [kB] = 1024 Run=3	81.65	126.66	206.9	321.33	450.04	580.06	573.71	489.71	493.34				
File size [kB] = 1024 Run=4	77.79	121.97	205.34	304.78	442.31	513.89	513.58	561.2	492.65				
File size [kB] = 1024 Run=5	78.38	123.0	189.86	318.48	459.56	539.96	514.9	519.17	463.62				
File size [kB] = 2048 Run=1	80.99	125.05	206.85	331.4	458.6	569.0	580.57	579.37	572.37	522.04			
File size [kB] = 2048 Run=2	81.85	129.26	205.21	309.5	422.67	561.0	544.08	473.83	469.48	514.55			
File size [kB] = 2048 Run=3	80.44	134.09	206.55	315.02	463.18	556.95	550.37	571.28	531.77	479.63			
File size [kB] = 2048 Run=4	80.87	121.85	205.4	292.78	446.54	563.87	456.4	531.77	542.43	495.64			
File size [kB] = 2048 Run=5	81.03	131.79	211.87	320.88	440.44	556.17	558.69	544.65	531.33	483.08			
File size [kB] = 4096 Run=1	82.7	137.33	212.7	328.68	461.09	599.43	604.33	635.12	651.45	572.98	543.1		
File size [kB] = 4096 Run=2	82.87	123.79	209.78	330.52	453.0	570.54	573.31	575.22	598.27	523.77	527.07		
File size [kB] = 4096 Run=3	83.54	134.2	208.24	322.19	443.12	559.06	562.51	642.27	624.41	545.11	530.36		
