# bkwdrd throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	47.65												
File size [kB] = 4 Run=2	48.21												
File size [kB] = 4 Run=3	17.2												
File size [kB] = 4 Run=4	52.04												
File size [kB] = 4 Run=5	48.79												
File size [kB] = 8 Run=1	52.78	80.55											
File size [kB] = 8 Run=2	50.04	38.88											
File size [kB] = 8 Run=3	43.94	82.37											
File size [kB] = 8 Run=4	28.3	101.51											
File size [kB] = 8 Run=5	42.46	73.01											
File size [kB] = 16 Run=1	69.73	108.54	173.46										
File size [kB] = 16 Run=2	55.97	42.23	66.82										
File size [kB] = 16 Run=3	58.95	49.28	63.76										
File size [kB] = 16 Run=4	53.9	50.38	157.99										
File size [kB] = 16 Run=5	72.35	53.51	173.92										
File size [kB] = 32 Run=1	66.51	120.16	201.71	283.82									
File size [kB] = 32 Run=2	72.83	97.97	149.49	253.62									
File size [kB] = 32 Run=3	69.58	107.72	168.95	228.42									
File size [kB] = 32 Run=4	69.43	100.76	171.6	195.39									
File size [kB] = 32 Run=5	69.91	81.37	151.74	195.39									
File size [kB] = 64 Run=1	65.59	97.21	113.0	249.94	402.8								
File size [kB] = 64 Run=2	66.77	114.03	128.58	173.17	280.13								
File size [kB] = 64 Run=3	67.71	88.03	180.07	177.03	293.29								
File size [kB] = 64 Run=4	67.79	91.38	176.55	253.08	296.27								
File size [kB] = 64 Run=5	67.0	87.3	191.79	239.44	285.62								
File size [kB] = 128 Run=1	69.02	115.84	169.35	279.05	388.13	475.41							
File size [kB] = 128 Run=2	69.21	108.51	199.06	326.5	265.35	432.65							
File size [kB] = 128 Run=3	76.6	103.82	173.39	217.02	258.29	468.2							
File size [kB] = 128 Run=4	77.88	114.58	172.13	206.92	378.87	498.46							
File size [kB] = 128 Run=5	71.97	106.65	164.05	315.68	365.41	295.41							
File size [kB] = 256 Run=1	77.11	118.82	186.42	283.8	475.16	431.72	523.03						
File size [kB] = 256 Run=2	77.28	120.47	189.83	318.44	425.94	542.51	406.46						
File size [kB] = 256 Run=3	66.84	116.01	200.16	249.49	423.02	400.71	477.1						
