# comparison of averages for iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite baseline	iwrite set1	rewrite baseline	rewrite set1	iread baseline	iread set1	reread baseline	reread set1	randrd baseline	randrd set1	randwr baseline	randwr set1	bkwdrd baseline	bkwdrd set1	recrewr baseline	recrewr set1	striderd baseline	striderd set1	fwrite baseline	fwrite set1	frewrite baseline	frewrite set1	fread baseline	fread set1	freread baseline	freread set1
Filesize[kB] = 4 Block size [kB] = 4	163.86	187.53	235.93	324.19	442.01	490.36	696.18	671.0	63.1	51.65	236.89	306.75	51.79	42.78	266.36	355.56	60.98	52.21	225.78	287.86	271.75	396.06	53.83	42.8	56.51	54.65
Filesize[kB] = 8 Block size [kB] = 4	304.22	280.53	304.03	345.4	921.13	889.83	933.45	660.51	98.75	87.57	335.58	377.23	63.24	43.5	387.47	438.14	95.24	92.28	458.17	496.44	485.57	680.68	105.02	78.99	104.49	76.06
Filesize[kB] = 8 Block size [kB] = 8	338.99	333.67	383.92	480.23	859.04	779.64	812.37	737.53	87.92	68.2	331.64	366.87	99.52	75.26	422.86	512.28	99.81	61.48	412.5	459.65	407.93	525.25	100.7	96.94	101.51	76.09
Filesize[kB] = 16 Block size [kB] = 4	480.48	486.73	424.84	510.53	1179.72	940.18	1329.71	1046.87	142.31	131.61	474.59	459.94	75.25	62.18	645.39	777.83	151.23	145.51	466.02	616.48	637.65	680.93	169.46	124.12	164.22	112.83
Filesize[kB] = 16 Block size [kB] = 8	430.45	576.84	622.7	586.61	1176.5	1046.8	1116.51	980.79	146.8	136.99	517.83	623.52	107.67	60.79	588.92	816.95	141.33	154.0	661.06	737.42	706.56	654.2	145.82	129.58	162.65	168.96
Filesize[kB] = 16 Block size [kB] = 16	510.03	616.11	621.93	714.42	950.89	841.9	926.87	1007.63	167.88	156.61	436.05	565.71	163.48	127.19	548.33	698.37	145.73	142.6	629.91	719.49	604.87	757.07	173.37	157.07	145.41	135.12
Filesize[kB] = 32 Block size [kB] = 4	505.83	650.24	715.48	704.29	359.62	293.24	326.93	334.75	60.11	56.24	628.46	641.04	67.73	69.65	703.07	899.55	318.62	311.09	581.03	725.37	754.55	759.93	189.19	145.88	163.56	145.97
Filesize[kB] = 32 Block size [kB] = 8	707.88	778.65	739.06	782.04	326.72	267.0	344.28	328.13	136.46	123.95	725.53	705.88	114.01	101.6	966.03	995.5	270.37	285.93	723.56	846.79	726.4	907.96	179.8	163.8	186.22	169.26
Filesize[kB] = 32 Block size [kB] = 16	657.97	836.47	852.87	881.5	269.63	302.55	304.55	326.85	236.71	177.52	632.49	604.65	179.03	168.7	907.86	1129.68	270.07	275.87	932.63	982.61	937.65	1073.22	275.39	244.58	265.5	232.66
Filesize[kB] = 32 Block size [kB] = 32	638.97	888.77	811.28	968.89	329.58	267.57	339.21	321.89	218.81	207.19	681.77	733.57	231.57	231.33	871.93	701.76	221.16	268.52	718.91	956.94	902.79	1049.32	256.82	222.86	227.98	221.42
