# fread throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	65.07	118.38	177.7	188.37	294.61	263.62	385.82	421.98	545.22	566.23	589.61	783.23	857.62								
Block size [kB] = 4 Run=2	53.58	126.13	159.53	197.75	304.89	191.43	415.97	444.9	528.53	517.76	580.21	707.28	844.73								
Block size [kB] = 4 Run=3	56.73	96.43	175.32	153.88	297.62	286.68	451.23	462.15	515.73	557.87	530.64	688.0	829.57								
Block size [kB] = 4 Run=4	54.29	95.31	185.76	201.4	261.67	285.43	273.51	380.28	455.37	517.6	565.46	731.74	822.24								
Block size [kB] = 4 Run=5	39.5	88.85	149.01	204.54	263.78	340.71	356.08	289.35	458.5	539.36	542.88	644.49	833.29								
Block size [kB] = 8 Run=1		107.15	183.67	193.95	306.31	376.7	384.12	516.56	539.4	604.98	668.13	805.4	877.39								
Block size [kB] = 8 Run=2		96.43	156.11	174.57	318.99	246.05	359.74	491.16	548.5	543.77	620.17	773.25	879.75								
Block size [kB] = 8 Run=3		99.05	164.33	190.57	311.04	379.97	383.98	553.66	610.81	583.77	598.8	766.8	872.08								
Block size [kB] = 8 Run=4		110.03	156.48	174.57	276.58	172.19	381.19	443.2	491.9	555.54	611.35	773.25	868.39								
Block size [kB] = 8 Run=5		90.82	68.49	165.33	309.57	238.12	448.91	545.31	478.92	560.71	625.02	767.52	877.05								
Block size [kB] = 16 Run=1			177.7	274.32	318.99	341.6	435.49	488.75	571.45	583.4	695.52	821.95	928.88								
Block size [kB] = 16 Run=2			159.53	249.75	276.58	273.52	430.31	338.97	503.77	549.43	611.17	766.94	896.92								
Block size [kB] = 16 Run=3			183.67	286.93	296.27	295.57	530.71	533.65	560.83	603.33	599.68	777.0	906.98								
Block size [kB] = 16 Run=4			164.33	278.99	274.26	390.73	312.09	462.05	520.01	549.0	629.61	784.7	892.16								
Block size [kB] = 16 Run=5			181.64	286.93	153.86	308.62	440.8	532.97	478.7	544.79	588.84	753.44	887.7								
Block size [kB] = 32 Run=1				278.99	422.26	452.83	624.97	561.21	639.0	621.48	660.81	827.81	946.92								
Block size [kB] = 32 Run=2				251.67	367.76	401.81	305.99	494.05	542.33	577.22	644.83	785.86	920.7								
Block size [kB] = 32 Run=3				262.77	393.13	443.26	602.35	552.49	585.49	595.41	620.35	785.47	902.88								
Block size [kB] = 32 Run=4				234.56	357.24	307.9	394.97	520.8	618.83	567.23	640.11	802.17	875.75								
Block size [kB] = 32 Run=5				256.1	403.42	401.81	516.59	511.77	573.71	558.65	620.07	757.94	911.36								
Block size [kB] = 64 Run=1					393.13	565.69	608.29	662.23	594.53	613.48	683.17	840.61	932.78	1002.13	1054.94	1075.16	1086.48	71.99	91.3	90.01	93.19
Block size [kB] = 64 Run=2					258.32	315.49	415.97	525.76	413.2	560.71	626.56	745.86	925.17	999.06	1045.27	1058.76	1080.2	85.82	88.46	89.67	92.99
Block size [kB] = 64 Run=3					315.53	536.74	583.9	562.42	588.52	586.71	627.64	763.35	914.6	1011.89	1038.47	1058.77	1074.83	70.98	90.65	91.39	92.57
Block size [kB] = 64 Run=4					352.91	461.19	514.31	559.27	533.37	630.3	651.45	793.03	895.2	976.86	1033.36	1113.53	1070.15	89.86	91.81	98.73	92.75
Block size [kB] = 64 Run=5					167.1	306.28	390.7	490.13	535.27	549.75	614.44	747.17	874.03	993.66	1043.45	1053.5	1073.42	80.18	89.48	99.0	92.86
Block size [kB] = 128 Run=1						484.19	624.97	542.21	627.34	624.39	659.2	803.05	934.74	1006.13	1041.53	1062.92	1081.56	69.69	87.89	90.79	92.76
Block size [kB] = 128 Run=2						451.27	453.57	568.83	614.66	577.22	603.61	763.28	892.31	987.65	1034.98	1056.01	1070.99	68.7	88.02	91.87	92.59
Block size [kB] = 128 Run=3						480.64	428.2	627.36	594.19	588.76	601.23	771.69	912.66	995.3	1024.29	1054.51	1069.33	72.08	88.38	91.12	93.76
Block size [kB] = 128 Run=4						441.76	455.35	457.51	470.33	584.78	633.9	788.96	876.19	999.13	1020.31	1046.45	1060.12	80.04	90.83	90.55	92.84
Block size [kB] = 128 Run=5						497.99	424.56	485.92	558.06	593.09	599.15	754.51	905.95	993.18	1029.19	1045.82	1093.74	67.34	88.89	90.55	94.69
Block size [kB] = 256 Run=1							558.11	536.93	626.5	619.78	634.93	772.88	909.09	1000.54	1030.66	1059.76	1077.62	71.05	88.3	89.4	92.87
