# fread throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	41.6	80.55	141.0	197.75	256.05	382.19	547.04	633.62	761.66	886.11	583.76	687.93	831.3								
Block size [kB] = 4 Run=2	53.58	39.44	164.74	162.66	173.63	338.73	367.69	436.29	462.75	516.51	529.87	715.19	822.66								
Block size [kB] = 4 Run=3	15.26	83.21	169.87	102.5	155.5	351.21	362.23	462.86	478.7	499.74	627.05	699.3	840.83								
Block size [kB] = 4 Run=4	49.98	95.31	80.93	162.06	233.89	291.95	454.56	465.95	492.59	501.0	539.45	696.08	813.29								
Block size [kB] = 4 Run=5	53.58	96.43	64.07	104.46	244.13	205.94	355.59	414.64	457.25	506.72	571.34	747.95	860.07								
Block size [kB] = 8 Run=1		108.57	156.48	209.78	277.75	432.65	608.29	629.62	788.73	874.92	614.15	792.93	895.2								
Block size [kB] = 8 Run=2		95.03	162.7	168.08	274.26	233.66	430.31	467.3	505.04	536.64	641.63	804.74	889.19								
Block size [kB] = 8 Run=3		95.31	162.7	174.57	285.62	263.62	396.92	501.97	537.67	532.92	652.97	796.42	858.83								
Block size [kB] = 8 Run=4		79.0	102.75	167.01	247.12	225.23	493.03	452.87	524.96	557.24	634.81	806.62	910.43								
Block size [kB] = 8 Run=5		106.8	63.27	99.54	281.33	217.38	367.69	405.18	519.69	552.0	650.92	794.91	894.46								
Block size [kB] = 16 Run=1			190.62	303.54	242.32	286.68	445.48	868.1	924.91	953.27	686.81	826.45	943.13								
Block size [kB] = 16 Run=2			161.1	260.16	157.08	382.19	358.14	454.54	463.62	573.74	565.29	790.04	906.16								
Block size [kB] = 16 Run=3			159.53	300.76	267.0	372.15	346.77	462.05	542.89	535.88	700.66	726.08	900.6								
Block size [kB] = 16 Run=4			169.87	198.95	242.99	273.52	411.24	506.09	490.23	543.91	628.83	813.17	890.37								
Block size [kB] = 16 Run=5			104.22	159.49	250.9	437.34	374.25	477.19	513.89	550.22	641.02	800.06	926.14								
Block size [kB] = 32 Run=1				246.0	427.78	336.12	622.0	742.93	853.92	800.61	630.92	834.38	895.2								
Block size [kB] = 32 Run=2				267.05	312.52	290.01	403.17	573.96	567.2	573.04	647.97	840.25	944.57								
Block size [kB] = 32 Run=3				196.57	332.33	383.31	495.12	518.1	562.1	647.68	694.69	772.79	934.64								
Block size [kB] = 32 Run=4				202.96	334.02	459.58	541.11	531.89	534.52	588.93	671.25	846.74	953.4								
Block size [kB] = 32 Run=5				201.71	371.94	290.01	562.9	544.04	521.63	534.04	669.01	736.85	893.36								
Block size [kB] = 64 Run=1					312.52	524.91	458.73	702.37	857.59	969.92	672.92	738.01	941.78	1023.47	1034.91	1077.74	1086.13	144.76	95.44	94.28	98.96
Block size [kB] = 64 Run=2					365.2	328.95	565.63	560.02	525.15	607.17	632.51	816.23	928.39	1027.91	1041.19	1067.49	1083.63	147.49	99.23	107.3	98.03
Block size [kB] = 64 Run=3					219.22	514.61	423.7	609.85	561.8	587.2	756.42	733.06	937.49	1018.33	1035.04	1071.35	1076.42	175.57	95.16	103.09	94.52
Block size [kB] = 64 Run=4					345.47	473.27	419.46	529.08	575.37	569.65	698.82	806.04	935.12	1011.92	1042.91	1070.61	1077.13	152.74	114.84	86.45	99.91
Block size [kB] = 64 Run=5					312.52	512.1	528.57	588.13	536.51	578.69	610.86	772.74	951.81	1005.31	1045.58	1063.71	1059.67	141.27	84.04	96.12	99.15
Block size [kB] = 128 Run=1						478.89	588.49	702.37	659.71	935.0	571.51	833.59	945.85	1011.13	1025.0	1061.95	1080.69	136.92	94.8	92.28	97.76
Block size [kB] = 128 Run=2						475.41	554.27	506.7	573.71	592.21	609.84	764.24	903.75	983.01	1016.49	1059.93	1072.58	157.21	99.75	105.32	97.64
Block size [kB] = 128 Run=3						491.92	547.04	503.06	534.25	637.73	711.24	801.86	887.22	1000.63	1029.98	1067.12	1071.36	147.93	111.08	92.61	94.1
Block size [kB] = 128 Run=4						473.27	502.96	600.25	596.31	633.3	616.43	786.93	890.12	1013.46	1022.61	1058.71	1075.45	149.44	117.43	94.68	98.71
