# fread throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	65.07												
File size [kB] = 4 Run=2	53.58												
File size [kB] = 4 Run=3	56.73												
File size [kB] = 4 Run=4	54.29												
File size [kB] = 4 Run=5	39.5												
File size [kB] = 8 Run=1	118.38	107.15											
File size [kB] = 8 Run=2	126.13	96.43											
File size [kB] = 8 Run=3	96.43	99.05											
File size [kB] = 8 Run=4	95.31	110.03											
File size [kB] = 8 Run=5	88.85	90.82											
File size [kB] = 16 Run=1	177.7	183.67	177.7										
File size [kB] = 16 Run=2	159.53	156.11	159.53										
File size [kB] = 16 Run=3	175.32	164.33	183.67										
File size [kB] = 16 Run=4	185.76	156.48	164.33										
File size [kB] = 16 Run=5	149.01	68.49	181.64										
File size [kB] = 32 Run=1	188.37	193.95	274.32	278.99									
File size [kB] = 32 Run=2	197.75	174.57	249.75	251.67									
File size [kB] = 32 Run=3	153.88	190.57	286.93	262.77									
File size [kB] = 32 Run=4	201.4	174.57	278.99	234.56									
File size [kB] = 32 Run=5	204.54	165.33	286.93	256.1									
File size [kB] = 64 Run=1	294.61	306.31	318.99	422.26	393.13								
File size [kB] = 64 Run=2	304.89	318.99	276.58	367.76	258.32								
File size [kB] = 64 Run=3	297.62	311.04	296.27	393.13	315.53								
File size [kB] = 64 Run=4	261.67	276.58	274.26	357.24	352.91								
File size [kB] = 64 Run=5	263.78	309.57	153.86	403.42	167.1								
File size [kB] = 128 Run=1	263.62	376.7	341.6	452.83	565.69	484.19							
File size [kB] = 128 Run=2	191.43	246.05	273.52	401.81	315.49	451.27							
File size [kB] = 128 Run=3	286.68	379.97	295.57	443.26	536.74	480.64							
File size [kB] = 128 Run=4	285.43	172.19	390.73	307.9	461.19	441.76							
File size [kB] = 128 Run=5	340.71	238.12	308.62	401.81	306.28	497.99							
File size [kB] = 256 Run=1	385.82	384.12	435.49	624.97	608.29	624.97	558.11						
File size [kB] = 256 Run=2	415.97	359.74	430.31	305.99	415.97	453.57	502.24						
File size [kB] = 256 Run=3	451.23	383.98	530.71	602.35	583.9	428.2	519.66						
File size [kB] = 256 Run=4	273.51	381.19	312.09	394.97	514.31	455.35	439.32						
File size [kB] = 256 Run=5	356.08	448.91	440.8	516.59	390.7	424.56	501.04						
File size [kB] = 512 Run=1	421.98	516.56	488.75	561.21	662.23	542.21	536.93	556.15					
File size [kB] = 512 Run=2	444.9	491.16	338.97	494.05	525.76	568.83	512.78	442.08					
File size [kB] = 512 Run=3	462.15	553.66	533.65	552.49	562.42	627.36	528.01	501.49					
File size [kB] = 512 Run=4	380.28	443.2	462.05	520.8	559.27	457.51	510.28	512.78					
File size [kB] = 512 Run=5	289.35	545.31	532.97	511.77	490.13	485.92	524.58	448.8					
File size [kB] = 1024 Run=1	545.22	539.4	571.45	639.0	594.53	627.34	626.5	538.5	506.33				
