# fread throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	41.6												
File size [kB] = 4 Run=2	53.58												
File size [kB] = 4 Run=3	15.26												
File size [kB] = 4 Run=4	49.98												
File size [kB] = 4 Run=5	53.58												
File size [kB] = 8 Run=1	80.55	108.57											
File size [kB] = 8 Run=2	39.44	95.03											
File size [kB] = 8 Run=3	83.21	95.31											
File size [kB] = 8 Run=4	95.31	79.0											
File size [kB] = 8 Run=5	96.43	106.8											
File size [kB] = 16 Run=1	141.0	156.48	190.62										
File size [kB] = 16 Run=2	164.74	162.7	161.1										
File size [kB] = 16 Run=3	169.87	162.7	159.53										
File size [kB] = 16 Run=4	80.93	102.75	169.87										
File size [kB] = 16 Run=5	64.07	63.27	104.22										
File size [kB] = 32 Run=1	197.75	209.78	303.54	246.0									
File size [kB] = 32 Run=2	162.66	168.08	260.16	267.05									
File size [kB] = 32 Run=3	102.5	174.57	300.76	196.57									
File size [kB] = 32 Run=4	162.06	167.01	198.95	202.96									
File size [kB] = 32 Run=5	104.46	99.54	159.49	201.71									
File size [kB] = 64 Run=1	256.05	277.75	242.32	427.78	312.52								
File size [kB] = 64 Run=2	173.63	274.26	157.08	312.52	365.2								
File size [kB] = 64 Run=3	155.5	285.62	267.0	332.33	219.22								
File size [kB] = 64 Run=4	233.89	247.12	242.99	334.02	345.47								
File size [kB] = 64 Run=5	244.13	281.33	250.9	371.94	312.52								
File size [kB] = 128 Run=1	382.19	432.65	286.68	336.12	524.91	478.89							
File size [kB] = 128 Run=2	338.73	233.66	382.19	290.01	328.95	475.41							
File size [kB] = 128 Run=3	351.21	263.62	372.15	383.31	514.61	491.92							
File size [kB] = 128 Run=4	291.95	225.23	273.52	459.58	473.27	473.27							
File size [kB] = 128 Run=5	205.94	217.38	437.34	290.01	512.1	488.25							
File size [kB] = 256 Run=1	547.04	608.29	445.48	622.0	458.73	588.49	507.1						
File size [kB] = 256 Run=2	367.69	430.31	358.14	403.17	565.63	554.27	509.07						
File size [kB] = 256 Run=3	362.23	396.92	346.77	495.12	423.7	547.04	475.16						
File size [kB] = 256 Run=4	454.56	493.03	411.24	541.11	419.46	502.96	388.25						
File size [kB] = 256 Run=5	355.59	367.69	374.25	562.9	528.57	541.11	400.55						
File size [kB] = 512 Run=1	633.62	629.62	868.1	742.93	702.37	702.37	680.27	534.74					
File size [kB] = 512 Run=2	436.29	467.3	454.54	573.96	560.02	506.7	561.21	487.84					
File size [kB] = 512 Run=3	462.86	501.97	462.05	518.1	609.85	503.06	479.37	467.3					
File size [kB] = 512 Run=4	465.95	452.87	506.09	531.89	529.08	600.25	480.36	449.18					
File size [kB] = 512 Run=5	414.64	405.18	477.19	544.04	588.13	494.05	475.24	463.79					
File size [kB] = 1024 Run=1	761.66	788.73	924.91	853.92	857.59	659.71	714.8	698.72	756.44				
File size [kB] = 1024 Run=2	462.75	505.04	463.62	567.2	525.15	573.71	593.1	515.22	513.89				
File size [kB] = 1024 Run=3	478.7	537.67	542.89	562.1	561.8	534.25	530.53	505.53	494.8				
File size [kB] = 1024 Run=4	492.59	524.96	490.23	534.52	575.37	596.31	514.4	510.21	524.37				
File size [kB] = 1024 Run=5	457.25	519.69	513.89	521.63	536.51	555.55	571.13	574.03	456.66				
File size [kB] = 2048 Run=1	886.11	874.92	953.27	800.61	969.92	935.0	924.59	909.55	888.08	832.96			
File size [kB] = 2048 Run=2	516.51	536.64	573.74	573.04	607.17	592.21	547.35	512.54	598.25	508.13			
File size [kB] = 2048 Run=3	499.74	532.92	535.88	647.68	587.2	637.73	637.54	606.43	548.39	495.05			
