# freread throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	66.38	97.87	175.79	190.57	307.75	358.17	411.88	466.36	493.34	551.42	630.61	777.16	879.51								
Block size [kB] = 4 Run=2	15.58	124.21	154.64	173.65	265.92	369.79	362.85	439.4	486.14	518.4	580.55	717.04	822.92								
Block size [kB] = 4 Run=3	67.48	105.77	169.87	198.95	304.89	308.62	459.54	426.96	492.88	520.81	561.47	705.03	840.12								
Block size [kB] = 4 Run=4	70.99	88.85	147.34	141.42	265.92	302.57	325.06	464.61	436.28	513.89	536.19	725.75	826.02								
Block size [kB] = 4 Run=5	62.11	105.77	173.46	113.21	265.92	262.04	363.99	416.03	429.4	542.43	577.63	740.39	821.02								
Block size [kB] = 8 Run=1		105.43	190.62	199.26	303.48	280.4	492.1	510.28	556.51	618.41	663.45	802.64	916.01								
Block size [kB] = 8 Run=2		90.82	161.1	174.57	238.57	253.06	357.66	423.34	550.95	528.12	615.66	759.51	864.68								
Block size [kB] = 8 Run=3		104.09	168.12	184.92	302.08	370.83	372.52	498.99	543.18	601.86	634.4	776.71	898.98								
Block size [kB] = 8 Run=4		118.38	164.33	174.57	165.31	296.91	357.17	448.89	474.59	580.86	603.61	779.05	860.49								
Block size [kB] = 8 Run=5		88.85	129.06	197.75	168.49	394.26	452.79	458.71	478.7	466.09	626.86	764.08	884.36								
Block size [kB] = 16 Run=1			173.92	256.1	90.84	463.23	483.48	495.45	610.9	606.25	687.29	821.61	952.14								
Block size [kB] = 16 Run=2			154.64	289.47	320.54	400.58	420.81	545.88	485.69	541.84	661.59	798.73	897.77								
Block size [kB] = 16 Run=3			65.09	271.48	247.12	368.75	423.7	480.36	529.66	585.31	639.6	794.98	927.91								
Block size [kB] = 16 Run=4			175.79	249.75	204.99	404.6	345.29	444.9	507.86	589.09	616.61	815.5	900.65								
Block size [kB] = 16 Run=5			157.61	260.68	317.06	288.58	379.95	519.76	512.26	570.12	655.75	756.07	901.11								
Block size [kB] = 32 Run=1				269.25	411.01	440.28	512.3	537.07	596.73	576.5	668.34	862.43	956.42								
Block size [kB] = 32 Run=2				252.16	170.24	310.26	393.64	492.2	541.7	553.38	645.9	790.43	920.44								
Block size [kB] = 32 Run=3				281.39	414.26	267.11	545.9	547.59	600.66	608.85	616.52	795.79	917.69								
Block size [kB] = 32 Run=4				70.06	353.39	394.26	502.96	519.76	542.61	544.97	640.72	805.4	922.83								
Block size [kB] = 32 Run=5				267.05	349.15	266.57	509.07	541.79	504.32	576.35	621.13	774.36	902.38								
Block size [kB] = 64 Run=1					402.8	548.53	614.35	628.3	569.82	637.34	709.46	818.5	952.5	1050.46	1072.19	1076.66	1086.35	115.67	120.23	105.9	100.55
Block size [kB] = 64 Run=2					351.02	282.21	403.33	372.57	538.5	568.8	603.5	776.92	925.17	1020.18	1064.54	1091.27	1084.78	152.6	117.7	106.4	100.39
Block size [kB] = 64 Run=3					378.38	543.41	478.84	518.1	619.19	609.96	624.62	794.06	899.33	1000.87	1056.8	1089.24	1078.29	163.52	121.97	105.14	100.04
Block size [kB] = 64 Run=4					124.01	548.53	374.25	495.57	543.81	579.73	628.72	755.36	878.21	1001.57	1041.09	1075.8	1070.34	162.31	121.93	105.73	100.4
Block size [kB] = 64 Run=5					278.93	422.54	516.59	497.45	536.44	556.02	622.37	785.54	916.13	997.84	1064.25	1084.78	1075.44	140.61	120.62	106.73	100.79
Block size [kB] = 128 Run=1						514.11	597.89	541.79	601.26	601.51	619.39	827.04	889.93	1025.87	1043.12	1066.71	1083.71	123.54	120.9	106.91	99.88
Block size [kB] = 128 Run=2						438.44	514.31	562.42	522.8	557.13	599.06	764.31	915.11	997.6	1051.32	1057.68	1072.33	159.06	118.59	106.3	100.22
Block size [kB] = 128 Run=3						502.28	452.21	599.39	585.16	495.41	606.05	777.16	890.91	1000.34	1053.05	1076.32	1068.58	190.09	117.14	104.54	100.35
Block size [kB] = 128 Run=4						432.29	446.43	479.37	557.4	565.28	633.9	800.63	879.99	997.98	1019.93	1052.79	1065.47	148.71	122.06	106.66	100.53
Block size [kB] = 128 Run=5						316.44	527.24	520.28	535.0	573.9	613.32	748.5	900.9	999.84	1047.82	1069.36	1069.34	151.27	117.01	107.11	100.44
Block size [kB] = 256 Run=1							536.41	591.78	537.4	598.98	666.53	804.11	920.07	1021.88	1040.02	1062.07	1073.57	115.02	118.85	105.21	100.32
Block size [kB] = 256 Run=2							445.67	517.71	537.61	546.6	611.8	788.96	910.85	985.59	1049.97	1055.59	1072.68	153.82	118.38	106.12	100.01
Block size [kB] = 256 Run=3							518.63	588.29	518.72	617.45	583.17	760.89	908.63	1000.28	1050.54	1065.96	1067.11	163.55	117.08	105.57	100.92
Block size [kB] = 256 Run=4							380.5	471.61	531.34	558.35	556.65	782.08	876.85	1000.04	1036.63	1061.95	1063.47	144.93	121.93	106.19	100.5
Block size [kB] = 256 Run=5							407.72	515.42	462.5	577.7	615.66	750.54	859.11	992.16	1029.06	1074.67	1068.92	153.48	120.14	106.12	100.46
Block size [kB] = 512 Run=1								496.63	531.07	601.69	626.46	816.33	888.93	1015.75	1063.26	1073.17	1084.49	109.4	116.27	106.5	100.67
Block size [kB] = 512 Run=2								396.23	442.31	522.6	588.51	776.17	905.64	1016.84	1058.12	1066.2	1081.65	160.7	116.47	106.43	100.23
Block size [kB] = 512 Run=3								523.01	550.38	579.37	589.28	773.4	902.17	993.21	1057.68	1077.28	1074.28	149.91	120.69	105.89	100.15
Block size [kB] = 512 Run=4								378.49	558.36	545.25	582.77	798.01	911.52	994.07	1028.74	1055.44	1072.44	153.41	123.16	107.3	100.03
Block size [kB] = 512 Run=5								490.7	489.26	536.64	582.42	756.64	911.83	976.53	1046.16	1054.04	1076.25	156.36	121.34	107.83	100.57
Block size [kB] = 1024 Run=1									499.21	608.85	635.22	783.16	928.95	1014.08	1062.86	1067.48	1082.32	112.23	117.87	103.9	100.3
Block size [kB] = 1024 Run=2									462.96	557.28	575.61	769.02	884.95	1007.43	1053.25	1065.25	1081.89	161.44	121.72	106.64	100.85
Block size [kB] = 1024 Run=3									505.04	538.53	556.63	753.8	904.06	1001.41	1050.66	1064.2	1074.75	160.49	118.37	104.92	100.53
Block size [kB] = 1024 Run=4									477.07	554.77	574.23	724.56	888.93	991.91	1041.36	1064.32	1075.59	156.61	120.76	106.22	100.61
Block size [kB] = 1024 Run=5									433.66	543.94	548.83	741.85	902.48	985.58	1047.03	1080.28	1074.28	148.82	118.81	105.59	100.13
Block size [kB] = 2048 Run=1										523.41	600.41	784.08	887.08	997.07	1037.11	1064.28	1089.76	113.74	120.02	104.92	100.1
Block size [kB] = 2048 Run=2										482.61	522.93	761.17	893.51	996.41	1052.46	1055.81	1075.21	157.6	118.36	105.13	100.68
Block size [kB] = 2048 Run=3										508.01	576.54	759.81	864.87	989.67	1047.05	1058.44	1076.09	172.31	123.49	104.65	100.3
Block size [kB] = 2048 Run=4										480.64	560.78	690.25	848.27	964.78	1028.08	1057.16	1069.01	168.33	121.21	106.47	100.92
Block size [kB] = 2048 Run=5										493.83	524.67	721.23	861.28	974.72	1038.54	1074.72	1071.91	150.55	116.87	105.58	100.03
Block size [kB] = 4096 Run=1											512.36	704.47	847.19	953.35	1032.44	1049.3	1063.33	119.88	116.81	105.85	100.17
Block size [kB] = 4096 Run=2											500.81	695.34	857.08	953.77	1022.74	1034.31	1058.65	159.44	115.72	105.49	100.98
Block size [kB] = 4096 Run=3											519.02	701.76	840.03	945.38	1012.95	1046.8	1055.31	153.53	116.34	105.35	100.13
Block size [kB] = 4096 Run=4											529.59	679.64	835.29	943.84	1004.33	1036.32	1047.62	163.79	119.63	106.02	100.4
Block size [kB] = 4096 Run=5											491.87	668.23	844.86	938.88	1020.08	1047.31	1056.17	145.06	121.62	106.77	100.15
Block size [kB] = 8192 Run=1												661.42	802.82	938.86	989.18	1027.53	1048.96	110.22	123.26	106.31	100.04
Block size [kB] = 8192 Run=2												639.23	797.33	915.25	995.94	1032.6	1036.87	155.86	123.66	106.35	99.81
Block size [kB] = 8192 Run=3												640.92	788.77	919.6	993.45	1009.5	1038.34	185.74	120.08	104.97	99.97
Block size [kB] = 8192 Run=4												633.01	798.79	901.2	982.69	1009.43	1027.76	153.95	119.53	106.18	100.03
Block size [kB] = 8192 Run=5												634.97	798.29	914.5	976.73	1021.1	1038.19	148.66	116.64	105.42	99.86
Block size [kB] = 16384 Run=1													775.58	899.68	969.53	1013.59	1043.05	109.94	116.31	104.54	100.01
Block size [kB] = 16384 Run=2													753.08	878.2	945.05	1003.72	1030.4	158.88	120.98	106.35	100.37
Block size [kB] = 16384 Run=3													753.36	877.17	977.86	1003.13	1031.56	154.58	119.69	104.53	100.34
Block size [kB] = 16384 Run=4													744.37	859.2	954.08	1000.8	1024.47	151.95	118.39	105.3	100.14
Block size [kB] = 16384 Run=5													732.87	873.69	968.7	1018.77	1025.21	142.3	119.98	107.17	100.74
# Statistics (excluding 0 values)
#mean val.	56.51	103.0	157.43	210.81	280.08	378.32	448.2	496.59	522.68	558.33	599.58	756.1	872.17	971.66	1028.41	1053.18	1064.14	148.53	119.52	105.89	100.33
#standard dev.	23.1	11.94	29.38	60.21	88.36	92.38	74.57	58.44	47.72	39.6	48.05	51.81	52.55	46.79	32.75	24.69	18.36	19.66	2.22	0.85	0.31
#ci. min. 90%	34.48	96.08	144.06	187.53	249.85	349.66	426.89	481.02	510.73	548.94	588.74	744.92	861.3	959.94	1020.21	1047.0	1059.54	143.61	118.97	105.68	100.26
