# freread throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	61.87	108.57	173.46	184.92	306.31	419.5	495.12	632.85	790.51	863.58	957.61	958.43	977.82								
Block size [kB] = 4 Run=2	58.35	40.51	164.33	125.45	307.75	277.14	367.69	459.12	495.03	745.67	854.85	956.03	975.14								
Block size [kB] = 4 Run=3	44.42	40.02	52.94	88.28	172.14	299.11	313.21	404.87	495.32	709.23	911.81	939.19	981.77								
Block size [kB] = 4 Run=4	53.58	84.06	120.07	189.19	238.57	300.48	371.99	475.24	454.53	830.9	920.17	928.74	974.12								
Block size [kB] = 4 Run=5	55.02	107.15	53.33	142.04	198.92	312.48	407.72	460.83	468.59	779.41	890.66	957.39	971.17								
Block size [kB] = 8 Run=1		97.58	185.76	185.97	177.63	492.38	483.48	654.38	825.84	925.91	985.46	1011.11	1025.65								
Block size [kB] = 8 Run=2		36.87	190.62	148.81	225.63	383.31	381.74	497.57	494.1	843.52	953.97	1014.99	1025.85								
Block size [kB] = 8 Run=3		46.76	118.34	187.3	241.21	296.07	469.83	507.19	527.66	793.64	947.45	1009.83	1044.38								
Block size [kB] = 8 Run=4		107.15	185.76	146.81	150.93	249.92	456.93	482.13	512.58	839.3	972.32	1006.92	1039.97								
Block size [kB] = 8 Run=5		92.09	164.33	177.41	245.27	263.22	362.35	507.56	512.83	850.7	942.07	1005.05	1030.2								
Block size [kB] = 16 Run=1			153.19	298.02	171.25	404.6	617.24	725.71	892.06	963.9	923.56	1034.65	1068.22								
Block size [kB] = 16 Run=2			159.14	247.86	165.31	262.56	331.11	465.54	530.53	765.68	1001.22	1026.29	1061.42								
Block size [kB] = 16 Run=3			154.64	105.55	245.96	444.76	410.59	498.04	501.54	876.84	940.75	1042.88	1076.34								
Block size [kB] = 16 Run=4			100.08	205.5	251.14	348.18	447.19	468.13	538.16	752.76	986.21	1046.16	1057.63								
Block size [kB] = 16 Run=5			108.54	306.38	248.05	381.08	407.24	478.5	560.53	778.18	971.81	1055.28	1037.55								
Block size [kB] = 32 Run=1				231.25	355.3	486.44	573.37	725.71	836.05	1002.49	990.34	1043.95	1099.27								
Block size [kB] = 32 Run=2				202.96	192.78	274.81	464.63	515.42	552.48	727.05	1035.2	1020.55	1080.94								
Block size [kB] = 32 Run=3				201.4	367.25	419.16	448.91	484.58	528.26	700.29	1034.37	1055.11	1081.08								
Block size [kB] = 32 Run=4				269.8	277.75	393.08	367.69	512.27	529.06	727.56	1001.76	1022.63	1078.61								
Block size [kB] = 32 Run=5				201.71	230.6	279.05	377.08	487.84	528.0	782.17	1028.03	1013.03	1070.37								
Block size [kB] = 64 Run=1					337.9	414.19	514.56	625.86	832.07	989.13	1021.46	1063.81	1074.69	1085.3	1075.67	1095.45	1099.63	143.88	100.39	92.94	97.21
Block size [kB] = 64 Run=2					381.13	477.14	467.11	511.77	554.67	710.49	1010.87	1029.98	1076.72	1073.79	1081.04	1091.7	1094.97	152.75	80.43	106.13	96.27
Block size [kB] = 64 Run=3					318.99	478.89	414.49	590.28	556.14	816.66	917.05	1062.29	1083.94	1090.07	1080.28	1083.62	1093.29	177.09	97.52	91.55	96.68
Block size [kB] = 64 Run=4					280.13	514.11	574.94	493.59	553.72	704.94	991.04	1060.01	1084.01	1074.11	1084.78	1078.75	1092.88	150.11	114.61	92.83	99.33
Block size [kB] = 64 Run=5					325.72	545.67	564.42	499.94	554.6	698.3	950.34	1042.2	1082.61	1081.44	1071.29	1067.46	1090.73	136.56	97.96	94.05	98.54
Block size [kB] = 128 Run=1						484.64	570.56	708.3	839.56	883.77	933.48	1008.31	1067.09	1070.59	1070.74	1077.11	1088.79	131.18	77.52	92.29	98.68
Block size [kB] = 128 Run=2						488.25	598.23	503.54	582.4	531.91	979.19	1007.83	1079.77	1062.2	1064.63	1075.79	1082.67	152.35	89.77	106.0	97.44
Block size [kB] = 128 Run=3						474.98	370.94	595.98	573.79	629.12	1049.31	1033.09	1072.39	1078.1	1068.98	1079.45	1086.25	149.5	82.91	101.97	93.36
Block size [kB] = 128 Run=4						317.98	590.81	491.62	576.31	591.17	975.37	1014.44	1054.91	1072.35	1060.15	1076.18	1075.47	155.11	118.23	92.54	97.27
Block size [kB] = 128 Run=5						480.64	407.09	474.92	578.38	575.04	949.22	1035.48	1062.84	1065.99	1055.3	1077.08	1083.62	142.01	84.25	93.1	99.97
Block size [kB] = 256 Run=1							525.13	585.5	883.42	964.23	879.92	1023.91	1050.83	1081.52	1068.86	1075.74	1081.72	140.95	95.52	90.53	97.68
Block size [kB] = 256 Run=2							393.05	551.76	499.51	561.49	871.28	1036.15	1059.04	1068.12	1062.01	1075.89	1080.94	158.7	89.7	105.14	96.99
Block size [kB] = 256 Run=3							523.03	513.4	558.66	622.86	1031.69	1023.69	1063.26	1069.16	1067.47	1071.21	1075.69	147.19	77.11	94.24	93.72
Block size [kB] = 256 Run=4							359.13	490.13	498.5	509.02	891.28	1019.9	1056.32	1045.27	1063.21	1075.0	1077.3	155.75	116.33	91.75	98.71
Block size [kB] = 256 Run=5							383.42	475.35	560.23	590.5	894.46	1000.76	1064.61	1068.8	1055.2	1069.2	1073.97	143.33	104.04	94.78	96.25
Block size [kB] = 512 Run=1								567.44	798.18	949.17	849.44	1061.42	1066.87	1080.24	1072.44	1088.31	1089.06	142.23	89.25	87.39	97.08
Block size [kB] = 512 Run=2								444.05	508.17	585.68	903.32	1040.87	1061.7	1060.09	1075.6	1080.85	1088.53	153.22	92.36	107.74	97.76
Block size [kB] = 512 Run=3								405.81	543.18	628.37	989.12	1025.63	1070.23	1083.09	1060.09	1088.88	1093.42	155.35	97.53	90.46	96.72
Block size [kB] = 512 Run=4								493.59	527.13	541.73	871.1	1029.85	1059.74	1076.25	1047.43	1081.18	1088.24	146.12	118.92	92.77	96.03
Block size [kB] = 512 Run=5								498.99	527.13	530.76	861.88	1023.94	1063.05	1066.56	1059.32	1078.55	1081.91	142.99	104.28	96.67	99.13
Block size [kB] = 1024 Run=1									755.35	887.7	913.25	1024.6	1064.26	1069.44	1066.26	1089.2	1094.12	143.31	80.35	94.31	97.98
Block size [kB] = 1024 Run=2									486.59	535.61	912.61	1020.55	1059.12	1069.92	1068.38	1086.88	1092.43	145.75	105.69	106.32	96.04
Block size [kB] = 1024 Run=3									490.17	492.99	929.8	1007.95	1066.81	1073.43	1067.8	1090.06	1094.33	153.27	92.26	90.65	97.14
Block size [kB] = 1024 Run=4									512.76	519.88	932.39	1029.47	1056.1	1069.06	1072.21	1089.95	1091.99	147.32	120.05	97.01	95.38
Block size [kB] = 1024 Run=5									430.5	544.23	888.49	1021.08	1056.67	1072.24	1059.24	1080.93	1082.81	155.16	103.14	92.01	99.31
Block size [kB] = 2048 Run=1										827.13	935.25	1008.31	1044.3	1066.63	1066.54	1088.16	1096.58	139.5	80.73	89.0	98.08
Block size [kB] = 2048 Run=2										511.91	930.89	1012.79	1046.84	1052.88	1070.89	1081.71	1088.74	147.93	103.81	106.36	97.14
Block size [kB] = 2048 Run=3										472.26	918.91	1003.28	1030.2	1070.13	1066.85	1082.82	1094.61	149.83	102.5	90.05	94.97
Block size [kB] = 2048 Run=4										500.88	898.63	992.56	1043.91	1062.73	1072.91	1081.15	1088.32	144.59	119.49	89.17	99.71
Block size [kB] = 2048 Run=5										478.02	906.64	985.1	1045.07	1066.49	1051.27	1087.03	1085.34	145.88	104.81	89.74	99.29
Block size [kB] = 4096 Run=1											823.39	928.62	990.47	1014.88	1039.53	1056.33	1064.67	144.09	91.32	92.0	96.84
Block size [kB] = 4096 Run=2											835.78	915.67	985.69	1014.72	1030.45	1048.44	1057.67	151.19	106.08	106.74	96.63
Block size [kB] = 4096 Run=3											834.4	924.01	1000.87	1034.23	1040.16	1050.78	1071.93	136.47	85.74	92.72	98.14
Block size [kB] = 4096 Run=4											825.94	916.49	970.58	1011.92	1028.58	1056.16	1028.41	155.46	124.26	95.75	96.27
Block size [kB] = 4096 Run=5											831.26	931.63	997.81	1006.67	1020.8	1047.71	1061.13	137.71	98.71	92.99	95.06
Block size [kB] = 8192 Run=1												849.81	919.64	962.64	981.0	1008.18	1022.36	149.92	88.79	97.2	99.11
Block size [kB] = 8192 Run=2												841.33	928.23	969.08	980.27	1017.49	1029.46	150.69	88.67	106.4	97.36
Block size [kB] = 8192 Run=3												847.27	939.19	981.38	1004.62	1023.75	1033.8	159.61	96.55	96.0	92.56
Block size [kB] = 8192 Run=4												833.51	927.86	966.97	994.71	1022.26	1028.52	145.81	120.33	89.31	99.88
Block size [kB] = 8192 Run=5												848.0	923.31	967.73	989.96	1015.02	1029.46	146.48	102.07	87.72	96.67
Block size [kB] = 16384 Run=1													858.56	938.3	965.25	1015.63	1022.52	148.71	92.25	83.79	96.72
Block size [kB] = 16384 Run=2													852.65	930.29	966.93	1001.25	1025.03	173.95	82.51	105.48	98.59
Block size [kB] = 16384 Run=3													873.21	940.26	977.29	1014.96	1033.48	144.92	88.0	96.67	95.53
Block size [kB] = 16384 Run=4													854.71	922.7	965.32	1000.84	1023.74	147.93	119.95	93.41	96.78
Block size [kB] = 16384 Run=5													863.66	935.43	964.94	1002.02	1021.05	137.05	89.92	86.25	99.71
# Statistics (excluding 0 values)
#mean val.	54.65	76.08	138.97	192.33	256.54	388.79	451.77	524.13	585.66	712.87	934.33	995.56	1023.26	1038.29	1043.48	1062.8	1070.7	148.42	98.15	95.15	97.24
#standard dev.	6.55	31.15	44.99	58.45	67.38	91.51	85.4	78.74	128.02	156.74	59.92	59.71	65.29	51.38	37.79	29.73	26.69	8.62	13.24	6.43	1.72
#ci. min. 90%	48.4	58.02	118.51	169.73	233.49	360.41	427.36	503.16	553.6	675.71	920.81	982.68	1009.74	1025.42	1034.02	1055.36	1064.02	146.26	94.83	93.54	96.81
