# freread throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	66.38												
File size [kB] = 4 Run=2	15.58												
File size [kB] = 4 Run=3	67.48												
File size [kB] = 4 Run=4	70.99												
File size [kB] = 4 Run=5	62.11												
File size [kB] = 8 Run=1	97.87	105.43											
File size [kB] = 8 Run=2	124.21	90.82											
File size [kB] = 8 Run=3	105.77	104.09											
File size [kB] = 8 Run=4	88.85	118.38											
File size [kB] = 8 Run=5	105.77	88.85											
File size [kB] = 16 Run=1	175.79	190.62	173.92										
File size [kB] = 16 Run=2	154.64	161.1	154.64										
File size [kB] = 16 Run=3	169.87	168.12	65.09										
File size [kB] = 16 Run=4	147.34	164.33	175.79										
File size [kB] = 16 Run=5	173.46	129.06	157.61										
File size [kB] = 32 Run=1	190.57	199.26	256.1	269.25									
File size [kB] = 32 Run=2	173.65	174.57	289.47	252.16									
File size [kB] = 32 Run=3	198.95	184.92	271.48	281.39									
File size [kB] = 32 Run=4	141.42	174.57	249.75	70.06									
File size [kB] = 32 Run=5	113.21	197.75	260.68	267.05									
File size [kB] = 64 Run=1	307.75	303.48	90.84	411.01	402.8								
File size [kB] = 64 Run=2	265.92	238.57	320.54	170.24	351.02								
File size [kB] = 64 Run=3	304.89	302.08	247.12	414.26	378.38								
File size [kB] = 64 Run=4	265.92	165.31	204.99	353.39	124.01								
File size [kB] = 64 Run=5	265.92	168.49	317.06	349.15	278.93								
File size [kB] = 128 Run=1	358.17	280.4	463.23	440.28	548.53	514.11							
File size [kB] = 128 Run=2	369.79	253.06	400.58	310.26	282.21	438.44							
File size [kB] = 128 Run=3	308.62	370.83	368.75	267.11	543.41	502.28							
File size [kB] = 128 Run=4	302.57	296.91	404.6	394.26	548.53	432.29							
File size [kB] = 128 Run=5	262.04	394.26	288.58	266.57	422.54	316.44							
File size [kB] = 256 Run=1	411.88	492.1	483.48	512.3	614.35	597.89	536.41						
File size [kB] = 256 Run=2	362.85	357.66	420.81	393.64	403.33	514.31	445.67						
File size [kB] = 256 Run=3	459.54	372.52	423.7	545.9	478.84	452.21	518.63						
File size [kB] = 256 Run=4	325.06	357.17	345.29	502.96	374.25	446.43	380.5						
File size [kB] = 256 Run=5	363.99	452.79	379.95	509.07	516.59	527.24	407.72						
File size [kB] = 512 Run=1	466.36	510.28	495.45	537.07	628.3	541.79	591.78	496.63					
File size [kB] = 512 Run=2	439.4	423.34	545.88	492.2	372.57	562.42	517.71	396.23					
File size [kB] = 512 Run=3	426.96	498.99	480.36	547.59	518.1	599.39	588.29	523.01					
File size [kB] = 512 Run=4	464.61	448.89	444.9	519.76	495.57	479.37	471.61	378.49					
File size [kB] = 512 Run=5	416.03	458.71	519.76	541.79	497.45	520.28	515.42	490.7					
File size [kB] = 1024 Run=1	493.34	556.51	610.9	596.73	569.82	601.26	537.4	531.07	499.21				
File size [kB] = 1024 Run=2	486.14	550.95	485.69	541.7	538.5	522.8	537.61	442.31	462.96				
File size [kB] = 1024 Run=3	492.88	543.18	529.66	600.66	619.19	585.16	518.72	550.38	505.04				
File size [kB] = 1024 Run=4	436.28	474.59	507.86	542.61	543.81	557.4	531.34	558.36	477.07				
File size [kB] = 1024 Run=5	429.4	478.7	512.26	504.32	536.44	535.0	462.5	489.26	433.66				
