# freread throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	61.87												
File size [kB] = 4 Run=2	58.35												
File size [kB] = 4 Run=3	44.42												
File size [kB] = 4 Run=4	53.58												
File size [kB] = 4 Run=5	55.02												
File size [kB] = 8 Run=1	108.57	97.58											
File size [kB] = 8 Run=2	40.51	36.87											
File size [kB] = 8 Run=3	40.02	46.76											
File size [kB] = 8 Run=4	84.06	107.15											
File size [kB] = 8 Run=5	107.15	92.09											
File size [kB] = 16 Run=1	173.46	185.76	153.19										
File size [kB] = 16 Run=2	164.33	190.62	159.14										
File size [kB] = 16 Run=3	52.94	118.34	154.64										
File size [kB] = 16 Run=4	120.07	185.76	100.08										
File size [kB] = 16 Run=5	53.33	164.33	108.54										
File size [kB] = 32 Run=1	184.92	185.97	298.02	231.25									
File size [kB] = 32 Run=2	125.45	148.81	247.86	202.96									
File size [kB] = 32 Run=3	88.28	187.3	105.55	201.4									
File size [kB] = 32 Run=4	189.19	146.81	205.5	269.8									
File size [kB] = 32 Run=5	142.04	177.41	306.38	201.71									
File size [kB] = 64 Run=1	306.31	177.63	171.25	355.3	337.9								
File size [kB] = 64 Run=2	307.75	225.63	165.31	192.78	381.13								
File size [kB] = 64 Run=3	172.14	241.21	245.96	367.25	318.99								
File size [kB] = 64 Run=4	238.57	150.93	251.14	277.75	280.13								
File size [kB] = 64 Run=5	198.92	245.27	248.05	230.6	325.72								
File size [kB] = 128 Run=1	419.5	492.38	404.6	486.44	414.19	484.64							
File size [kB] = 128 Run=2	277.14	383.31	262.56	274.81	477.14	488.25							
File size [kB] = 128 Run=3	299.11	296.07	444.76	419.16	478.89	474.98							
File size [kB] = 128 Run=4	300.48	249.92	348.18	393.08	514.11	317.98							
File size [kB] = 128 Run=5	312.48	263.22	381.08	279.05	545.67	480.64							
File size [kB] = 256 Run=1	495.12	483.48	617.24	573.37	514.56	570.56	525.13						
File size [kB] = 256 Run=2	367.69	381.74	331.11	464.63	467.11	598.23	393.05						
File size [kB] = 256 Run=3	313.21	469.83	410.59	448.91	414.49	370.94	523.03						
File size [kB] = 256 Run=4	371.99	456.93	447.19	367.69	574.94	590.81	359.13						
File size [kB] = 256 Run=5	407.72	362.35	407.24	377.08	564.42	407.09	383.42						
File size [kB] = 512 Run=1	632.85	654.38	725.71	725.71	625.86	708.3	585.5	567.44					
File size [kB] = 512 Run=2	459.12	497.57	465.54	515.42	511.77	503.54	551.76	444.05					
File size [kB] = 512 Run=3	404.87	507.19	498.04	484.58	590.28	595.98	513.4	405.81					
File size [kB] = 512 Run=4	475.24	482.13	468.13	512.27	493.59	491.62	490.13	493.59					
File size [kB] = 512 Run=5	460.83	507.56	478.5	487.84	499.94	474.92	475.35	498.99					
File size [kB] = 1024 Run=1	790.51	825.84	892.06	836.05	832.07	839.56	883.42	798.18	755.35				
File size [kB] = 1024 Run=2	495.03	494.1	530.53	552.48	554.67	582.4	499.51	508.17	486.59				
File size [kB] = 1024 Run=3	495.32	527.66	501.54	528.26	556.14	573.79	558.66	543.18	490.17				
File size [kB] = 1024 Run=4	454.53	512.58	538.16	529.06	553.72	576.31	498.5	527.13	512.76				
File size [kB] = 1024 Run=5	468.59	512.83	560.53	528.0	554.6	578.38	560.23	527.13	430.5				
File size [kB] = 2048 Run=1	863.58	925.91	963.9	1002.49	989.13	883.77	964.23	949.17	887.7	827.13			
File size [kB] = 2048 Run=2	745.67	843.52	765.68	727.05	710.49	531.91	561.49	585.68	535.61	511.91			
File size [kB] = 2048 Run=3	709.23	793.64	876.84	700.29	816.66	629.12	622.86	628.37	492.99	472.26			
File size [kB] = 2048 Run=4	830.9	839.3	752.76	727.56	704.94	591.17	509.02	541.73	519.88	500.88			
File size [kB] = 2048 Run=5	779.41	850.7	778.18	782.17	698.3	575.04	590.5	530.76	544.23	478.02			
File size [kB] = 4096 Run=1	957.61	985.46	923.56	990.34	1021.46	933.48	879.92	849.44	913.25	935.25	823.39		
File size [kB] = 4096 Run=2	854.85	953.97	1001.22	1035.2	1010.87	979.19	871.28	903.32	912.61	930.89	835.78		
File size [kB] = 4096 Run=3	911.81	947.45	940.75	1034.37	917.05	1049.31	1031.69	989.12	929.8	918.91	834.4		
File size [kB] = 4096 Run=4	920.17	972.32	986.21	1001.76	991.04	975.37	891.28	871.1	932.39	898.63	825.94		
File size [kB] = 4096 Run=5	890.66	942.07	971.81	1028.03	950.34	949.22	894.46	861.88	888.49	906.64	831.26		
File size [kB] = 8192 Run=1	958.43	1011.11	1034.65	1043.95	1063.81	1008.31	1023.91	1061.42	1024.6	1008.31	928.62	849.81	
File size [kB] = 8192 Run=2	956.03	1014.99	1026.29	1020.55	1029.98	1007.83	1036.15	1040.87	1020.55	1012.79	915.67	841.33	
File size [kB] = 8192 Run=3	939.19	1009.83	1042.88	1055.11	1062.29	1033.09	1023.69	1025.63	1007.95	1003.28	924.01	847.27	
File size [kB] = 8192 Run=4	928.74	1006.92	1046.16	1022.63	1060.01	1014.44	1019.9	1029.85	1029.47	992.56	916.49	833.51	
File size [kB] = 8192 Run=5	957.39	1005.05	1055.28	1013.03	1042.2	1035.48	1000.76	1023.94	1021.08	985.1	931.63	848.0	
File size [kB] = 16384 Run=1	977.82	1025.65	1068.22	1099.27	1074.69	1067.09	1050.83	1066.87	1064.26	1044.3	990.47	919.64	858.56
File size [kB] = 16384 Run=2	975.14	1025.85	1061.42	1080.94	1076.72	1079.77	1059.04	1061.7	1059.12	1046.84	985.69	928.23	852.65
File size [kB] = 16384 Run=3	981.77	1044.38	1076.34	1081.08	1083.94	1072.39	1063.26	1070.23	1066.81	1030.2	1000.87	939.19	873.21
File size [kB] = 16384 Run=4	974.12	1039.97	1057.63	1078.61	1084.01	1054.91	1056.32	1059.74	1056.1	1043.91	970.58	927.86	854.71
File size [kB] = 16384 Run=5	971.17	1030.2	1037.55	1070.37	1082.61	1062.84	1064.61	1063.05	1056.67	1045.07	997.81	923.31	863.66
File size [kB] = 32768 Run=1					1085.3	1070.59	1081.52	1080.24	1069.44	1066.63	1014.88	962.64	938.3
File size [kB] = 32768 Run=2					1073.79	1062.2	1068.12	1060.09	1069.92	1052.88	1014.72	969.08	930.29
File size [kB] = 32768 Run=3					1090.07	1078.1	1069.16	1083.09	1073.43	1070.13	1034.23	981.38	940.26
File size [kB] = 32768 Run=4					1074.11	1072.35	1045.27	1076.25	1069.06	1062.73	1011.92	966.97	922.7
File size [kB] = 32768 Run=5					1081.44	1065.99	1068.8	1066.56	1072.24	1066.49	1006.67	967.73	935.43
File size [kB] = 65536 Run=1					1075.67	1070.74	1068.86	1072.44	1066.26	1066.54	1039.53	981.0	965.25
File size [kB] = 65536 Run=2					1081.04	1064.63	1062.01	1075.6	1068.38	1070.89	1030.45	980.27	966.93
File size [kB] = 65536 Run=3					1080.28	1068.98	1067.47	1060.09	1067.8	1066.85	1040.16	1004.62	977.29
File size [kB] = 65536 Run=4					1084.78	1060.15	1063.21	1047.43	1072.21	1072.91	1028.58	994.71	965.32
File size [kB] = 65536 Run=5					1071.29	1055.3	1055.2	1059.32	1059.24	1051.27	1020.8	989.96	964.94
File size [kB] = 131072 Run=1					1095.45	1077.11	1075.74	1088.31	1089.2	1088.16	1056.33	1008.18	1015.63
File size [kB] = 131072 Run=2					1091.7	1075.79	1075.89	1080.85	1086.88	1081.71	1048.44	1017.49	1001.25
File size [kB] = 131072 Run=3					1083.62	1079.45	1071.21	1088.88	1090.06	1082.82	1050.78	1023.75	1014.96
File size [kB] = 131072 Run=4					1078.75	1076.18	1075.0	1081.18	1089.95	1081.15	1056.16	1022.26	1000.84
File size [kB] = 131072 Run=5					1067.46	1077.08	1069.2	1078.55	1080.93	1087.03	1047.71	1015.02	1002.02
File size [kB] = 262144 Run=1					1099.63	1088.79	1081.72	1089.06	1094.12	1096.58	1064.67	1022.36	1022.52
File size [kB] = 262144 Run=2					1094.97	1082.67	1080.94	1088.53	1092.43	1088.74	1057.67	1029.46	1025.03
File size [kB] = 262144 Run=3					1093.29	1086.25	1075.69	1093.42	1094.33	1094.61	1071.93	1033.8	1033.48
File size [kB] = 262144 Run=4					1092.88	1075.47	1077.3	1088.24	1091.99	1088.32	1028.41	1028.52	1023.74
File size [kB] = 262144 Run=5					1090.73	1083.62	1073.97	1081.91	1082.81	1085.34	1061.13	1029.46	1021.05
File size [kB] = 524288 Run=1					143.88	131.18	140.95	142.23	143.31	139.5	144.09	149.92	148.71
File size [kB] = 524288 Run=2					152.75	152.35	158.7	153.22	145.75	147.93	151.19	150.69	173.95
File size [kB] = 524288 Run=3					177.09	149.5	147.19	155.35	153.27	149.83	136.47	159.61	144.92
File size [kB] = 524288 Run=4					150.11	155.11	155.75	146.12	147.32	144.59	155.46	145.81	147.93
File size [kB] = 524288 Run=5					136.56	142.01	143.33	142.99	155.16	145.88	137.71	146.48	137.05
File size [kB] = 1048576 Run=1					100.39	77.52	95.52	89.25	80.35	80.73	91.32	88.79	92.25
File size [kB] = 1048576 Run=2					80.43	89.77	89.7	92.36	105.69	103.81	106.08	88.67	82.51
File size [kB] = 1048576 Run=3					97.52	82.91	77.11	97.53	92.26	102.5	85.74	96.55	88.0
File size [kB] = 1048576 Run=4					114.61	118.23	116.33	118.92	120.05	119.49	124.26	120.33	119.95
File size [kB] = 1048576 Run=5					97.96	84.25	104.04	104.28	103.14	104.81	98.71	102.07	89.92
File size [kB] = 2097152 Run=1					92.94	92.29	90.53	87.39	94.31	89.0	92.0	97.2	83.79
File size [kB] = 2097152 Run=2					106.13	106.0	105.14	107.74	106.32	106.36	106.74	106.4	105.48
File size [kB] = 2097152 Run=3					91.55	101.97	94.24	90.46	90.65	90.05	92.72	96.0	96.67
File size [kB] = 2097152 Run=4					92.83	92.54	91.75	92.77	97.01	89.17	95.75	89.31	93.41
File size [kB] = 2097152 Run=5					94.05	93.1	94.78	96.67	92.01	89.74	92.99	87.72	86.25
File size [kB] = 4194304 Run=1					97.21	98.68	97.68	97.08	97.98	98.08	96.84	99.11	96.72
File size [kB] = 4194304 Run=2					96.27	97.44	96.99	97.76	96.04	97.14	96.63	97.36	98.59
File size [kB] = 4194304 Run=3					96.68	93.36	93.72	96.72	97.14	94.97	98.14	92.56	95.53
File size [kB] = 4194304 Run=4					99.33	97.27	98.71	96.03	95.38	99.71	96.27	99.88	96.78
File size [kB] = 4194304 Run=5					98.54	99.97	96.25	99.13	99.31	99.29	95.06	96.67	99.71
# Statistics (excluding 0 values)
#mean val.	460.87	529.03	583.66	638.19	655.95	660.87	661.47	675.31	683.57	688.45	667.13	621.96	581.07
#standard dev.	337.62	347.65	337.37	317.69	392.71	392.37	400.34	412.16	425.3	437.11	429.92	424.94	429.74
#ci. min. 90%	390.97	454.02	507.53	562.87	585.1	587.86	584.47	593.18	595.53	594.15	570.11	521.21	473.43
#ci. max 90%	530.76	604.03	659.79	713.51	726.79	733.88	738.47	757.44	771.61	782.75	764.14	722.71	688.71
#geom. mean	311.26	394.18	472.0	553.48	483.15	481.24	474.95	476.66	471.21	461.55	439.76	401.08	360.19
#median	404.87	487.93	498.04	528.66	590.28	597.1	622.86	855.66	913.25	960.18	924.01	884.72	858.56
#first quartile	164.33	186.96	280.29	370.03	318.99	277.26	157.22	147.9	145.75	134.5	115.5	103.16	98.59
#third quartile	830.9	929.95	952.32	1010.39	1074.11	1063.29	1062.61	1065.68	1068.38	1066.56	1028.49	987.82	966.93
#minimum	40.02	36.87	100.08	192.78	80.43	77.52	77.11	87.39	80.35	80.73	85.74	87.72	82.51
#maximum	981.77	1044.38	1076.34	1099.27	1099.63	1088.79	1081.72	1093.42	1094.33	1096.58	1071.93	1033.8	1033.48
#OOCALC formulas
#mean val.	=AVERAGE(B5:B109)
#standard dev.	=STDEV(B5:B109)
#ci. min. 90%	=AVERAGE(B5:B109)-TINV(1/10;COUNT(B5:B109)-1)*STDEV(B5:B109)/SQRT(COUNT(B5:B109))
#ci. max 90%	=AVERAGE(B5:B109)+TINV(1/10;COUNT(B5:B109)-1)*STDEV(B5:B109)/SQRT(COUNT(B5:B109))
#geom. mean	=GEOMEAN(B5:B109)
#median	=MEDIAN(B5:B109)
#first quatile	=QUARTILE(B5:B109;1)
#third quartile	=QUARTILE(B5:B109;3)
#minimum	=QUARTILE(B5:B109;0)
#maximum	=QUARTILE(B5:B109;4)
