# frewrite throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	298.95												
File size [kB] = 4 Run=2	298.95												
File size [kB] = 4 Run=3	304.5												
File size [kB] = 4 Run=4	228.17												
File size [kB] = 4 Run=5	228.17												
File size [kB] = 8 Run=1	521.74	490.5											
File size [kB] = 8 Run=2	490.5	368.98											
File size [kB] = 8 Run=3	483.26	432.26											
File size [kB] = 8 Run=4	521.74	356.93											
File size [kB] = 8 Run=5	410.6	391.0											
File size [kB] = 16 Run=1	676.98	821.19	782.0										
File size [kB] = 16 Run=2	650.12	575.86	538.04										
File size [kB] = 16 Run=3	706.16	772.78	782.0										
File size [kB] = 16 Run=4	504.88	782.0	602.32										
File size [kB] = 16 Run=5	650.12	580.96	319.99										
File size [kB] = 32 Run=1	892.83	972.3	1112.61	1112.61									
File size [kB] = 32 Run=2	639.98	979.57	869.14	762.91									
File size [kB] = 32 Run=3	846.69	193.95	825.36	1112.61									
File size [kB] = 32 Run=4	546.58	666.0	805.08	762.91									
File size [kB] = 32 Run=5	846.69	820.2	1076.07	762.91									
File size [kB] = 64 Run=1	907.68	880.25	1226.08	1426.2	1388.43								
File size [kB] = 64 Run=2	644.4	762.48	822.27	1024.78	960.92								
File size [kB] = 64 Run=3	308.11	975.22	1203.57	1359.63	1325.26								
File size [kB] = 64 Run=4	276.58	792.44	822.27	1359.63	960.92								
File size [kB] = 64 Run=5	978.86	1041.06	960.92	1388.43	993.7								
File size [kB] = 128 Run=1	1024.39	1301.59	1358.94	536.19	1665.43	1542.9							
File size [kB] = 128 Run=2	743.88	816.89	912.11	1051.09	1225.53	1088.17							
File size [kB] = 128 Run=3	1085.92	499.89	1106.55	1317.95	570.62	1469.39							
File size [kB] = 128 Run=4	939.91	850.0	933.22	1024.39	1157.87	1068.22							
File size [kB] = 128 Run=5	394.26	832.46	939.91	1032.46	536.74	1016.44							
File size [kB] = 256 Run=1	1073.47	1213.9	771.69	1351.6	1623.67	1811.62	1664.92						
File size [kB] = 256 Run=2	726.76	588.16	1419.29	1049.83	1551.59	1294.85	682.75						
File size [kB] = 256 Run=3	1137.52	1336.1	654.21	1037.37	1444.71	1748.19	1582.03						
File size [kB] = 256 Run=4	735.43	1007.46	965.71	995.98	1563.16	1282.18	1121.7						
File size [kB] = 256 Run=5	505.14	838.99	1396.6	1041.49	702.42	1329.32	684.98						
File size [kB] = 512 Run=1	1178.97	1408.61	1470.85	1537.72	1592.61	1677.98	1872.78	1717.84					
File size [kB] = 512 Run=2	650.32	728.73	761.27	1184.96	1123.39	880.12	1024.6	1275.01					
File size [kB] = 512 Run=3	1146.73	847.4	1330.0	925.97	939.67	1623.43	1151.77	1655.46					
File size [kB] = 512 Run=4	791.14	1113.84	801.11	996.36	1039.84	1208.17	1014.19	1213.77					
File size [kB] = 512 Run=5	696.54	711.43	1128.22	1216.58	846.03	1171.07	1457.56	946.88					
File size [kB] = 1024 Run=1	1018.33	1141.68	1199.12	1267.62	1275.33	1303.47	1382.98	1815.08	1369.88				
File size [kB] = 1024 Run=2	784.3	936.27	963.36	1015.13	1013.16	1049.15	1179.23	1113.79	1337.13				
File size [kB] = 1024 Run=3	962.48	1104.98	1145.42	1198.78	1428.67	1248.38	1321.12	1712.1	1310.39				
File size [kB] = 1024 Run=4	688.74	1040.56	1161.6	953.08	1048.1	1091.75	937.11	1298.62	1136.11				
File size [kB] = 1024 Run=5	731.63	796.82	831.25	1012.19	956.12	1096.61	1200.5	1483.76	1075.24				
File size [kB] = 2048 Run=1	1010.58	1268.16	1189.74	1232.93	1387.74	1405.41	1306.27	1433.75	1595.15	1517.25			
File size [kB] = 2048 Run=2	854.69	956.86	1063.36	1031.96	1052.15	1029.3	1103.79	1183.53	1236.93	1410.37			
File size [kB] = 2048 Run=3	828.52	1113.61	1130.57	1256.19	1182.03	1226.98	1242.24	1263.38	1409.42	1472.77			
File size [kB] = 2048 Run=4	836.45	948.74	990.53	1021.41	1024.15	1028.8	1100.03	1101.91	1391.65	1384.07			
File size [kB] = 2048 Run=5	785.54	939.81	947.46	999.5	1032.09	1127.38	1276.26	1286.83	1306.27	1207.72			
File size [kB] = 4096 Run=1	1007.05	1193.36	1242.59	1280.82	1308.9	1312.38	1322.73	1283.27	1327.96	1485.39	1350.41		
File size [kB] = 4096 Run=2	897.86	1003.97	1094.7	1077.89	1207.79	1012.7	1239.56	1174.4	1221.78	1399.17	1246.47		
File size [kB] = 4096 Run=3	937.86	1117.97	1134.38	1229.66	1190.48	1232.73	1265.46	1248.04	1261.84	1446.58	1305.84		
File size [kB] = 4096 Run=4	867.14	1010.14	1047.41	1193.7	1104.94	1099.8	1120.74	1164.53	1223.92	1457.14	1303.81		
File size [kB] = 4096 Run=5	875.28	991.57	975.15	1129.26	1214.7	1151.43	1153.8	1147.1	1167.94	1403.5	1301.69		
File size [kB] = 8192 Run=1	1025.13	1151.89	1211.01	1278.76	1291.36	1292.2	1288.63	1246.5	1228.66	1239.73	1436.48	1247.29	
File size [kB] = 8192 Run=2	929.46	1072.99	1118.12	1174.22	1199.19	1182.92	1240.15	1143.65	1154.71	1220.83	1391.1	1250.59	
File size [kB] = 8192 Run=3	968.86	1132.19	1151.89	1226.77	1226.05	1229.6	1251.34	1191.74	1179.42	1242.4	1419.94	1245.12	
