# frewrite throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	433.37												
File size [kB] = 4 Run=2	357.68												
File size [kB] = 4 Run=3	433.37												
File size [kB] = 4 Run=4	322.48												
File size [kB] = 4 Run=5	433.37												
File size [kB] = 8 Run=1	715.37	609.01											
File size [kB] = 8 Run=2	700.08	521.74											
File size [kB] = 8 Run=3	557.22	490.5											
File size [kB] = 8 Run=4	715.37	521.74											
File size [kB] = 8 Run=5	715.37	483.26											
File size [kB] = 16 Run=1	602.32	966.53	980.99										
File size [kB] = 16 Run=2	782.0	105.57	1043.47										
File size [kB] = 16 Run=3	596.84	746.38	102.91										
File size [kB] = 16 Run=4	821.19	706.16	980.99										
File size [kB] = 16 Run=5	602.32	746.38	676.98										
File size [kB] = 32 Run=1	944.28	1122.14	1300.24	972.3									
File size [kB] = 32 Run=2	649.5	1076.07	979.57	1250.62									
File size [kB] = 32 Run=3	944.28	758.49	917.83	841.25									
File size [kB] = 32 Run=4	636.87	762.91	1250.62	869.14									
File size [kB] = 32 Run=5	624.73	820.2	917.83	1313.27									
File size [kB] = 64 Run=1	657.32	802.14	907.68	1075.22	993.7								
File size [kB] = 64 Run=2	241.21	1203.57	947.03	1525.82	1009.0								
File size [kB] = 64 Run=3	276.58	1226.08	1075.22	1079.64	975.22								
File size [kB] = 64 Run=4	1057.86	799.69	920.43	1116.43	975.22								
File size [kB] = 64 Run=5	269.2	832.72	917.21	1075.22	1482.67								
File size [kB] = 128 Run=1	1106.55	780.42	529.69	1048.98	1686.87	1059.58							
File size [kB] = 128 Run=2	1085.92	444.76	962.34	1042.72	1214.17	439.91							
File size [kB] = 128 Run=3	578.81	832.46	743.88	584.62	1214.17	850.0							
File size [kB] = 128 Run=4	435.53	828.51	933.22	828.51	1714.45	833.78							
File size [kB] = 128 Run=5	360.14	679.3	933.22	1032.46	1225.53	839.12							
File size [kB] = 256 Run=1	1136.29	603.74	534.22	1095.91	1479.36	1771.82	814.23						
File size [kB] = 256 Run=2	750.7	850.56	1428.96	969.28	1623.67	677.9	1678.24						
File size [kB] = 256 Run=3	606.88	886.52	622.0	739.58	1041.49	1762.89	1269.76						
File size [kB] = 256 Run=4	779.14	850.56	926.46	999.78	778.56	1183.75	679.21						
File size [kB] = 256 Run=5	769.42	880.56	722.75	984.76	1037.37	1195.9	1421.21						
File size [kB] = 512 Run=1	863.8	887.94	1278.9	970.54	1046.06	1046.06	1199.19	1101.56					
File size [kB] = 512 Run=2	907.54	929.26	856.05	889.45	1234.49	1302.74	1091.81	1534.34					
File size [kB] = 512 Run=3	740.83	1231.59	1125.8	1173.69	1225.83	1660.71	1103.88	1084.47					
File size [kB] = 512 Run=4	912.68	516.56	1305.17	887.94	1252.92	1645.08	1561.77	1671.3					
File size [kB] = 512 Run=5	731.02	818.62	1444.51	899.37	972.79	1326.63	1866.12	1650.25					
File size [kB] = 1024 Run=1	947.91	1016.11	1037.22	1088.07	1127.56	1312.44	1349.6	1466.13	1416.61				
File size [kB] = 1024 Run=2	855.49	1082.18	904.96	1068.39	1089.2	1135.19	1228.27	1193.32	1335.0				
File size [kB] = 1024 Run=3	689.19	1015.13	1046.01	1083.57	1079.95	1246.89	1223.97	1356.59	1592.49				
File size [kB] = 1024 Run=4	821.16	1142.92	1064.06	1180.89	1102.37	1138.89	1455.44	1388.93	1633.42				
File size [kB] = 1024 Run=5	678.38	984.39	1119.73	1069.48	1309.16	1331.61	1535.92	1398.66	1331.18				
File size [kB] = 2048 Run=1	890.53	1111.69	1212.96	1240.77	1388.89	1406.35	1431.79	1432.53	1606.46	1365.15			
File size [kB] = 2048 Run=2	852.52	1046.51	1106.85	1137.62	1177.21	1327.14	1254.69	1264.33	1535.02	1510.42			
File size [kB] = 2048 Run=3	924.28	1172.28	1188.39	1013.26	1142.27	1205.47	1243.71	1258.64	1403.53	1545.49			
