# fwrite throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	216.13	521.74	556.31	694.22	751.55	816.89	873.95	894.38	793.65	742.96	745.43	751.94	748.96								
Block size [kB] = 4 Run=2	178.46	373.19	423.34	452.28	265.92	806.84	540.0	676.76	575.37	658.56	690.11	705.59	706.37								
Block size [kB] = 4 Run=3	245.25	483.26	556.31	676.31	762.48	425.28	838.99	685.83	763.46	720.5	713.9	711.04	719.58								
Block size [kB] = 4 Run=4	228.17	456.34	381.45	432.86	726.55	529.69	490.03	681.38	684.92	664.93	699.55	690.25	695.02								
Block size [kB] = 4 Run=5	260.87	456.34	412.68	649.5	762.48	781.58	572.11	687.63	737.94	659.85	689.77	682.64	699.79								
Block size [kB] = 8 Run=1		456.34	746.38	762.91	892.24	955.33	992.21	810.4	874.94	838.21	880.29	868.14	840.78								
Block size [kB] = 8 Run=2		410.6	676.98	528.93	302.08	938.23	431.01	668.35	745.15	794.54	742.92	791.38	824.15								
Block size [kB] = 8 Run=3		438.04	676.98	800.17	822.27	946.7	972.88	980.52	858.29	853.99	849.1	803.86	812.63								
Block size [kB] = 8 Run=4		301.16	520.93	762.91	652.41	905.81	883.53	623.45	753.58	745.73	789.56	798.16	802.48								
Block size [kB] = 8 Run=5		456.34	684.05	762.91	868.58	595.24	943.98	623.45	847.37	844.2	754.0	815.66	804.35								
Block size [kB] = 16 Run=1			684.05	917.83	960.92	1040.65	647.35	822.47	940.89	867.68	923.36	914.07	908.93								
Block size [kB] = 16 Run=2			625.31	924.31	701.28	687.31	588.16	742.93	786.21	791.47	805.48	863.07	876.23								
Block size [kB] = 16 Run=3			713.86	979.57	960.92	999.01	1041.49	801.42	906.52	898.06	859.8	860.04	878.45								
Block size [kB] = 16 Run=4			625.31	869.14	917.21	991.46	596.53	662.44	684.47	884.61	806.45	874.89	867.21								
Block size [kB] = 16 Run=5			501.02	972.3	917.21	1000.92	1003.61	891.34	900.88	834.37	764.97	821.85	862.91								
Block size [kB] = 32 Run=1				892.83	1155.81	1147.73	698.67	805.11	979.56	965.78	945.84	953.42	920.97								
Block size [kB] = 32 Run=2				187.03	1116.43	499.89	1076.78	840.27	654.87	933.64	896.66	892.96	910.5								
Block size [kB] = 32 Run=3				820.2	1135.78	1115.97	1091.35	1080.0	926.75	877.95	920.37	893.36	919.11								
Block size [kB] = 32 Run=4				825.36	917.21	885.91	1101.67	828.0	642.63	798.09	858.0	885.74	887.56								
Block size [kB] = 32 Run=5				869.14	1116.43	1104.22	381.74	704.26	934.6	820.74	813.33	854.89	883.73								
Block size [kB] = 64 Run=1					1024.78	556.09	1250.08	875.71	1002.99	969.47	976.79	953.85	943.95	950.4	947.98	951.73	1254.86	1401.46	1413.75	1591.81	1531.26
Block size [kB] = 64 Run=2					993.7	1077.0	773.97	1152.4	820.99	944.68	880.06	925.8	935.4	924.88	915.92	940.88	1128.08	1362.7	1425.88	1607.43	1563.64
Block size [kB] = 64 Run=3					1009.0	1288.79	1206.92	1154.94	961.6	878.77	918.5	912.31	929.91	905.71	922.63	985.5	1271.84	1308.21	1488.77	1584.32	1498.58
Block size [kB] = 64 Run=4					282.85	879.96	1131.39	744.25	812.41	880.25	867.86	912.18	880.72	903.26	908.72	923.19	1250.21	1349.0	1428.21	1533.49	1532.79
Block size [kB] = 64 Run=5					947.03	991.46	1195.9	1048.15	952.21	873.74	896.66	889.26	877.67	904.93	913.03	1029.44	1136.21	1388.9	1412.11	1598.6	1531.4
