# fwrite throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	304.5	557.22	650.12	758.49	679.47	868.31	905.66	907.54	713.83	768.91	782.78	788.94	782.93								
Block size [kB] = 4 Run=2	298.95	521.74	602.32	724.93	822.27	868.31	573.37	681.16	700.71	798.09	760.46	774.07	765.52								
Block size [kB] = 4 Run=3	278.61	490.5	602.32	709.24	790.05	844.53	896.37	564.39	780.65	759.03	788.97	770.2	786.55								
Block size [kB] = 4 Run=4	278.61	391.0	602.32	709.24	822.27	444.76	876.88	894.38	773.46	738.84	730.59	747.03	766.39								
Block size [kB] = 4 Run=5	278.61	521.74	625.31	724.93	812.08	801.9	610.06	844.33	774.03	739.36	710.84	760.37	765.15								
Block size [kB] = 8 Run=1		456.34	782.0	892.83	975.22	1051.09	1086.83	810.4	930.25	961.03	977.08	943.53	932.83								
Block size [kB] = 8 Run=2		462.79	746.38	820.2	975.22	1026.39	1059.38	791.14	929.42	853.3	948.36	917.32	932.51								
Block size [kB] = 8 Run=3		456.34	706.16	805.08	933.54	360.38	1059.38	783.75	947.91	926.32	913.65	925.41	938.63								
Block size [kB] = 8 Run=4		490.5	706.16	846.69	960.92	1000.92	1059.38	995.89	909.08	807.47	867.86	922.31	925.08								
Block size [kB] = 8 Run=5		432.26	746.38	869.14	259.34	1008.62	1082.34	1005.92	917.43	933.23	909.29	914.72	936.5								
Block size [kB] = 16 Run=1			746.38	1002.04	1075.22	1115.97	661.23	851.53	974.78	1021.41	1011.11	1014.96	1012.14								
Block size [kB] = 16 Run=2			676.98	979.57	1041.06	1077.0	520.69	838.93	952.43	999.5	1006.02	1000.61	998.62								
Block size [kB] = 16 Run=3			713.86	979.57	1041.06	1106.55	1131.39	1066.27	981.4	977.6	985.75	1006.56	1015.94								
Block size [kB] = 16 Run=4			746.38	979.57	1041.06	1106.55	1152.53	1059.27	956.99	989.59	933.27	992.68	1014.13								
Block size [kB] = 16 Run=5			713.86	972.3	1079.64	1106.55	1157.62	825.06	930.25	900.95	1048.79	997.88	1003.08								
Block size [kB] = 32 Run=1				944.28	1249.46	1237.09	673.98	1128.83	1020.56	1073.56	1058.78	1052.36	1061.3								
Block size [kB] = 32 Run=2				944.28	1220.38	503.73	1190.47	863.8	1008.05	1021.53	987.2	1035.86	1033.19								
Block size [kB] = 32 Run=3				979.57	1203.57	1189.38	1213.9	863.8	1011.21	766.59	966.16	1045.35	1050.83								
Block size [kB] = 32 Run=4				944.28	1226.08	541.17	1202.76	1113.84	1013.16	1037.83	1030.43	1064.69	1022.96								
Block size [kB] = 32 Run=5				972.3	1226.08	1225.53	1219.55	687.86	1010.97	1009.0	1034.62	1035.35	1038.55								
Block size [kB] = 64 Run=1					1203.57	1453.1	1231.0	1244.0	1051.52	1085.23	1083.11	1068.38	1073.62	1075.77	1089.75	1098.96	1272.71	1466.49	1731.2	1749.96	1786.3
Block size [kB] = 64 Run=2					1160.93	1402.57	1296.45	1184.96	1042.89	1054.93	1026.96	1069.95	1080.5	1071.56	1087.9	1086.72	1373.54	1583.46	1640.67	1722.92	1768.41
Block size [kB] = 64 Run=3					1135.78	1402.57	1309.4	905.97	1044.97	681.68	977.99	1057.94	1066.95	1080.87	1079.07	1088.03	1146.72	1553.88	1727.98	1743.52	1803.66
Block size [kB] = 64 Run=4					1155.81	1387.72	1309.4	1167.8	1026.55	1066.6	1022.76	1051.51	1090.88	1065.18	1070.7	1081.51	1310.88	1421.24	1710.39	1837.44	1781.37
Block size [kB] = 64 Run=5					1135.78	1421.58	776.83	1176.98	1027.81	1061.07	1018.85	1073.51	1064.26	1074.98	1085.44	1089.7	1259.13	1425.69	1714.33	1820.56	1798.05
Block size [kB] = 128 Run=1						1248.88	1551.59	1291.5	1123.63	1090.59	1089.3	1078.48	1096.95	1094.43	1087.86	1090.65	1100.22	1414.71	1706.34	1796.5	1779.08
Block size [kB] = 128 Run=2						1260.9	1498.38	759.89	1068.39	1068.91	1034.62	1070.36	1074.85	1020.24	1092.21	1089.38	1154.94	1555.26	1621.7	1802.99	1750.81
Block size [kB] = 128 Run=3						1237.09	1479.36	1259.7	1041.6	1049.91	855.42	1062.83	1088.35	1105.55	1089.64	1101.19	1194.8	1512.42	1582.04	1831.32	1781.45
Block size [kB] = 128 Run=4						1248.88	1489.87	936.31	1069.48	1051.49	1122.69	1089.33	1075.48	1088.77	1084.56	1086.37	1166.53	1577.08	1607.34	1788.67	1774.39
Block size [kB] = 128 Run=5						1288.79	809.21	954.2	963.36	1062.68	1110.5	1062.83	1077.07	1080.72	1077.46	1092.51	1181.93	1409.16	1585.54	1838.23	1803.29
Block size [kB] = 256 Run=1							1365.68	1445.51	1184.9	1148.21	1107.13	1089.75	1087.77	1091.85	1094.91	1107.68	1329.36	1500.5	1709.55	1870.49	1792.87
Block size [kB] = 256 Run=2							694.51	1039.32	1142.92	1104.96	1093.21	1070.22	1078.75	984.49	1086.26	1090.72	1199.51	1543.86	1675.53	1822.03	1767.62
Block size [kB] = 256 Run=3							708.11	1099.25	1152.34	1099.6	1962.75	1104.97	1098.15	1093.79	1091.85	1105.49	1200.17	1572.73	1640.11	1890.14	1785.14
Block size [kB] = 256 Run=4							1329.32	1538.85	1158.71	1096.43	1129.64	1102.68	1086.07	1073.43	1085.44	1101.64	1150.58	1461.04	1742.72	1899.63	1785.22
Block size [kB] = 256 Run=5							1358.6	1427.79	1150.76	1085.79	1084.86	1094.84	1091.7	1094.66	1095.93	1100.51	1175.3	1353.91	1636.5	1912.01	1796.43
Block size [kB] = 512 Run=1								1298.7	1269.15	1169.66	1126.76	1056.24	1034.13	1042.68	1047.95	1046.2	1342.79	1443.03	1455.55	1620.24	1591.84
Block size [kB] = 512 Run=2								948.59	1215.1	1250.01	1123.29	1046.29	1052.01	1019.6	1033.09	1050.33	1062.38	1272.79	1521.48	1597.22	1572.91
Block size [kB] = 512 Run=3								1354.92	1184.9	1135.62	1813.2	1047.53	1046.03	1049.04	1046.08	1047.92	1056.69	1346.24	1528.02	1609.57	1593.7
Block size [kB] = 512 Run=4								1381.7	1231.52	1193.97	1064.96	1031.34	1051.52	1032.69	1033.61	1039.95	1075.56	1326.36	1473.94	1631.97	1565.81
Block size [kB] = 512 Run=5								1369.97	1250.24	1135.01	1075.27	1034.39	1052.69	1049.21	1033.32	1042.93	1070.01	1312.73	1485.78	1607.12	1591.46
Block size [kB] = 1024 Run=1									1174.94	1392.81	1181.34	1066.95	1043.36	1013.88	1018.66	1015.12	1214.1	1285.78	1379.04	1499.77	1478.31
Block size [kB] = 1024 Run=2									1158.71	1368.05	1160.1	1056.67	1002.44	998.69	1002.07	994.68	1197.46	1278.67	1450.21	1485.13	1496.51
Block size [kB] = 1024 Run=3									1156.15	1349.56	1167.21	1076.54	1037.81	1026.1	1015.6	1008.77	1261.26	1334.62	1433.51	1489.6	1493.2
Block size [kB] = 1024 Run=4									1165.47	1359.62	1098.65	1044.79	1021.18	1011.48	1006.38	1007.83	1245.88	1257.44	1419.97	1508.64	1467.46
Block size [kB] = 1024 Run=5									1165.47	1355.01	1126.46	1055.97	1011.38	1009.88	1004.2	1010.17	1259.88	1324.91	1389.77	1491.56	1500.74
Block size [kB] = 2048 Run=1										1184.86	1317.53	1108.8	1035.12	1011.03	993.19	996.9	1047.23	1268.99	1346.09	1403.84	1430.35
Block size [kB] = 2048 Run=2										1169.5	1238.37	1075.85	1012.34	989.36	995.89	982.83	1092.2	1285.57	1340.68	1410.67	1400.97
Block size [kB] = 2048 Run=3										1158.68	1293.26	1125.5	1039.64	1015.46	1001.41	991.57	1079.94	1243.95	1325.09	1436.5	1403.26
Block size [kB] = 2048 Run=4										1279.57	1296.16	1116.66	1036.8	995.58	991.91	987.96	1125.18	1233.48	1317.66	1413.7	1406.74
Block size [kB] = 2048 Run=5										1165.6	1293.26	1110.2	1034.53	1002.7	993.99	978.15	1092.3	1300.17	1324.69	1427.46	1408.57
Block size [kB] = 4096 Run=1											1116.34	1237.63	1091.7	1002.41	982.2	960.85	1106.17	1147.68	1246.29	1284.8	1296.62
Block size [kB] = 4096 Run=2											1177.86	1265.02	1081.31	997.57	965.53	948.4	1056.01	1224.8	1258.58	1299.86	1302.37
Block size [kB] = 4096 Run=3											1148.75	1243.41	819.0	1012.28	979.51	964.45	1134.72	1152.03	1278.52	1290.85	1298.62
Block size [kB] = 4096 Run=4											1114.78	1220.83	1072.96	993.88	963.14	959.24	1149.85	1141.71	1281.83	1301.68	1334.5
Block size [kB] = 4096 Run=5											1116.34	1246.88	1088.58	1001.22	972.33	960.84	1019.75	1144.98	1255.36	1297.05	1296.52
Block size [kB] = 8192 Run=1												1033.72	1198.14	1045.13	998.3	960.12	994.97	1125.95	1224.0	1284.47	1261.94
Block size [kB] = 8192 Run=2												1074.26	1194.75	1043.64	989.83	960.6	996.36	1188.47	1235.76	1289.42	1285.29
Block size [kB] = 8192 Run=3												1082.37	1195.2	1058.69	1001.94	971.79	1010.55	1185.63	1276.4	1282.11	1285.37
Block size [kB] = 8192 Run=4												1041.23	1165.07	1060.52	985.16	960.16	1066.24	1195.41	1242.79	1272.06	1260.42
Block size [kB] = 8192 Run=5												1038.55	1197.52	1063.26	992.71	959.27	1074.39	1170.34	1229.4	1277.36	1272.45
Block size [kB] = 16384 Run=1													1029.86	1185.71	1066.79	1009.73	1265.36	1144.35	1266.7	1277.81	1261.57
Block size [kB] = 16384 Run=2													1070.75	1179.51	1067.2	992.55	1272.24	1185.35	1251.13	1304.94	1284.93
Block size [kB] = 16384 Run=3													1094.46	1207.64	1078.71	1007.41	1283.17	1150.6	1250.5	1288.92	1293.09
Block size [kB] = 16384 Run=4													1069.09	1186.37	1068.25	995.94	1000.75	1179.03	1216.96	1275.04	1288.05
Block size [kB] = 16384 Run=5													1062.36	1188.14	1065.58	997.93	1263.75	1149.77	1235.41	1274.88	1272.35
# Statistics (excluding 0 values)
#mean val.	287.86	478.04	691.13	877.93	1009.03	1061.23	1072.61	1034.1	1032.4	1051.17	1076.76	1039.92	1030.09	1057.55	1037.63	1027.15	1158.52	1318.94	1443.85	1539.13	1521.11
#standard dev.	12.81	48.59	60.84	106.54	223.52	296.45	291.41	239.0	141.33	176.59	210.6	109.41	98.46	58.36	44.35	54.02	102.29	144.55	182.13	229.23	210.93
#ci. min. 90%	275.64	449.88	663.46	836.74	932.55	969.26	989.32	970.43	997.0	1009.3	1029.23	1016.32	1009.71	1042.93	1026.53	1013.62	1132.9	1282.73	1398.23	1481.71	1468.28
#ci. max 90%	300.07	506.21	718.8	919.12	1085.52	1153.19	1155.9	1097.77	1067.8	1093.04	1124.28	1063.53	1050.47	1072.16	1048.74	1040.68	1184.14	1355.15	1489.46	1596.54	1573.94
#geom. mean	287.63	475.78	688.57	871.51	971.94	1007.78	1029.48	1007.05	1022.25	1035.93	1059.18	1033.79	1024.99	1056.03	1036.7	1025.77	1154.13	1311.37	1432.81	1522.66	1506.91
#median	278.61	476.64	706.16	918.55	1041.06	1106.55	1131.39	1000.91	1027.81	1064.64	1075.27	1056.46	1050.83	1049.04	1033.61	1009.73	1150.58	1285.78	1419.97	1491.56	1493.2
#first quartile	278.61	456.34	637.71	793.43	933.54	901.46	843.04	849.73	952.43	965.17	981.87	1027.24	1012.34	1011.48	995.89	982.83	1074.39	1185.63	1266.7	1297.05	1296.62
#third quartile	298.95	513.93	746.38	974.12	1160.93	1248.88	1302.92	1199.72	1156.15	1156.06	1126.61	1079.45	1080.5	1080.87	1084.56	1088.03	1259.13	1425.69	1621.7	1788.67	1774.39
#minimum	278.61	391.0	602.32	709.24	259.34	360.38	520.69	564.39	700.71	681.68	710.84	747.03	765.15	984.49	963.14	948.4	994.97	1125.95	1216.96	1272.06	1260.42
#maximum	304.5	557.22	782.0	1002.04	1249.46	1453.1	1551.59	1538.85	1269.15	1392.81	1962.75	1265.02	1198.14	1207.64	1095.93	1107.68	1373.54	1583.46	1742.72	1912.01	1803.66
#OOCALC formulas
#mean val.	=AVERAGE(B5:B69)
#standard dev.	=STDEV(B5:B69)
#ci. min. 90%	=AVERAGE(B5:B69)-TINV(1/10;COUNT(B5:B69)-1)*STDEV(B5:B69)/SQRT(COUNT(B5:B69))
#ci. max 90%	=AVERAGE(B5:B69)+TINV(1/10;COUNT(B5:B69)-1)*STDEV(B5:B69)/SQRT(COUNT(B5:B69))
#geom. mean	=GEOMEAN(B5:B69)
#median	=MEDIAN(B5:B69)
#first quatile	=QUARTILE(B5:B69;1)
#third quartile	=QUARTILE(B5:B69;3)
#minimum	=QUARTILE(B5:B69;0)
#maximum	=QUARTILE(B5:B69;4)
