# fwrite throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	216.13												
File size [kB] = 4 Run=2	178.46												
File size [kB] = 4 Run=3	245.25												
File size [kB] = 4 Run=4	228.17												
File size [kB] = 4 Run=5	260.87												
File size [kB] = 8 Run=1	521.74	456.34											
File size [kB] = 8 Run=2	373.19	410.6											
File size [kB] = 8 Run=3	483.26	438.04											
File size [kB] = 8 Run=4	456.34	301.16											
File size [kB] = 8 Run=5	456.34	456.34											
File size [kB] = 16 Run=1	556.31	746.38	684.05										
File size [kB] = 16 Run=2	423.34	676.98	625.31										
File size [kB] = 16 Run=3	556.31	676.98	713.86										
File size [kB] = 16 Run=4	381.45	520.93	625.31										
File size [kB] = 16 Run=5	412.68	684.05	501.02										
File size [kB] = 32 Run=1	694.22	762.91	917.83	892.83									
File size [kB] = 32 Run=2	452.28	528.93	924.31	187.03									
File size [kB] = 32 Run=3	676.31	800.17	979.57	820.2									
File size [kB] = 32 Run=4	432.86	762.91	869.14	825.36									
File size [kB] = 32 Run=5	649.5	762.91	972.3	869.14									
File size [kB] = 64 Run=1	751.55	892.24	960.92	1155.81	1024.78								
File size [kB] = 64 Run=2	265.92	302.08	701.28	1116.43	993.7								
File size [kB] = 64 Run=3	762.48	822.27	960.92	1135.78	1009.0								
File size [kB] = 64 Run=4	726.55	652.41	917.21	917.21	282.85								
File size [kB] = 64 Run=5	762.48	868.58	917.21	1116.43	947.03								
File size [kB] = 128 Run=1	816.89	955.33	1040.65	1147.73	556.09	1168.18							
File size [kB] = 128 Run=2	806.84	938.23	687.31	499.89	1077.0	1077.0							
File size [kB] = 128 Run=3	425.28	946.7	999.01	1115.97	1288.79	1135.3							
File size [kB] = 128 Run=4	529.69	905.81	991.46	885.91	879.96	1051.09							
File size [kB] = 128 Run=5	781.58	595.24	1000.92	1104.22	991.46	885.91							
File size [kB] = 256 Run=1	873.95	992.21	647.35	698.67	1250.08	1460.81	1201.38						
File size [kB] = 256 Run=2	540.0	431.01	588.16	1076.78	773.97	972.88	654.62						
File size [kB] = 256 Run=3	838.99	972.88	1041.49	1091.35	1206.92	1419.29	728.78						
File size [kB] = 256 Run=4	490.03	883.53	596.53	1101.67	1131.39	1225.25	1156.34						
File size [kB] = 256 Run=5	572.11	943.98	1003.61	381.74	1195.9	627.96	677.46						
File size [kB] = 512 Run=1	894.38	810.4	822.47	805.11	875.71	954.2	1072.82	1237.4					
File size [kB] = 512 Run=2	676.76	668.35	742.93	840.27	1152.4	925.97	1035.22	1009.8					
File size [kB] = 512 Run=3	685.83	980.52	801.42	1080.0	1154.94	1244.0	1437.58	1196.45					
File size [kB] = 512 Run=4	681.38	623.45	662.44	828.0	744.25	1231.59	970.99	894.38					
File size [kB] = 512 Run=5	687.63	623.45	891.34	704.26	1048.15	840.27	889.45	755.51					
File size [kB] = 1024 Run=1	793.65	874.94	940.89	979.56	1002.99	1027.81	1076.34	1200.5	1060.56				
File size [kB] = 1024 Run=2	575.37	745.15	786.21	654.87	820.99	856.89	936.27	1049.41	972.75				
File size [kB] = 1024 Run=3	763.46	858.29	906.52	926.75	961.6	997.03	1071.94	1187.58	1048.36				
File size [kB] = 1024 Run=4	684.92	753.58	684.47	642.63	812.41	872.58	831.9	1179.23	960.72				
File size [kB] = 1024 Run=5	737.94	847.37	900.88	934.6	952.21	887.34	843.11	1394.94	1043.67				
File size [kB] = 2048 Run=1	742.96	838.21	867.68	965.78	969.47	986.68	1027.79	1148.05	1205.64	1133.17			
File size [kB] = 2048 Run=2	658.56	794.54	791.47	933.64	944.68	803.6	1005.97	967.12	1067.82	1023.52			
File size [kB] = 2048 Run=3	720.5	853.99	898.06	877.95	878.77	952.84	980.8	1004.53	1266.62	1017.32			
File size [kB] = 2048 Run=4	664.93	745.73	884.61	798.09	880.25	881.45	925.51	964.78	1091.02	1000.57			
File size [kB] = 2048 Run=5	659.85	844.2	834.37	820.74	873.74	817.7	950.57	868.04	1197.55	1016.21			
File size [kB] = 4096 Run=1	745.43	880.29	923.36	945.84	976.79	974.69	961.29	981.36	1030.68	1235.0	1011.11		
File size [kB] = 4096 Run=2	690.11	742.92	805.48	896.66	880.06	885.35	924.42	965.72	977.3	1204.41	990.34		
File size [kB] = 4096 Run=3	713.9	849.1	859.8	920.37	918.5	929.6	966.16	937.65	1005.06	1183.43	975.83		
File size [kB] = 4096 Run=4	699.55	789.56	806.45	858.0	867.86	940.75	910.92	953.04	1007.05	1123.89	978.96		
File size [kB] = 4096 Run=5	689.77	754.0	764.97	813.33	896.66	922.7	957.4	897.67	980.39	1189.8	972.77		
File size [kB] = 8192 Run=1	751.94	868.14	914.07	953.42	953.85	956.13	973.47	953.42	958.89	1015.36	1159.42	946.96	
File size [kB] = 8192 Run=2	705.59	791.38	863.07	892.96	925.8	949.1	915.94	901.5	929.8	1001.99	1128.19	948.0	
File size [kB] = 8192 Run=3	711.04	803.86	860.04	893.36	912.31	934.9	922.49	893.55	923.58	995.27	1140.73	916.82	
File size [kB] = 8192 Run=4	690.25	798.16	874.89	885.74	912.18	895.65	935.45	905.17	910.75	1000.26	1122.34	917.32	
File size [kB] = 8192 Run=5	682.64	815.66	821.85	854.89	889.26	917.95	917.97	895.08	920.59	979.93	1137.64	924.65	
File size [kB] = 16384 Run=1	748.96	840.78	908.93	920.97	943.95	937.49	955.91	932.45	917.58	926.52	972.76	1127.71	947.09
File size [kB] = 16384 Run=2	706.37	824.15	876.23	910.5	935.4	923.15	935.89	897.86	897.97	905.34	969.52	1094.62	919.48
