# iread throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	391.91	1099.39	1430.74	385.73	469.96	335.26	582.93	563.02	561.13	598.81	598.7	781.39	882.22								
Block size [kB] = 4 Run=2	484.65	969.3	1043.47	328.66	405.92	403.05	264.87	485.92	567.5	555.4	559.36	741.42	855.01								
Block size [kB] = 4 Run=3	391.91	783.82	1430.74	372.57	371.94	313.98	447.19	490.24	597.67	543.03	599.79	730.13	849.98								
Block size [kB] = 4 Run=4	391.91	783.82	966.53	325.4	405.92	404.6	496.06	373.97	474.37	554.33	558.89	738.0	852.74								
Block size [kB] = 4 Run=5	549.69	969.3	1027.12	385.73	403.42	484.64	417.46	586.98	494.8	554.48	538.86	728.99	838.62								
Block size [kB] = 8 Run=1		998.85	980.99	385.73	474.21	500.37	628.34	534.74	570.13	581.22	676.83	815.76	931.2								
Block size [kB] = 8 Run=2		998.85	1114.45	154.06	434.15	408.39	483.48	505.0	573.71	564.02	605.53	768.14	877.15								
Block size [kB] = 8 Run=3		866.75	1430.74	371.51	385.62	508.13	584.23	539.42	559.25	620.74	613.7	762.64	903.9								
Block size [kB] = 8 Run=4		715.37	1430.74	331.99	408.45	386.98	381.74	569.44	521.37	559.62	652.31	736.17	891.86								
Block size [kB] = 8 Run=5		715.37	925.58	390.32	419.56	497.99	458.53	507.07	562.18	591.55	595.32	753.51	870.18								
Block size [kB] = 16 Run=1			966.53	381.24	276.58	490.08	624.97	652.75	703.17	663.56	658.12	824.9	912.51								
Block size [kB] = 16 Run=2			1289.93	132.96	466.61	432.65	558.11	583.38	562.1	598.25	627.26	764.08	928.13								
Block size [kB] = 16 Run=3			1195.79	367.35	456.06	454.4	461.36	550.61	556.8	594.52	608.73	800.79	907.18								
Block size [kB] = 16 Run=4			106.42	331.99	466.61	291.3	542.23	542.91	524.89	580.21	668.21	803.86	909.92								
Block size [kB] = 16 Run=5			1195.79	134.6	443.71	326.29	407.24	496.51	546.15	583.93	621.61	782.47	909.77								
Block size [kB] = 32 Run=1				351.58	481.17	454.79	564.42	581.44	601.35	622.08	688.84	863.38	969.99								
Block size [kB] = 32 Run=2				298.02	425.0	417.82	524.34	512.27	626.5	604.77	643.28	798.23	926.52								
Block size [kB] = 32 Run=3				363.28	459.25	423.56	565.63	576.65	657.95	605.33	634.93	823.2	938.35								
Block size [kB] = 32 Run=4				328.66	427.78	426.66	369.76	490.7	613.13	567.53	634.62	798.8	919.54								
Block size [kB] = 32 Run=5				306.38	248.05	271.12	541.11	503.06	587.86	585.97	606.62	778.37	940.13								
Block size [kB] = 64 Run=1					466.61	484.64	417.96	535.29	642.73	614.6	722.54	842.72	952.37	1009.81	1072.76	1109.28	1094.56	77.23	81.54	97.8	96.37
Block size [kB] = 64 Run=2					268.37	403.36	520.95	412.27	577.66	563.04	636.83	791.61	935.57	1047.87	1064.49	1080.08	1095.26	92.17	84.15	98.01	96.2
Block size [kB] = 64 Run=3					431.29	486.44	523.03	553.66	594.19	606.43	647.05	816.59	941.29	1034.36	1061.57	1078.43	1092.82	70.56	83.16	99.32	92.57
Block size [kB] = 64 Run=4					400.34	416.83	486.4	509.66	558.66	532.75	645.98	819.42	944.51	1028.11	1038.86	1082.6	1088.16	84.33	85.43	97.68	96.18
Block size [kB] = 64 Run=5					469.96	459.58	440.98	449.67	539.68	550.04	659.72	814.08	897.71	1024.69	1064.5	1076.91	1092.96	93.13	82.42	91.48	96.13
Block size [kB] = 128 Run=1						459.58	513.3	505.48	604.56	581.42	664.9	667.62	708.56	725.76	710.64	724.28	717.24	70.92	85.75	90.75	92.41
Block size [kB] = 128 Run=2						265.89	466.49	482.13	505.84	538.77	601.51	639.38	669.18	684.71	695.38	704.88	708.89	83.69	87.08	97.85	92.46
Block size [kB] = 128 Run=3						327.11	391.87	534.2	548.86	579.17	644.76	652.68	658.65	697.08	701.73	701.54	713.93	83.39	88.54	97.33	95.76
Block size [kB] = 128 Run=4						372.15	382.86	506.58	483.28	534.21	634.81	660.12	657.95	691.37	686.33	713.63	700.84	81.66	89.04	93.42	95.38
Block size [kB] = 128 Run=5						425.28	396.32	464.3	475.07	544.08	604.04	647.67	658.82	683.6	695.21	692.49	702.96	80.11	88.03	97.53	92.97
Block size [kB] = 256 Run=1							523.03	491.62	546.72	557.09	633.8	673.07	704.29	719.5	724.29	722.24	729.17	74.88	88.02	90.63	95.58
Block size [kB] = 256 Run=2							397.52	404.25	516.55	536.05	621.41	640.26	682.68	709.98	721.18	710.71	722.3	83.04	86.21	97.29	92.56
Block size [kB] = 256 Run=3							359.25	479.37	514.46	542.43	637.34	663.08	679.09	706.76	711.32	716.26	721.16	85.49	88.78	89.8	95.67
Block size [kB] = 256 Run=4							351.54	359.24	456.21	518.94	626.37	657.13	672.61	700.65	702.49	711.22	717.01	72.46	88.73	97.83	92.47
Block size [kB] = 256 Run=5							396.77	450.44	439.52	522.76	598.27	644.6	665.89	710.38	712.58	712.5	716.17	80.78	87.02	97.33	92.49
Block size [kB] = 512 Run=1								477.95	534.18	557.72	626.84	688.88	694.95	721.27	727.46	724.66	731.75	73.44	88.5	90.88	92.5
Block size [kB] = 512 Run=2								354.62	518.66	551.24	617.47	661.59	688.47	719.62	720.19	725.13	725.94	85.39	88.15	98.14	92.54
Block size [kB] = 512 Run=3								461.24	517.06	557.72	627.05	664.22	689.48	712.28	724.26	717.87	727.61	83.51	89.31	96.74	95.53
Block size [kB] = 512 Run=4								385.52	481.01	553.56	612.09	660.82	663.57	702.59	707.02	728.29	711.38	83.16	88.51	97.45	92.31
Block size [kB] = 512 Run=5								455.03	448.6	543.91	579.55	653.02	676.05	701.77	725.32	711.79	723.23	79.26	86.23	97.73	92.26
Block size [kB] = 1024 Run=1									498.8	548.07	619.02	666.66	685.84	727.12	724.38	732.47	732.09	75.04	87.44	97.28	92.57
Block size [kB] = 1024 Run=2									453.74	503.67	610.97	651.14	670.95	715.79	725.99	719.02	727.92	83.37	87.42	97.25	92.4
Block size [kB] = 1024 Run=3									464.24	522.73	602.22	655.95	672.92	700.63	726.16	722.64	724.32	82.38	87.8	89.99	96.24
Block size [kB] = 1024 Run=4									440.54	466.09	605.33	635.67	669.84	705.81	714.67	721.58	725.98	83.02	89.49	98.14	93.01
Block size [kB] = 1024 Run=5									429.0	504.01	601.4	664.5	682.13	705.09	726.48	733.01	724.69	80.83	87.44	97.8	92.38
Block size [kB] = 2048 Run=1										486.98	589.55	645.16	668.98	709.03	720.81	728.37	731.38	74.17	87.73	89.77	92.23
Block size [kB] = 2048 Run=2										494.33	570.04	583.34	681.75	703.39	716.28	725.11	734.15	84.98	88.29	97.38	92.55
Block size [kB] = 2048 Run=3										483.33	546.69	618.04	688.41	697.55	726.32	722.41	730.33	82.34	87.53	89.86	96.07
Block size [kB] = 2048 Run=4										497.61	585.9	631.16	667.7	697.52	710.87	712.59	724.6	82.11	89.59	91.06	92.69
Block size [kB] = 2048 Run=5										459.13	552.72	633.61	646.93	697.96	717.57	717.11	725.65	80.05	88.67	90.54	92.41
Block size [kB] = 4096 Run=1											499.38	585.87	619.84	682.2	709.27	714.95	722.43	73.55	82.11	89.66	92.29
Block size [kB] = 4096 Run=2											462.53	560.31	648.35	685.84	707.74	702.97	716.15	84.76	88.26	97.07	92.15
Block size [kB] = 4096 Run=3											468.27	555.63	627.6	682.11	704.89	707.9	717.58	74.76	89.28	90.49	92.59
Block size [kB] = 4096 Run=4											461.57	544.15	619.82	668.2	685.57	716.77	710.93	82.5	89.28	98.2	92.17
Block size [kB] = 4096 Run=5											451.11	554.82	623.66	668.5	696.19	703.95	716.86	80.99	87.59	97.24	92.84
Block size [kB] = 8192 Run=1												459.95	544.11	606.79	673.17	701.52	712.68	72.88	87.25	90.61	92.14
Block size [kB] = 8192 Run=2												449.71	554.55	626.15	675.7	691.77	708.29	84.58	88.01	96.75	92.62
Block size [kB] = 8192 Run=3												448.23	525.26	635.07	679.56	692.2	703.34	63.77	88.58	90.55	95.91
Block size [kB] = 8192 Run=4												437.25	520.73	607.98	661.34	693.21	700.22	82.97	89.15	98.33	92.6
Block size [kB] = 8192 Run=5												438.72	539.14	626.47	665.82	682.92	702.35	79.3	87.37	97.66	92.79
Block size [kB] = 16384 Run=1													456.91	556.92	617.42	670.31	697.84	73.46	83.98	90.49	92.33
Block size [kB] = 16384 Run=2													455.96	554.89	626.06	661.51	698.17	84.01	88.03	97.78	92.38
Block size [kB] = 16384 Run=3													460.47	558.1	627.54	672.34	697.45	84.87	89.37	90.82	95.71
Block size [kB] = 16384 Run=4													459.54	541.48	623.48	663.35	685.0	82.14	90.5	88.67	92.41
Block size [kB] = 16384 Run=5													441.49	540.64	626.94	662.43	693.7	80.56	89.27	91.08	92.42
# Statistics (excluding 0 values)
