# iread throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	549.69	866.75	1315.83	401.07	508.22	625.04	684.98	695.39	822.28	927.25	505.63	595.28	746.86								
Block size [kB] = 4 Run=2	499.42	969.3	1043.47	274.32	220.88	287.94	352.13	415.62	508.35	494.44	510.93	553.13	725.56								
Block size [kB] = 4 Run=3	484.65	644.97	925.58	298.02	351.02	399.36	535.31	451.31	474.37	567.07	562.75	560.46	760.17								
Block size [kB] = 4 Run=4	433.37	998.85	126.08	236.67	428.48	373.21	400.71	539.42	521.63	531.33	522.8	578.21	717.3								
Block size [kB] = 4 Run=5	484.65	969.3	1289.93	256.1	343.21	273.52	514.56	481.24	476.15	555.1	513.87	590.41	728.76								
Block size [kB] = 8 Run=1		866.75	980.99	416.36	414.26	648.22	515.57	923.93	888.1	970.92	549.82	676.08	780.95								
Block size [kB] = 8 Run=2		597.89	980.99	306.38	199.08	285.28	399.33	576.17	541.7	572.06	562.28	666.33	772.91								
Block size [kB] = 8 Run=3		866.75	1315.83	190.57	349.15	488.25	517.61	540.53	571.76	596.85	575.04	612.17	802.84								
Block size [kB] = 8 Run=4		866.75	912.68	294.67	355.3	188.54	524.08	487.39	492.82	540.68	548.55	659.3	748.86								
Block size [kB] = 8 Run=5		700.08	1043.47	127.03	442.96	405.86	557.81	563.78	499.51	533.9	518.06	614.59	801.84								
Block size [kB] = 16 Run=1			1195.79	452.28	520.33	547.96	659.56	988.38	897.6	1008.03	612.0	596.75	807.35								
Block size [kB] = 16 Run=2			864.53	240.58	442.96	339.61	525.39	492.2	616.1	575.04	563.22	701.08	830.22								
Block size [kB] = 16 Run=3			300.89	312.22	512.19	464.87	403.17	561.21	565.59	641.24	639.7	641.85	821.74								
Block size [kB] = 16 Run=4			821.19	376.85	359.2	416.83	572.11	506.09	546.43	575.71	524.95	692.4	801.65								
