# iread throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	549.69												
File size [kB] = 4 Run=2	499.42												
File size [kB] = 4 Run=3	484.65												
File size [kB] = 4 Run=4	433.37												
File size [kB] = 4 Run=5	484.65												
File size [kB] = 8 Run=1	866.75	866.75											
File size [kB] = 8 Run=2	969.3	597.89											
File size [kB] = 8 Run=3	644.97	866.75											
File size [kB] = 8 Run=4	998.85	866.75											
File size [kB] = 8 Run=5	969.3	700.08											
File size [kB] = 16 Run=1	1315.83	980.99	1195.79										
File size [kB] = 16 Run=2	1043.47	980.99	864.53										
File size [kB] = 16 Run=3	925.58	1315.83	300.89										
File size [kB] = 16 Run=4	126.08	912.68	821.19										
File size [kB] = 16 Run=5	1289.93	1043.47	1027.12										
File size [kB] = 32 Run=1	401.07	416.36	452.28	406.04									
File size [kB] = 32 Run=2	274.32	306.38	240.58	124.03									
File size [kB] = 32 Run=3	298.02	190.57	312.22	328.66									
File size [kB] = 32 Run=4	236.67	294.67	376.85	244.17									
File size [kB] = 32 Run=5	256.1	127.03	130.83	234.98									
File size [kB] = 64 Run=1	508.22	414.26	520.33	462.49	484.73								
File size [kB] = 64 Run=2	220.88	199.08	442.96	425.0	378.93								
File size [kB] = 64 Run=3	351.02	349.15	512.19	223.14	395.51								
File size [kB] = 64 Run=4	428.48	355.3	359.2	430.59	395.51								
File size [kB] = 64 Run=5	343.21	442.96	442.96	287.82	416.89								
File size [kB] = 128 Run=1	625.04	648.22	547.96	573.11	534.0	469.87							
File size [kB] = 128 Run=2	287.94	285.28	339.61	490.54	390.73	415.18							
File size [kB] = 128 Run=3	399.36	488.25	464.87	404.29	444.76	273.52							
File size [kB] = 128 Run=4	373.21	188.54	416.83	449.34	482.41	337.64							
File size [kB] = 128 Run=5	273.52	405.86	412.56	492.38	271.82	372.15							
File size [kB] = 256 Run=1	684.98	515.57	659.56	764.93	612.55	617.24	384.68						
File size [kB] = 256 Run=2	352.13	399.33	525.39	507.1	386.39	477.1	349.2						
File size [kB] = 256 Run=3	535.31	517.61	403.17	424.56	476.23	381.6	375.99						
File size [kB] = 256 Run=4	400.71	524.08	572.11	405.83	457.73	470.68	387.53						
File size [kB] = 256 Run=5	514.56	557.81	532.05	525.13	527.24	517.61	411.24						
File size [kB] = 512 Run=1	695.39	923.93	988.38	1000.17	658.07	598.88	530.28	449.67					
File size [kB] = 512 Run=2	415.62	576.17	492.2	498.51	520.8	464.3	463.79	451.7					
File size [kB] = 512 Run=3	451.31	540.53	561.21	619.58	507.19	423.08	477.62	454.14					
File size [kB] = 512 Run=4	539.42	487.39	506.09	491.16	561.21	507.07	465.54	489.32					
File size [kB] = 512 Run=5	481.24	563.78	550.03	531.89	510.65	457.01	448.42	482.13					
File size [kB] = 1024 Run=1	822.28	888.1	897.6	929.42	872.58	627.81	612.32	544.38	477.56				
File size [kB] = 1024 Run=2	508.35	541.7	616.1	573.4	552.77	532.76	546.15	511.76	485.91				
File size [kB] = 1024 Run=3	474.37	571.76	565.59	618.37	542.89	512.58	504.56	497.79	429.58				
File size [kB] = 1024 Run=4	521.63	492.82	546.43	583.04	567.2	488.06	514.4	514.9	453.74				
File size [kB] = 1024 Run=5	476.15	499.51	582.07	537.88	518.4	522.47	516.55	513.58	437.64				
File size [kB] = 2048 Run=1	927.25	970.92	1008.03	993.58	884.15	648.53	673.42	659.23	534.21	468.49			
File size [kB] = 2048 Run=2	494.44	572.06	575.04	569.96	581.42	573.23	535.3	519.07	504.52	469.82			
File size [kB] = 2048 Run=3	567.07	596.85	641.24	614.65	586.13	522.17	605.16	558.5	530.36	455.07			
File size [kB] = 2048 Run=4	531.33	540.68	575.71	421.94	589.8	551.89	538.53	530.06	498.76	439.08			
File size [kB] = 2048 Run=5	555.1	533.9	585.84	583.77	614.65	548.57	551.45	518.56	485.68	461.68			
File size [kB] = 4096 Run=1	505.63	549.82	612.0	620.26	567.86	551.79	598.36	540.25	539.45	503.64	473.81		
File size [kB] = 4096 Run=2	510.93	562.28	563.22	647.25	616.16	552.5	600.33	587.98	566.72	541.34	451.57		
File size [kB] = 4096 Run=3	562.75	575.04	639.7	685.15	649.03	581.15	638.8	658.55	628.72	550.44	439.66		
File size [kB] = 4096 Run=4	522.8	548.55	524.95	588.06	507.28	579.95	589.71	541.2	508.39	509.62	467.23		
File size [kB] = 4096 Run=5	513.87	518.06	583.68	552.32	570.29	564.25	574.96	508.65	576.12	519.69	448.47		
File size [kB] = 8192 Run=1	595.28	676.08	596.75	716.52	754.42	649.4	628.14	657.24	628.57	618.29	550.81	439.53	
File size [kB] = 8192 Run=2	553.13	666.33	701.08	694.21	750.26	642.51	639.95	637.0	658.77	620.11	536.12	440.04	
File size [kB] = 8192 Run=3	560.46	612.17	641.85	639.74	655.9	626.17	630.32	627.55	616.2	618.0	512.2	460.11	
File size [kB] = 8192 Run=4	578.21	659.3	692.4	769.9	691.38	629.92	605.51	617.09	619.73	598.17	546.38	474.36	
File size [kB] = 8192 Run=5	590.41	614.59	668.39	643.86	642.77	599.03	614.06	623.49	611.06	618.05	529.34	456.0	
File size [kB] = 16384 Run=1	746.86	780.95	807.35	890.72	838.14	673.12	669.06	676.62	698.42	656.73	635.75	557.04	444.26
File size [kB] = 16384 Run=2	725.56	772.91	830.22	825.67	818.07	656.89	675.08	673.34	674.74	665.5	633.21	543.44	446.85
File size [kB] = 16384 Run=3	760.17	802.84	821.74	824.54	858.73	685.78	687.76	678.08	670.66	667.52	617.62	545.59	456.57
File size [kB] = 16384 Run=4	717.3	748.86	801.65	874.7	823.59	663.93	670.78	666.05	667.14	667.23	623.76	561.38	444.57
File size [kB] = 16384 Run=5	728.76	801.84	842.16	839.28	821.23	653.33	673.62	680.07	689.27	681.17	630.74	552.24	439.79
File size [kB] = 32768 Run=1					998.69	692.13	712.96	695.08	716.89	697.62	678.87	616.48	551.55
File size [kB] = 32768 Run=2					951.76	684.7	717.17	689.62	702.92	705.93	651.07	612.45	542.44
File size [kB] = 32768 Run=3					975.37	692.43	708.61	717.71	693.86	697.99	675.44	624.41	548.0
File size [kB] = 32768 Run=4					1000.56	673.93	690.67	687.51	699.59	701.2	666.72	617.48	537.8
File size [kB] = 32768 Run=5					1008.35	676.42	706.35	714.41	707.95	710.09	682.29	623.85	544.75
File size [kB] = 65536 Run=1					1028.92	706.73	714.29	718.5	720.45	711.26	711.81	666.33	619.9
File size [kB] = 65536 Run=2					1025.92	697.12	708.67	722.18	717.42	712.04	702.96	670.8	625.92
File size [kB] = 65536 Run=3					1019.45	704.87	712.12	717.47	718.15	718.53	700.17	673.37	628.43
File size [kB] = 65536 Run=4					1017.36	700.95	715.34	716.56	712.82	714.9	699.21	657.83	627.03
File size [kB] = 65536 Run=5					1020.8	697.13	710.64	722.01	710.0	713.85	701.48	665.38	618.64
File size [kB] = 131072 Run=1					1060.05	715.99	728.5	731.21	733.39	732.75	711.73	698.21	672.93
File size [kB] = 131072 Run=2					1055.0	707.83	721.77	724.15	725.04	722.5	716.31	691.89	672.21
File size [kB] = 131072 Run=3					1055.58	716.03	721.43	731.44	730.31	731.08	722.99	700.1	672.8
File size [kB] = 131072 Run=4					1067.19	707.9	721.24	723.96	729.11	724.98	717.96	702.0	676.6
File size [kB] = 131072 Run=5					1063.93	710.18	725.33	726.82	732.43	729.21	711.31	695.17	673.13
File size [kB] = 262144 Run=1					1087.36	714.32	730.93	731.89	729.68	733.09	724.11	715.25	702.56
File size [kB] = 262144 Run=2					1075.32	712.53	725.49	732.71	730.65	734.46	721.32	713.63	693.8
File size [kB] = 262144 Run=3					1081.05	714.39	726.66	725.3	730.99	726.62	720.32	707.52	697.96
File size [kB] = 262144 Run=4					1078.9	713.45	725.69	730.66	729.34	727.76	726.0	713.0	698.15
File size [kB] = 262144 Run=5					1090.6	711.33	720.85	731.99	730.04	728.42	722.82	710.91	695.28
File size [kB] = 524288 Run=1					179.38	104.52	103.25	108.72	107.83	104.71	105.39	104.08	106.67
File size [kB] = 524288 Run=2					188.12	127.01	128.82	127.55	132.25	128.51	129.87	125.44	128.53
File size [kB] = 524288 Run=3					184.83	125.74	126.53	123.83	124.91	122.59	126.04	124.58	125.27
