# iwrite throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	195.5	338.49	501.02	649.5	743.03	448.18	912.75	755.24	834.06	794.62	773.54	802.17	790.35								
Block size [kB] = 4 Run=2	139.08	325.06	520.93	440.13	762.48	516.64	883.53	595.98	588.61	693.74	726.48	728.46	756.29								
Block size [kB] = 4 Run=3	145.24	328.32	504.88	624.73	726.55	855.55	889.52	915.86	787.99	791.77	773.08	721.49	751.7								
Block size [kB] = 4 Run=4	143.96	190.73	354.62	165.33	285.31	690.94	722.26	713.12	678.93	747.39	744.34	742.87	755.61								
Block size [kB] = 4 Run=5	195.5	338.49	520.93	649.5	753.71	822.02	833.65	770.5	706.73	711.21	724.88	727.99	749.8								
Block size [kB] = 8 Run=1		373.19	556.31	741.33	880.25	967.67	1028.21	841.62	953.29	946.92	895.27	920.59	903.65								
Block size [kB] = 8 Run=2		301.16	538.04	666.0	557.98	595.24	600.97	952.47	673.37	819.05	816.85	852.25	880.37								
Block size [kB] = 8 Run=3		356.93	538.04	724.93	297.62	482.41	1016.25	801.42	892.82	833.38	907.67	871.37	870.37								
Block size [kB] = 8 Run=4		290.48	96.55	709.24	557.98	931.56	442.47	720.47	625.75	824.37	854.9	842.63	873.08								
Block size [kB] = 8 Run=5		373.19	423.34	697.91	538.5	371.1	1003.61	715.31	849.6	814.68	838.58	844.5	840.68								
Block size [kB] = 16 Run=1			596.84	781.09	933.54	1024.39	1101.67	837.58	1007.08	1001.05	970.69	970.07	971.64								
Block size [kB] = 16 Run=2			556.31	489.43	762.48	999.01	1101.67	788.76	695.48	787.08	900.9	885.74	913.04								
Block size [kB] = 16 Run=3			580.96	745.55	907.68	984.01	1082.34	1075.02	943.43	938.97	947.82	928.38	926.73								
Block size [kB] = 16 Run=4			381.45	724.93	264.84	893.46	710.51	1110.89	826.5	821.7	868.44	877.68	919.6								
Block size [kB] = 16 Run=5			434.57	548.86	638.12	991.46	1059.38	949.02	859.17	790.5	898.05	901.21	899.13								
Block size [kB] = 32 Run=1				180.59	960.92	1088.17	1174.47	1187.65	1041.6	1041.57	1027.96	1013.18	1030.61								
Block size [kB] = 32 Run=2				694.22	892.24	1032.46	1131.39	995.89	853.92	810.04	884.93	966.29	966.29								
Block size [kB] = 32 Run=3				758.49	947.03	1068.22	1141.24	877.17	984.16	984.72	974.92	974.66	971.16								
Block size [kB] = 32 Run=4				741.33	736.76	385.56	656.26	722.46	814.3	982.29	927.18	955.45	958.77								
Block size [kB] = 32 Run=5				820.2	657.32	1016.44	453.77	1146.73	868.06	918.21	905.17	928.38	958.95								
Block size [kB] = 64 Run=1					975.22	1057.45	718.3	919.08	1064.06	1033.61	1068.97	1018.57	1033.67	1047.74	1037.06	1030.4	1147.93	1487.95	1657.86	1662.45	1719.39
Block size [kB] = 64 Run=2					960.92	690.03	1007.46	1087.28	708.76	831.23	941.86	935.89	1003.71	1016.01	1014.09	1021.08	1027.46	1363.05	1585.08	1644.54	1698.16
Block size [kB] = 64 Run=3					315.53	1040.65	1111.01	1167.8	1017.09	1002.49	981.08	1001.63	999.0	1015.64	1002.13	1012.41	1230.73	1381.28	1578.25	1800.31	1679.75
Block size [kB] = 64 Run=4					933.54	714.48	1147.48	865.23	711.28	843.52	995.75	971.47	974.25	987.99	1008.54	1000.01	1147.68	1436.51	1565.78	1640.6	1691.64
Block size [kB] = 64 Run=5					677.71	512.6	1136.29	874.25	918.43	1000.93	967.39	926.79	951.02	989.0	996.92	1011.26	1183.23	1419.07	1612.15	1661.37	1661.86
Block size [kB] = 128 Run=1						1106.55	1195.9	910.69	1043.67	1119.11	1076.44	1042.62	1031.99	1047.94	1035.56	1040.5	1071.71	1358.27	1785.83	1770.68	1696.42
Block size [kB] = 128 Run=2						612.63	713.9	1055.01	882.68	831.97	958.33	953.17	1011.0	1006.54	1021.81	1012.27	1028.81	1419.8	1619.35	1757.94	1680.29
Block size [kB] = 128 Run=3						1106.55	708.11	910.69	1012.19	1009.0	1008.56	1013.7	1007.49	983.32	998.7	994.04	1124.8	1416.54	1544.68	1773.63	1705.32
Block size [kB] = 128 Run=4						1051.09	696.35	750.91	765.13	877.58	897.86	973.95	980.28	999.94	1013.47	1004.31	1209.51	1494.04	1651.91	1780.02	1712.72
Block size [kB] = 128 Run=5						1051.09	661.23	883.46	861.29	872.56	999.01	960.49	951.59	988.69	1000.03	980.29	1197.08	1340.51	1511.69	1754.49	1676.19
Block size [kB] = 256 Run=1							1190.47	1210.96	1054.96	1135.16	1031.19	1061.99	1047.4	1038.05	1040.09	1048.03	1302.35	1403.24	1800.01	1811.8	1706.88
Block size [kB] = 256 Run=2							1156.34	1162.63	905.74	931.16	980.62	996.99	1018.21	997.63	1025.94	1028.34	1093.25	1441.17	1768.04	1782.44	1695.58
Block size [kB] = 256 Run=3							1120.51	889.83	997.03	1002.01	1006.81	1007.04	1017.24	991.47	1006.87	1009.12	1032.71	1338.48	1768.11	1803.64	1727.87
Block size [kB] = 256 Run=4							992.21	1163.27	856.89	937.61	969.01	935.45	1002.57	999.9	1014.34	1000.41	1250.59	1372.71	1532.27	1791.89	1715.31
Block size [kB] = 256 Run=5							995.98	1165.21	858.29	908.27	941.65	991.68	1003.83	975.58	1018.93	1008.05	1272.09	1443.27	1722.11	1765.54	1715.64
Block size [kB] = 512 Run=1								910.69	1053.9	1140.25	1030.93	1038.68	1049.94	1058.79	1052.39	1055.67	1058.07	1368.5	1814.9	1835.59	1745.58
Block size [kB] = 512 Run=2								755.24	896.83	856.52	1008.56	1025.88	1009.52	1022.75	1023.64	1016.43	1078.72	1347.45	1565.51	1791.65	1732.54
Block size [kB] = 512 Run=3								877.17	1010.24	1017.81	1005.54	1009.1	1021.12	1002.76	1001.55	1015.91	1130.22	1538.97	1549.82	1760.42	1728.78
