# iwrite throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	184.49	353.08	556.31	728.96	868.58	926.62	972.88	992.12	807.09	875.2	827.98	859.21	853.57								
Block size [kB] = 4 Run=2	184.49	50.43	486.15	666.0	846.16	578.17	954.29	725.71	843.79	853.21	846.74	853.33	826.78								
Block size [kB] = 4 Run=3	195.5	373.19	381.45	482.23	248.05	920.12	969.28	741.88	817.0	831.23	830.89	839.62	864.07								
Block size [kB] = 4 Run=4	186.59	356.93	504.88	694.22	812.08	839.12	976.5	913.87	755.21	863.58	822.54	820.42	843.62								
Block size [kB] = 4 Run=5	186.59	269.02	504.88	679.81	857.22	905.81	642.59	719.24	833.23	850.27	834.57	831.07	852.65								
Block size [kB] = 8 Run=1		462.79	602.32	800.17	975.22	1097.28	1185.09	811.65	966.25	1018.92	1036.86	1031.05	1020.34								
Block size [kB] = 8 Run=2		410.6	602.32	724.93	978.86	1088.17	642.59	826.36	977.51	1002.96	1050.43	985.33	1003.45								
Block size [kB] = 8 Run=3		373.19	556.31	800.17	930.23	1079.21	1146.23	1118.6	759.31	995.94	1017.31	1004.39	1010.88								
Block size [kB] = 8 Run=4		368.98	602.32	805.08	960.92	399.36	1162.75	894.38	972.75	842.84	930.47	996.66	1015.86								
Block size [kB] = 8 Run=5		52.78	520.93	762.91	596.04	1088.17	1179.76	1088.97	973.65	986.68	1008.8	1017.42	999.76								
Block size [kB] = 16 Run=1			625.31	869.14	1041.06	1178.69	1268.22	897.44	1067.03	1084.67	1100.09	1113.29	1123.84								
Block size [kB] = 16 Run=2			602.32	805.08	1045.21	1168.18	1219.55	891.34	980.25	964.78	1030.93	1066.95	1103.99								
Block size [kB] = 16 Run=3			625.31	820.2	989.95	1125.55	742.19	872.43	1054.69	1057.06	1127.74	1068.35	1093.11								
Block size [kB] = 16 Run=4			625.31	841.25	1041.06	1051.09	1244.15	891.34	1037.22	1062.68	1073.55	1076.43	1089.47								
Block size [kB] = 16 Run=5			602.32	846.69	1041.06	1157.87	1231.0	678.51	1040.56	1053.74	1083.74	1095.3	1105.8								
Block size [kB] = 32 Run=1				917.83	1097.73	1200.28	1329.32	938.4	1108.49	1148.21	1158.42	1172.13	1166.61								
Block size [kB] = 32 Run=2				924.31	1057.86	1189.38	1250.08	1322.45	1111.13	1087.48	1141.55	1101.92	1172.58								
Block size [kB] = 32 Run=3				869.14	1075.22	1189.38	1269.76	1301.93	1079.95	1115.39	1162.76	1139.76	1174.84								
Block size [kB] = 32 Run=4				863.42	297.62	512.1	716.33	676.54	1077.73	1213.66	1136.37	1163.31	1152.66								
Block size [kB] = 32 Run=5				869.14	1079.64	546.24	1282.18	1208.17	1092.89	1096.43	1119.84	1157.42	1163.21								
Block size [kB] = 64 Run=1					1097.73	1251.86	1162.75	1366.4	1154.56	1072.33	1242.59	1193.86	1203.28	1224.78	1217.05	1204.98	1223.05	1524.77	1762.82	1940.49	1953.75
Block size [kB] = 64 Run=2					1116.43	1211.37	1351.6	932.98	1108.49	1137.0	1164.78	1185.55	1181.41	1203.74	1217.58	1209.63	1421.07	1518.75	1790.03	1979.65	2004.71
Block size [kB] = 64 Run=3					323.71	1214.17	1282.18	715.31	1351.34	1116.13	1133.46	1178.93	1204.72	1206.55	1209.65	1203.91	1361.61	1729.95	1744.02	1923.98	1982.65
Block size [kB] = 64 Run=4					1135.78	1200.28	752.85	1333.38	1104.98	1224.83	1205.54	1208.65	1198.33	1215.11	1201.72	1217.7	1383.07	1498.01	1744.0	1952.22	1965.53
Block size [kB] = 64 Run=5					1135.78	1237.09	1349.86	948.59	1102.37	1146.8	1201.91	1204.1	1208.28	1198.28	1217.52	1212.57	1479.29	1724.56	1864.74	1991.2	2030.52
Block size [kB] = 128 Run=1						1248.88	1322.61	1354.92	1168.39	1182.03	1231.55	1229.65	1173.79	1234.33	1228.85	1222.81	1354.6	1646.6	1883.54	1929.43	1991.78
