# iwrite throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	195.5												
File size [kB] = 4 Run=2	139.08												
File size [kB] = 4 Run=3	145.24												
File size [kB] = 4 Run=4	143.96												
File size [kB] = 4 Run=5	195.5												
File size [kB] = 8 Run=1	338.49	373.19											
File size [kB] = 8 Run=2	325.06	301.16											
File size [kB] = 8 Run=3	328.32	356.93											
File size [kB] = 8 Run=4	190.73	290.48											
File size [kB] = 8 Run=5	338.49	373.19											
File size [kB] = 16 Run=1	501.02	556.31	596.84										
File size [kB] = 16 Run=2	520.93	538.04	556.31										
File size [kB] = 16 Run=3	504.88	538.04	580.96										
File size [kB] = 16 Run=4	354.62	96.55	381.45										
File size [kB] = 16 Run=5	520.93	423.34	434.57										
File size [kB] = 32 Run=1	649.5	741.33	781.09	180.59									
File size [kB] = 32 Run=2	440.13	666.0	489.43	694.22									
File size [kB] = 32 Run=3	624.73	724.93	745.55	758.49									
File size [kB] = 32 Run=4	165.33	709.24	724.93	741.33									
File size [kB] = 32 Run=5	649.5	697.91	548.86	820.2									
File size [kB] = 64 Run=1	743.03	880.25	933.54	960.92	975.22								
File size [kB] = 64 Run=2	762.48	557.98	762.48	892.24	960.92								
File size [kB] = 64 Run=3	726.55	297.62	907.68	947.03	315.53								
File size [kB] = 64 Run=4	285.31	557.98	264.84	736.76	933.54								
File size [kB] = 64 Run=5	753.71	538.5	638.12	657.32	677.71								
File size [kB] = 128 Run=1	448.18	967.67	1024.39	1088.17	1057.45	1106.55							
File size [kB] = 128 Run=2	516.64	595.24	999.01	1032.46	690.03	612.63							
File size [kB] = 128 Run=3	855.55	482.41	984.01	1068.22	1040.65	1106.55							
File size [kB] = 128 Run=4	690.94	931.56	893.46	385.56	714.48	1051.09							
File size [kB] = 128 Run=5	822.02	371.1	991.46	1016.44	512.6	1051.09							
File size [kB] = 256 Run=1	912.75	1028.21	1101.67	1174.47	718.3	1195.9	1190.47						
File size [kB] = 256 Run=2	883.53	600.97	1101.67	1131.39	1007.46	713.9	1156.34						
File size [kB] = 256 Run=3	889.52	1016.25	1082.34	1141.24	1111.01	708.11	1120.51						
File size [kB] = 256 Run=4	722.26	442.47	710.51	656.26	1147.48	696.35	992.21						
File size [kB] = 256 Run=5	833.65	1003.61	1059.38	453.77	1136.29	661.23	995.98						
