# iwrite throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	184.49												
File size [kB] = 4 Run=2	184.49												
File size [kB] = 4 Run=3	195.5												
File size [kB] = 4 Run=4	186.59												
File size [kB] = 4 Run=5	186.59												
File size [kB] = 8 Run=1	353.08	462.79											
File size [kB] = 8 Run=2	50.43	410.6											
File size [kB] = 8 Run=3	373.19	373.19											
File size [kB] = 8 Run=4	356.93	368.98											
File size [kB] = 8 Run=5	269.02	52.78											
File size [kB] = 16 Run=1	556.31	602.32	625.31										
File size [kB] = 16 Run=2	486.15	602.32	602.32										
File size [kB] = 16 Run=3	381.45	556.31	625.31										
File size [kB] = 16 Run=4	504.88	602.32	625.31										
File size [kB] = 16 Run=5	504.88	520.93	602.32										
File size [kB] = 32 Run=1	728.96	800.17	869.14	917.83									
File size [kB] = 32 Run=2	666.0	724.93	805.08	924.31									
File size [kB] = 32 Run=3	482.23	800.17	820.2	869.14									
File size [kB] = 32 Run=4	694.22	805.08	841.25	863.42									
File size [kB] = 32 Run=5	679.81	762.91	846.69	869.14									
File size [kB] = 64 Run=1	868.58	975.22	1041.06	1097.73	1097.73								
File size [kB] = 64 Run=2	846.16	978.86	1045.21	1057.86	1116.43								
File size [kB] = 64 Run=3	248.05	930.23	989.95	1075.22	323.71								
File size [kB] = 64 Run=4	812.08	960.92	1041.06	297.62	1135.78								
File size [kB] = 64 Run=5	857.22	596.04	1041.06	1079.64	1135.78								
File size [kB] = 128 Run=1	926.62	1097.28	1178.69	1200.28	1251.86	1248.88							
File size [kB] = 128 Run=2	578.17	1088.17	1168.18	1189.38	1211.37	1225.53							
File size [kB] = 128 Run=3	920.12	1079.21	1125.55	1189.38	1214.17	1260.9							
File size [kB] = 128 Run=4	839.12	399.36	1051.09	512.1	1200.28	1225.53							
File size [kB] = 128 Run=5	905.81	1088.17	1157.87	546.24	1237.09	463.23							
File size [kB] = 256 Run=1	972.88	1185.09	1268.22	1329.32	1162.75	1322.61	1336.1						
File size [kB] = 256 Run=2	954.29	642.59	1219.55	1250.08	1351.6	1336.1	743.77						
File size [kB] = 256 Run=3	969.28	1146.23	742.19	1269.76	1282.18	584.23	716.33						
File size [kB] = 256 Run=4	976.5	1162.75	1244.15	716.33	752.85	1331.01	1301.28						
File size [kB] = 256 Run=5	642.59	1179.76	1231.0	1282.18	1349.86	1322.61	1120.51						
File size [kB] = 512 Run=1	992.12	811.65	897.44	938.4	1366.4	1354.92	1282.03	1340.2					
File size [kB] = 512 Run=2	725.71	826.36	891.34	1322.45	932.98	922.71	931.32	927.61					
File size [kB] = 512 Run=3	741.88	1118.6	872.43	1301.93	715.31	1330.0	930.91	974.6					
File size [kB] = 512 Run=4	913.87	894.38	891.34	676.54	1333.38	948.59	945.17	937.98					
File size [kB] = 512 Run=5	719.24	1088.97	678.51	1208.17	948.59	923.93	954.2	1330.0					
File size [kB] = 1024 Run=1	807.09	966.25	1067.03	1108.49	1154.56	1168.39	1189.26	1162.89	1183.56				
File size [kB] = 1024 Run=2	843.79	977.51	980.25	1111.13	1108.49	1144.17	1138.89	1146.99	1106.15				
File size [kB] = 1024 Run=3	817.0	759.31	1054.69	1079.95	1351.34	1088.07	1122.43	1114.97	1153.29				
File size [kB] = 1024 Run=4	755.21	972.75	1037.22	1077.73	1104.98	1116.16	1121.23	1170.68	1149.19				
File size [kB] = 1024 Run=5	833.23	973.65	1040.56	1092.89	1102.37	1173.62	989.27	1101.21	1156.15				
File size [kB] = 2048 Run=1	875.2	1018.92	1084.67	1148.21	1072.33	1182.03	1306.27	1216.48	1207.72	1284.47			
File size [kB] = 2048 Run=2	853.21	1002.96	964.78	1087.48	1137.0	1150.73	1147.43	1257.89	1289.6	1161.41			
File size [kB] = 2048 Run=3	831.23	995.94	1057.06	1115.39	1116.13	1154.06	1140.25	1168.2	1073.56	1153.42			
