# randrd throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	64.05	106.8	141.91	84.9	72.84	76.12	82.54	82.28	81.5	82.03	81.86	83.32	83.25								
Block size [kB] = 4 Run=2	66.12	101.51	179.15	54.26	52.61	71.23	81.62	80.45	80.42	80.73	83.34	82.83	82.42								
Block size [kB] = 4 Run=3	60.28	101.51	67.02	50.47	67.86	80.65	81.94	82.09	81.79	81.27	77.93	82.53	82.64								
Block size [kB] = 4 Run=4	56.73	92.88	147.67	56.4	60.74	59.3	78.55	76.78	80.22	81.05	81.09	80.23	78.85								
Block size [kB] = 4 Run=5	68.32	91.07	175.79	54.53	73.08	72.42	78.97	79.71	82.17	80.79	81.47	83.43	82.39								
Block size [kB] = 8 Run=1		83.21	190.62	134.18	101.3	114.38	122.67	123.33	130.0	125.16	136.18	130.43	144.88								
Block size [kB] = 8 Run=2		100.27	177.7	132.42	100.02	113.22	120.65	104.14	122.96	119.29	123.82	123.85	144.93								
Block size [kB] = 8 Run=3		110.03	183.67	142.65	103.83	111.82	108.22	125.53	124.98	123.37	131.13	124.03	143.68								
Block size [kB] = 8 Run=4		108.57	146.02	134.18	114.48	109.16	113.95	116.71	117.46	130.84	134.85	121.34	118.52								
Block size [kB] = 8 Run=5		37.54	35.99	138.88	71.51	107.66	116.55	125.63	123.03	130.21	121.96	123.63	122.71								
Block size [kB] = 16 Run=1			175.32	283.82	252.84	180.61	201.93	209.11	209.82	209.07	214.65	214.73	216.67								
Block size [kB] = 16 Run=2			159.53	246.0	154.31	170.07	134.47	191.07	201.41	192.53	212.25	209.98	212.67								
Block size [kB] = 16 Run=3			173.92	264.36	257.05	180.68	193.51	198.73	210.67	209.05	208.06	208.82	208.71								
Block size [kB] = 16 Run=4			149.01	276.64	217.76	172.7	159.43	202.1	204.54	208.92	208.83	202.77	202.03								
Block size [kB] = 16 Run=5			181.64	112.72	225.63	183.52	172.53	189.55	201.41	189.56	207.49	208.17	212.15								
Block size [kB] = 32 Run=1				284.44	419.56	367.46	278.45	300.67	310.07	325.57	330.74	336.33	331.89								
Block size [kB] = 32 Run=2				151.74	361.18	231.49	295.47	276.24	323.94	323.21	328.73	326.29	328.82								
Block size [kB] = 32 Run=3				269.25	390.79	260.48	310.89	305.63	321.55	324.46	327.2	326.42	327.76								
Block size [kB] = 32 Run=4				249.75	363.18	324.67	270.54	273.07	311.22	314.91	318.29	324.74	320.74								
Block size [kB] = 32 Run=5				138.88	390.79	260.35	217.19	319.7	319.89	301.71	311.45	325.07	325.99								
Block size [kB] = 64 Run=1					390.79	557.87	548.47	449.28	447.4	455.46	453.1	455.69	463.28	477.73	485.87	469.2	477.36	21.97	13.43	10.83	9.71
Block size [kB] = 64 Run=2					207.1	419.5	353.55	411.46	452.66	426.25	435.34	457.88	454.38	464.83	466.3	450.03	450.33	29.42	13.22	10.82	9.69
Block size [kB] = 64 Run=3					387.9	340.71	389.98	434.39	422.27	437.14	449.23	457.2	451.96	465.65	466.41	471.73	450.75	30.14	13.17	10.78	9.71
Block size [kB] = 64 Run=4					328.99	457.97	437.12	393.33	423.21	420.0	426.45	442.14	443.67	446.32	445.71	445.73	444.04	30.49	13.32	10.74	9.69
Block size [kB] = 64 Run=5					354.82	496.11	440.8	437.01	415.12	431.67	447.23	420.37	452.53	459.57	457.4	462.78	446.37	27.39	13.3	10.82	9.7
Block size [kB] = 128 Run=1						516.64	592.48	520.28	526.87	590.84	594.27	580.09	551.61	539.67	539.22	523.13	540.7	47.11	22.76	19.18	17.57
Block size [kB] = 128 Run=2						307.9	388.25	529.74	444.27	559.62	543.32	531.6	532.56	512.72	537.79	514.68	537.49	54.03	22.65	19.14	17.58
Block size [kB] = 128 Run=3						493.77	409.95	550.03	577.98	550.04	563.45	536.95	516.18	538.94	527.69	538.0	517.09	56.05	22.95	19.09	17.56
Block size [kB] = 128 Run=4						429.46	325.56	475.24	528.0	543.34	558.18	574.14	508.47	515.68	522.13	519.83	515.63	54.85	22.79	19.11	17.58
Block size [kB] = 128 Run=5						433.72	400.71	585.5	508.41	529.36	558.57	518.1	524.62	521.36	530.89	523.32	520.3	51.97	22.67	19.18	17.58
Block size [kB] = 256 Run=1							402.55	505.48	563.39	579.89	613.32	605.27	652.74	595.65	578.26	587.82	576.52	66.05	36.09	30.36	27.67
Block size [kB] = 256 Run=2							410.59	474.81	562.1	550.95	578.03	581.14	638.49	576.91	568.84	561.06	565.98	76.39	36.1	30.52	27.67
