# randrd throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	56.73	84.06	175.79	62.24	70.4	80.81	78.74	85.75	82.18	80.77	80.49	80.7	78.88								
Block size [kB] = 4 Run=2	42.03	75.19	153.19	53.5	68.75	73.31	76.19	79.22	81.97	80.25	79.91	80.25	78.75								
Block size [kB] = 4 Run=3	55.76	104.09	134.62	53.5	68.02	70.91	74.25	80.17	81.53	79.82	79.84	79.87	79.46								
Block size [kB] = 4 Run=4	53.58	71.73	100.24	55.31	66.35	71.02	76.59	77.34	83.38	79.54	79.89	79.94	78.92								
Block size [kB] = 4 Run=5	50.13	102.78	94.19	56.62	67.93	77.88	77.83	80.57	81.97	79.65	78.82	79.29	77.7								
Block size [kB] = 8 Run=1		108.21	164.33	134.74	83.44	116.18	115.42	123.98	116.09	125.05	130.1	120.96	120.8								
Block size [kB] = 8 Run=2		67.31	159.53	119.18	94.4	110.03	104.43	118.4	114.59	117.43	119.69	139.16	138.32								
Block size [kB] = 8 Run=3		43.64	100.85	102.1	91.25	107.75	113.34	118.46	119.25	134.1	121.79	120.13	124.49								
Block size [kB] = 8 Run=4		34.87	100.7	129.16	94.0	106.57	116.11	118.01	115.15	118.54	124.67	138.47	120.46								
Block size [kB] = 8 Run=5		86.96	159.53	134.6	111.61	83.33	109.31	122.37	117.71	126.93	121.67	121.76	131.53								
Block size [kB] = 16 Run=1			179.65	47.07	234.94	178.34	181.29	204.74	192.56	207.67	209.26	202.4	202.85								
Block size [kB] = 16 Run=2			162.7	201.71	130.17	178.28	200.65	191.79	198.29	200.9	202.94	205.56	201.46								
Block size [kB] = 16 Run=3			164.74	117.47	130.76	166.03	179.1	176.66	200.68	207.34	210.93	205.04	205.27								
Block size [kB] = 16 Run=4			118.34	242.36	144.05	121.93	172.53	202.59	202.35	201.88	208.79	205.69	216.52								
Block size [kB] = 16 Run=5			157.61	278.99	204.19	210.15	182.46	207.64	202.6	201.43	205.04	204.0	201.37								
Block size [kB] = 32 Run=1				298.02	383.36	367.71	256.64	293.44	316.46	329.81	323.91	322.19	317.89								
