# randrd throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	64.05												
File size [kB] = 4 Run=2	66.12												
File size [kB] = 4 Run=3	60.28												
File size [kB] = 4 Run=4	56.73												
File size [kB] = 4 Run=5	68.32												
File size [kB] = 8 Run=1	106.8	83.21											
File size [kB] = 8 Run=2	101.51	100.27											
File size [kB] = 8 Run=3	101.51	110.03											
File size [kB] = 8 Run=4	92.88	108.57											
File size [kB] = 8 Run=5	91.07	37.54											
File size [kB] = 16 Run=1	141.91	190.62	175.32										
File size [kB] = 16 Run=2	179.15	177.7	159.53										
File size [kB] = 16 Run=3	67.02	183.67	173.92										
File size [kB] = 16 Run=4	147.67	146.02	149.01										
File size [kB] = 16 Run=5	175.79	35.99	181.64										
File size [kB] = 32 Run=1	84.9	134.18	283.82	284.44									
File size [kB] = 32 Run=2	54.26	132.42	246.0	151.74									
File size [kB] = 32 Run=3	50.47	142.65	264.36	269.25									
File size [kB] = 32 Run=4	56.4	134.18	276.64	249.75									
File size [kB] = 32 Run=5	54.53	138.88	112.72	138.88									
File size [kB] = 64 Run=1	72.84	101.3	252.84	419.56	390.79								
File size [kB] = 64 Run=2	52.61	100.02	154.31	361.18	207.1								
File size [kB] = 64 Run=3	67.86	103.83	257.05	390.79	387.9								
File size [kB] = 64 Run=4	60.74	114.48	217.76	363.18	328.99								
File size [kB] = 64 Run=5	73.08	71.51	225.63	390.79	354.82								
File size [kB] = 128 Run=1	76.12	114.38	180.61	367.46	557.87	516.64							
File size [kB] = 128 Run=2	71.23	113.22	170.07	231.49	419.5	307.9							
File size [kB] = 128 Run=3	80.65	111.82	180.68	260.48	340.71	493.77							
File size [kB] = 128 Run=4	59.3	109.16	172.7	324.67	457.97	429.46							
File size [kB] = 128 Run=5	72.42	107.66	183.52	260.35	496.11	433.72							
File size [kB] = 256 Run=1	82.54	122.67	201.93	278.45	548.47	592.48	402.55						
File size [kB] = 256 Run=2	81.62	120.65	134.47	295.47	353.55	388.25	410.59						
File size [kB] = 256 Run=3	81.94	108.22	193.51	310.89	389.98	409.95	399.49						
File size [kB] = 256 Run=4	78.55	113.95	159.43	270.54	437.12	325.56	342.47						
File size [kB] = 256 Run=5	78.97	116.55	172.53	217.19	440.8	400.71	469.83						
File size [kB] = 512 Run=1	82.28	123.33	209.11	300.67	449.28	520.28	505.48	564.39					
File size [kB] = 512 Run=2	80.45	104.14	191.07	276.24	411.46	529.74	474.81	486.83					
File size [kB] = 512 Run=3	82.09	125.53	198.73	305.63	434.39	550.03	515.55	545.73					
File size [kB] = 512 Run=4	76.78	116.71	202.1	273.07	393.33	475.24	536.52	477.95					
File size [kB] = 512 Run=5	79.71	125.63	189.55	319.7	437.01	585.5	466.36	498.51					
File size [kB] = 1024 Run=1	81.5	130.0	209.82	310.07	447.4	526.87	563.39	580.06	506.33				
File size [kB] = 1024 Run=2	80.42	122.96	201.41	323.94	452.66	444.27	562.1	528.86	475.99				
File size [kB] = 1024 Run=3	81.79	124.98	210.67	321.55	422.27	577.98	645.99	581.35	517.06				
File size [kB] = 1024 Run=4	80.22	117.46	204.54	311.22	423.21	528.0	601.61	528.53	497.03				
File size [kB] = 1024 Run=5	82.17	123.03	201.41	319.89	415.12	508.41	568.5	542.26	430.86				
File size [kB] = 2048 Run=1	82.03	125.16	209.07	325.57	455.46	590.84	579.89	622.49	580.9	526.6			
File size [kB] = 2048 Run=2	80.73	119.29	192.53	323.21	426.25	559.62	550.95	565.77	547.35	478.12			
File size [kB] = 2048 Run=3	81.27	123.37	209.05	324.46	437.14	550.04	548.25	625.56	556.95	499.36			
File size [kB] = 2048 Run=4	81.05	130.84	208.92	314.91	420.0	543.34	549.18	561.34	523.44	470.03			
File size [kB] = 2048 Run=5	80.79	130.21	189.56	301.71	431.67	529.36	541.59	609.38	558.99	469.61			
File size [kB] = 4096 Run=1	81.86	136.18	214.65	330.74	453.1	594.27	613.32	664.24	743.22	601.86	537.34		
File size [kB] = 4096 Run=2	83.34	123.82	212.25	328.73	435.34	543.32	578.03	614.91	644.76	526.38	537.42		
