# randrd throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	56.73												
File size [kB] = 4 Run=2	42.03												
File size [kB] = 4 Run=3	55.76												
File size [kB] = 4 Run=4	53.58												
File size [kB] = 4 Run=5	50.13												
File size [kB] = 8 Run=1	84.06	108.21											
File size [kB] = 8 Run=2	75.19	67.31											
File size [kB] = 8 Run=3	104.09	43.64											
File size [kB] = 8 Run=4	71.73	34.87											
File size [kB] = 8 Run=5	102.78	86.96											
File size [kB] = 16 Run=1	175.79	164.33	179.65										
File size [kB] = 16 Run=2	153.19	159.53	162.7										
File size [kB] = 16 Run=3	134.62	100.85	164.74										
File size [kB] = 16 Run=4	100.24	100.7	118.34										
File size [kB] = 16 Run=5	94.19	159.53	157.61										
File size [kB] = 32 Run=1	62.24	134.74	47.07	298.02									
File size [kB] = 32 Run=2	53.5	119.18	201.71	150.34									
File size [kB] = 32 Run=3	53.5	102.1	117.47	197.75									
File size [kB] = 32 Run=4	55.31	129.16	242.36	188.1									
File size [kB] = 32 Run=5	56.62	134.6	278.99	201.71									
File size [kB] = 64 Run=1	70.4	83.44	234.94	383.36	304.89								
File size [kB] = 64 Run=2	68.75	94.4	130.17	314.02	271.71								
File size [kB] = 64 Run=3	68.02	91.25	130.76	334.02	337.46								
File size [kB] = 64 Run=4	66.35	94.0	144.05	341.86	189.3								
File size [kB] = 64 Run=5	67.93	111.61	204.19	320.54	300.35								
File size [kB] = 128 Run=1	80.81	116.18	178.34	367.71	510.1	413.87							
File size [kB] = 128 Run=2	73.31	110.03	178.28	328.95	545.67	471.56							
File size [kB] = 128 Run=3	70.91	107.75	166.03	341.38	497.99	499.89							
File size [kB] = 128 Run=4	71.02	106.57	121.93	230.68	512.1	471.56							
File size [kB] = 128 Run=5	77.88	83.33	210.15	351.21	504.22	490.08							
File size [kB] = 256 Run=1	78.74	115.42	181.29	256.64	514.56	568.08	407.09						
File size [kB] = 256 Run=2	76.19	104.43	200.65	274.44	342.92	554.57	392.46						
File size [kB] = 256 Run=3	74.25	113.34	179.1	273.51	343.82	410.43	391.87						
File size [kB] = 256 Run=4	76.59	116.11	172.53	287.38	499.13	549.34	430.13						
File size [kB] = 256 Run=5	77.83	109.31	182.46	294.15	396.77	500.08	524.08						
File size [kB] = 512 Run=1	85.75	123.98	204.74	293.44	432.96	544.04	624.19	552.35					
File size [kB] = 512 Run=2	79.22	118.4	191.79	297.77	433.31	518.1	571.46	444.42					
File size [kB] = 512 Run=3	80.17	118.46	176.66	279.03	425.49	552.49	482.13	473.95					
File size [kB] = 512 Run=4	77.34	118.01	202.59	293.56	435.11	509.17	500.54	449.28					
File size [kB] = 512 Run=5	80.57	122.37	207.64	289.87	440.5	498.04	465.54	487.28					
File size [kB] = 1024 Run=1	82.18	116.09	192.56	316.46	434.02	590.01	727.32	846.0	736.38				
File size [kB] = 1024 Run=2	81.97	114.59	198.29	321.95	437.64	570.13	554.96	512.83	522.99				
File size [kB] = 1024 Run=3	81.53	119.25	200.68	313.57	431.39	493.11	551.9	544.66	514.15				
File size [kB] = 1024 Run=4	83.38	115.15	202.35	319.47	417.02	564.98	526.01	504.56	489.71				
File size [kB] = 1024 Run=5	81.97	117.71	202.6	311.32	428.26	585.08	560.83	528.26	530.27				
File size [kB] = 2048 Run=1	80.77	125.05	207.67	329.81	407.57	527.99	657.68	866.52	875.29	798.09			
File size [kB] = 2048 Run=2	80.25	117.43	200.9	326.48	433.93	599.88	625.98	795.52	866.16	759.03			
File size [kB] = 2048 Run=3	79.82	134.1	207.34	320.06	447.23	573.23	616.14	768.34	845.3	818.02			
File size [kB] = 2048 Run=4	79.54	118.54	201.88	327.98	432.43	540.09	540.41	792.36	847.09	810.98			
File size [kB] = 2048 Run=5	79.65	126.93	201.43	317.81	423.03	578.17	578.05	810.35	868.4	777.31			
File size [kB] = 4096 Run=1	80.49	130.1	209.26	323.91	468.27	519.61	673.38	794.12	939.17	923.81	829.37		
File size [kB] = 4096 Run=2	79.91	119.69	202.94	329.59	462.91	552.34	662.93	790.04	925.96	920.57	818.69		
File size [kB] = 4096 Run=3	79.84	121.79	210.93	327.09	465.05	555.03	800.64	873.91	1040.27	934.57	818.33		
File size [kB] = 4096 Run=4	79.89	124.67	208.79	326.93	446.13	551.41	676.7	794.12	881.81	896.04	826.11		
File size [kB] = 4096 Run=5	78.82	121.67	205.04	323.68	440.67	515.26	705.85	792.09	901.91	923.76	818.49		
File size [kB] = 8192 Run=1	80.7	120.96	202.4	322.19	461.52	583.73	675.67	844.33	913.97	963.63	899.49	854.07	
File size [kB] = 8192 Run=2	80.25	139.16	205.56	320.98	456.52	544.21	679.59	828.67	888.02	961.53	897.78	825.0	
File size [kB] = 8192 Run=3	79.87	120.13	205.04	323.94	458.58	521.41	637.2	841.47	938.62	980.5	922.92	853.07	
File size [kB] = 8192 Run=4	79.94	138.47	205.69	329.94	447.63	547.87	687.58	841.39	935.79	971.25	897.57	841.3	
File size [kB] = 8192 Run=5	79.29	121.76	204.0	324.13	436.18	528.02	655.63	850.97	899.27	956.24	898.77	857.71	
File size [kB] = 16384 Run=1	78.88	120.8	202.85	317.89	454.75	535.73	703.42	848.31	953.79	985.41	969.92	913.98	861.0
File size [kB] = 16384 Run=2	78.75	138.32	201.46	320.63	456.02	518.38	714.54	825.55	950.67	968.52	979.25	931.15	859.34
File size [kB] = 16384 Run=3	79.46	124.49	205.27	332.37	456.49	539.86	712.92	836.59	975.73	979.49	984.19	928.99	864.25
File size [kB] = 16384 Run=4	78.92	120.46	216.52	325.14	453.91	531.95	717.9	837.39	939.8	968.34	976.26	917.33	864.31
File size [kB] = 16384 Run=5	77.7	131.53	201.37	318.74	449.0	525.64	717.1	840.21	970.22	997.0	985.77	926.19	864.26
File size [kB] = 32768 Run=1					458.47	513.45	619.0	755.59	931.96	1019.75	998.56	960.41	943.67
File size [kB] = 32768 Run=2					453.23	514.31	569.92	741.55	940.54	1016.87	989.76	973.09	929.69
File size [kB] = 32768 Run=3					452.17	542.59	599.98	732.43	940.7	1013.84	1017.52	976.5	952.07
File size [kB] = 32768 Run=4					455.2	518.25	583.23	736.8	943.12	1017.49	996.32	970.46	932.46
File size [kB] = 32768 Run=5					450.7	512.88	597.86	739.94	924.78	1018.33	999.09	968.84	937.65
File size [kB] = 65536 Run=1					454.82	517.46	567.79	606.15	779.48	938.23	996.2	976.86	962.14
File size [kB] = 65536 Run=2					451.58	527.97	566.14	604.92	810.98	960.34	984.06	975.76	965.17
File size [kB] = 65536 Run=3					454.97	516.33	565.91	609.23	769.84	941.34	1001.97	977.13	970.01
File size [kB] = 65536 Run=4					452.39	524.44	560.36	611.83	758.82	954.68	986.12	971.38	956.85
File size [kB] = 65536 Run=5					441.94	514.47	562.9	615.59	797.25	958.4	987.53	965.19	961.08
File size [kB] = 131072 Run=1					471.17	522.58	572.08	594.13	644.57	876.27	967.97	966.81	983.88
File size [kB] = 131072 Run=2					457.03	515.66	573.19	590.88	626.78	857.14	962.49	969.44	972.67
File size [kB] = 131072 Run=3					459.6	520.12	573.01	601.05	642.65	855.15	966.88	976.15	986.05
File size [kB] = 131072 Run=4					455.48	525.4	579.76	597.68	639.13	857.82	965.11	967.32	984.91
File size [kB] = 131072 Run=5					451.56	520.59	574.81	591.02	628.87	874.75	961.33	970.58	977.76
File size [kB] = 262144 Run=1					476.1	519.65	581.64	604.01	632.1	746.5	943.26	966.71	998.89
File size [kB] = 262144 Run=2					461.76	519.56	572.28	599.31	626.13	754.65	941.15	957.87	994.94
File size [kB] = 262144 Run=3					466.33	519.99	577.11	598.03	632.09	758.56	936.57	970.38	1002.66
File size [kB] = 262144 Run=4					461.83	521.67	573.44	598.53	624.82	741.62	934.32	961.76	989.55
File size [kB] = 262144 Run=5					457.71	519.16	570.54	595.16	624.8	751.86	943.49	962.87	993.99
File size [kB] = 524288 Run=1					21.71	54.47	70.3	91.97	112.77	126.27	132.23	134.15	141.81
File size [kB] = 524288 Run=2					30.91	56.37	78.28	104.29	131.6	146.0	140.39	139.0	146.15
File size [kB] = 524288 Run=3					30.99	58.4	75.06	99.71	123.23	138.46	136.05	141.28	141.2
File size [kB] = 524288 Run=4					30.68	57.69	78.78	105.74	128.58	142.31	145.44	144.57	143.45
File size [kB] = 524288 Run=5					26.95	56.01	73.54	96.89	120.11	135.19	132.23	137.5	139.87
File size [kB] = 1048576 Run=1					13.68	25.24	36.65	54.91	73.34	87.67	77.43	75.82	75.55
File size [kB] = 1048576 Run=2					13.28	25.27	36.73	54.96	73.38	89.19	82.8	82.41	80.87
File size [kB] = 1048576 Run=3					13.22	25.12	37.04	54.71	73.83	87.47	77.4	77.18	77.51
File size [kB] = 1048576 Run=4					13.29	22.94	36.71	54.66	73.91	92.06	102.65	112.55	114.13
File size [kB] = 1048576 Run=5					13.38	24.96	36.71	55.03	73.52	88.74	80.21	78.82	79.05
File size [kB] = 2097152 Run=1					10.76	20.1	30.69	46.15	63.52	79.34	79.21	82.19	82.38
File size [kB] = 2097152 Run=2					10.77	19.28	30.65	46.09	63.9	80.43	92.16	98.21	101.97
File size [kB] = 2097152 Run=3					10.76	19.7	31.05	46.11	63.39	79.7	82.84	86.49	88.24
File size [kB] = 2097152 Run=4					10.79	20.16	30.66	46.19	63.54	79.47	78.99	80.9	83.19
