# randwr throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	322.48	462.79	486.15	580.46	547.5	612.63	783.8	742.93	825.68	893.28	850.35	831.51	850.2								
Block size [kB] = 4 Run=2	328.96	338.49	486.15	781.09	314.02	352.15	710.03	941.78	766.39	783.04	842.62	854.87	847.91								
Block size [kB] = 4 Run=3	298.95	338.49	446.41	531.07	880.25	600.69	704.31	665.8	786.8	767.78	825.58	853.24	856.07								
Block size [kB] = 4 Run=4	322.48	373.19	434.57	800.17	584.09	578.17	593.82	834.58	644.3	836.78	840.34	824.84	849.84								
Block size [kB] = 4 Run=5	260.87	373.19	446.41	512.39	892.24	548.53	731.32	765.72	651.92	817.3	836.15	842.63	852.29								
Block size [kB] = 8 Run=1		521.74	746.38	679.81	710.79	1203.03	626.84	892.86	1067.31	1083.97	1084.3	1099.04	1087.1								
Block size [kB] = 8 Run=2		483.26	676.98	652.73	703.17	1200.28	804.24	786.1	938.15	995.58	1075.27	1026.57	1079.25								
Block size [kB] = 8 Run=3		47.37	472.14	917.83	701.28	628.04	1256.07	1022.6	838.22	926.83	1083.39	1058.34	1095.82								
Block size [kB] = 8 Run=4		391.0	684.05	666.0	1062.15	473.27	577.47	1160.05	931.07	997.95	1007.29	1035.06	1103.53								
Block size [kB] = 8 Run=5		391.0	538.04	613.04	695.7	1008.62	832.99	632.09	1032.11	1047.03	1036.79	1053.75	1062.91								
Block size [kB] = 16 Run=1			538.04	191.68	780.64	437.34	624.97	954.2	1082.18	1322.75	1270.63	1223.77	1250.4								
Block size [kB] = 16 Run=2			542.49	917.83	1160.93	672.33	609.71	844.67	1148.24	1202.01	1101.6	1216.19	1214.34								
Block size [kB] = 16 Run=3			706.16	636.87	753.71	816.89	617.24	969.2	1011.21	1090.59	1139.31	1209.35	1236.1								
Block size [kB] = 16 Run=4			520.93	639.98	760.27	1288.79	606.53	843.31	1034.15	1175.24	1183.84	1200.87	1221.74								
