# randwr throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	241.63												
File size [kB] = 4 Run=2	231.39												
File size [kB] = 4 Run=3	260.87												
File size [kB] = 4 Run=4	245.25												
File size [kB] = 4 Run=5	205.3												
File size [kB] = 8 Run=1	410.6	243.08											
File size [kB] = 8 Run=2	373.19	312.65											
File size [kB] = 8 Run=3	373.19	391.0											
File size [kB] = 8 Run=4	260.46	386.39											
File size [kB] = 8 Run=5	260.46	325.06											
File size [kB] = 16 Run=1	575.86	602.32	97.12										
File size [kB] = 16 Run=2	434.57	458.92	446.41										
File size [kB] = 16 Run=3	580.96	596.84	458.92										
File size [kB] = 16 Run=4	400.08	472.14	596.84										
File size [kB] = 16 Run=5	381.45	458.92	580.96										
File size [kB] = 32 Run=1	762.91	869.14	825.36	805.08									
File size [kB] = 32 Run=2	504.5	528.93	167.87	590.93									
File size [kB] = 32 Run=3	613.04	781.09	820.2	636.87									
File size [kB] = 32 Run=4	520.53	601.78	548.86	613.04									
File size [kB] = 32 Run=5	741.33	846.69	800.17	762.91									
File size [kB] = 64 Run=1	790.05	1062.15	1116.43	1079.64	947.03								
File size [kB] = 64 Run=2	600.14	1024.78	745.14	792.44	695.7								
File size [kB] = 64 Run=3	865.72	1024.78	975.22	1041.06	904.55								
File size [kB] = 64 Run=4	612.76	1009.0	762.48	751.55	917.21								
File size [kB] = 64 Run=5	612.76	832.72	1079.64	920.43	907.68								
File size [kB] = 128 Run=1	1000.92	1006.69	1106.55	1314.64	1051.09	891.94							
File size [kB] = 128 Run=2	985.86	805.6	862.59	1304.83	868.31	753.5							
File size [kB] = 128 Run=3	933.22	1088.17	1048.98	1263.94	1214.17	920.12							
File size [kB] = 128 Run=4	645.03	1008.62	879.96	578.81	816.89	993.33							
File size [kB] = 128 Run=5	370.83	801.9	879.96	861.17	874.1	955.33							
File size [kB] = 256 Run=1	980.16	1156.34	1282.18	698.67	1452.71	1322.61	1115.74						
File size [kB] = 256 Run=2	502.96	565.63	619.06	987.54	1012.33	611.13	555.45						
File size [kB] = 256 Run=3	971.98	1248.59	759.94	1302.89	1358.6	1162.75	1024.19						
File size [kB] = 256 Run=4	583.9	809.21	919.15	1381.88	950.83	915.94	1068.01						
File size [kB] = 256 Run=5	671.82	661.23	922.39	1000.73	1396.6	1012.33	788.52						
File size [kB] = 512 Run=1	1080.0	1344.5	1465.71	1592.61	1586.58	1497.1	986.06	1123.99					
File size [kB] = 512 Run=2	1033.18	997.79	1037.27	884.95	792.33	782.58	613.6	711.19					
File size [kB] = 512 Run=3	787.57	924.34	978.69	1487.55	1484.39	1358.43	875.71	1100.98					
File size [kB] = 512 Run=4	703.32	645.91	974.6	1412.41	970.99	1009.8	793.83	1091.81					
File size [kB] = 512 Run=5	628.3	697.47	782.28	807.9	1106.21	789.95	748.5	741.88					
File size [kB] = 1024 Run=1	813.04	1342.26	1237.69	1329.92	1319.04	1317.39	1248.38	1155.83	960.5				
File size [kB] = 1024 Run=2	661.79	956.99	1028.82	1062.71	1092.89	1081.06	1070.57	979.33	843.79				
File size [kB] = 1024 Run=3	889.6	1056.02	1422.86	1529.2	1567.49	1231.88	1449.41	950.48	828.62				
File size [kB] = 1024 Run=4	658.36	853.92	941.52	1295.42	1102.66	1064.87	1041.6	885.1	807.09				
File size [kB] = 1024 Run=5	641.45	881.93	966.03	1062.71	876.4	1053.63	1014.14	770.47	698.84				
File size [kB] = 2048 Run=1	931.98	1130.57	1339.65	1407.53	1329.03	1326.3	1428.62	1257.13	1247.78	969.02			
File size [kB] = 2048 Run=2	885.73	1011.19	981.38	1038.99	1064.98	1060.0	1160.12	1038.99	994.99	878.31			
File size [kB] = 2048 Run=3	892.52	1162.21	1168.2	1251.51	1372.75	1255.44	1353.04	1293.58	1108.61	906.99			
File size [kB] = 2048 Run=4	758.68	855.04	1000.93	1033.1	1110.51	1393.73	1152.79	1132.55	1009.12	883.03			
File size [kB] = 2048 Run=5	739.36	853.21	969.02	1140.87	1020.91	1105.54	928.58	1036.81	943.41	856.52			
File size [kB] = 4096 Run=1	882.42	1112.04	1267.37	1322.73	1407.39	1397.66	1384.05	1346.4	1278.77	1129.64	899.88		
File size [kB] = 4096 Run=2	804.63	1035.2	1110.79	1177.86	1274.3	1195.83	1157.38	1169.97	1094.06	1033.03	867.32		
File size [kB] = 4096 Run=3	862.59	1041.36	1147.8	1289.09	1314.95	1317.53	1230.38	1305.54	1173.66	1046.3	863.92		
File size [kB] = 4096 Run=4	790.83	983.26	1118.27	1177.12	1200.79	1215.84	1224.36	1192.26	1098.29	1017.31	861.88		
File size [kB] = 4096 Run=5	852.68	1057.98	1091.43	1179.27	1231.19	1205.88	1183.09	1086.34	1108.67	1036.28	899.06		
File size [kB] = 8192 Run=1	894.26	1122.15	1251.01	1314.07	1388.85	1387.93	1399.34	1377.85	1345.42	1248.64	1062.7	837.44	
File size [kB] = 8192 Run=2	850.52	1022.76	1125.47	1241.66	1275.75	1280.62	1325.59	1275.26	1273.47	1172.67	1015.98	838.65	
File size [kB] = 8192 Run=3	853.33	1079.62	1209.18	1284.09	1327.16	1360.53	1362.13	1326.48	1304.21	1188.36	1043.69	849.16	
File size [kB] = 8192 Run=4	826.53	1005.26	1059.58	1272.26	1256.68	1236.86	1274.1	1248.82	1230.55	1167.2	1017.7	833.67	
File size [kB] = 8192 Run=5	817.51	1002.38	1182.38	1197.1	1230.01	1214.69	1266.64	1268.61	1265.4	1166.35	1037.21	847.02	
File size [kB] = 16384 Run=1	889.24	1107.65	1243.11	1346.57	1394.56	1412.53	1410.57	1384.81	1358.68	1327.58	1160.41	998.26	861.37
File size [kB] = 16384 Run=2	841.62	1067.73	1158.83	1311.8	1354.89	1376.12	1359.03	1360.77	1336.57	1317.72	1146.95	994.71	858.64
File size [kB] = 16384 Run=3	845.17	1060.59	1186.68	1284.93	1334.44	1362.87	1359.17	1360.66	1335.45	1288.45	1141.87	976.63	846.34
File size [kB] = 16384 Run=4	845.63	1032.53	1143.33	1219.99	1323.39	1320.68	1280.22	1325.27	1295.02	1247.96	1143.74	990.41	846.57
File size [kB] = 16384 Run=5	830.09	1029.26	1121.16	1244.26	1268.03	1312.44	1312.88	1319.9	1326.82	1289.59	1138.95	984.0	833.77
File size [kB] = 32768 Run=1					1398.48	1398.73	1412.87	1412.06	1429.66	1365.95	1247.27	1122.88	1027.78
File size [kB] = 32768 Run=2					1361.29	1371.98	1390.7	1409.88	1399.33	1348.27	1225.3	1119.55	1013.65
File size [kB] = 32768 Run=3					1356.68	1383.19	1377.12	1388.53	1383.78	1341.88	1162.49	1104.17	999.69
File size [kB] = 32768 Run=4					1344.94	1327.04	1354.85	1357.53	1366.53	1336.9	1201.42	1100.9	1005.75
File size [kB] = 32768 Run=5					1313.31	1358.63	1314.28	1366.7	1371.1	1328.63	1183.74	1103.29	995.43
File size [kB] = 65536 Run=1					1398.6	1412.02	1425.32	1418.25	1424.34	1408.11	1281.51	1183.76	1127.04
File size [kB] = 65536 Run=2					1361.1	1392.3	1372.1	1400.01	1413.71	1370.63	1256.68	1175.3	1099.45
File size [kB] = 65536 Run=3					1359.82	1375.34	1360.77	1384.5	1411.31	1346.77	1254.41	1172.65	1110.78
File size [kB] = 65536 Run=4					1359.44	1372.86	1379.05	1386.28	1403.81	1372.45	1250.17	1174.96	1101.08
File size [kB] = 65536 Run=5					1343.04	1359.53	1384.47	1378.28	1382.38	1381.09	1238.01	1154.26	1098.86
File size [kB] = 131072 Run=1					1399.44	1403.4	1429.73	1432.33	1437.23	1413.79	1294.2	1230.41	1192.96
File size [kB] = 131072 Run=2					1377.38	1385.62	1401.8	1406.49	1413.76	1405.45	1279.54	1202.76	1178.66
File size [kB] = 131072 Run=3					1342.86	1374.01	1395.25	1392.86	1806.94	1382.32	1276.97	1203.83	1168.2
File size [kB] = 131072 Run=4					1359.93	1375.93	1370.55	1401.48	1401.97	1378.42	1264.61	1200.95	1168.44
File size [kB] = 131072 Run=5					1359.08	1379.64	1379.5	1399.53	1401.59	1384.37	1265.55	1197.54	1168.56
File size [kB] = 262144 Run=1					1630.1	1667.92	1424.43	1607.44	1535.06	1433.09	1299.76	1238.84	1236.45
File size [kB] = 262144 Run=2					1348.13	1385.46	1405.03	1421.82	1422.03	1418.67	1300.17	1505.69	1433.68
File size [kB] = 262144 Run=3					1340.53	1538.18	1511.15	1404.53	1394.5	1428.93	1390.77	1332.76	1204.18
File size [kB] = 262144 Run=4					1377.22	1552.77	1416.24	1613.86	1804.28	1410.99	1346.88	1278.52	1316.19
File size [kB] = 262144 Run=5					1350.36	1369.04	1587.31	1696.79	1427.19	1713.17	1384.7	1481.76	1481.31
File size [kB] = 524288 Run=1					1627.26	1719.37	1681.37	1781.67	1923.13	1924.6	1559.44	1487.37	1550.95
File size [kB] = 524288 Run=2					1655.21	1602.34	1682.62	1653.84	1837.59	1776.54	1540.4	1523.85	1499.11
File size [kB] = 524288 Run=3					1812.39	1776.0	1909.29	1872.45	1735.59	1643.39	1633.71	1532.28	1408.67
File size [kB] = 524288 Run=4					2015.42	1591.09	1693.69	1771.86	1736.02	1638.69	1508.31	1496.02	1413.42
File size [kB] = 524288 Run=5					1590.93	1567.84	1717.17	1870.48	1871.35	1686.61	1483.91	1502.98	1521.53
File size [kB] = 1048576 Run=1					1960.32	2308.33	2136.4	2386.1	2008.17	1996.16	1778.81	1714.64	1626.5
File size [kB] = 1048576 Run=2					1968.32	2087.36	1951.63	1934.59	2060.42	2038.56	1726.66	1619.25	1626.3
File size [kB] = 1048576 Run=3					1915.58	2055.09	2042.08	1943.27	1986.45	2042.3	1795.65	1636.49	1616.94
File size [kB] = 1048576 Run=4					2139.86	2023.42	1962.9	2098.69	2093.22	2398.94	1724.99	1662.33	1681.3
File size [kB] = 1048576 Run=5					1906.39	2027.99	2034.49	2068.96	2054.45	2061.28	1717.48	1809.37	1640.29
File size [kB] = 2097152 Run=1					2061.32	2343.58	2312.92	2422.88	2406.75	2390.99	1983.39	1814.32	1793.45
File size [kB] = 2097152 Run=2					2006.32	2347.07	2382.83	2363.54	2379.2	2356.42	1986.4	1810.73	1803.11
File size [kB] = 2097152 Run=3					2171.39	2251.21	2238.63	2378.93	2392.46	2345.31	1966.45	1816.71	1816.98
File size [kB] = 2097152 Run=4					2171.16	2337.23	2346.66	2393.35	2383.8	2254.44	1993.17	1812.94	1813.66
File size [kB] = 2097152 Run=5					2165.77	2329.71	2345.72	2367.2	2393.6	2380.78	1994.3	1817.66	1808.03
File size [kB] = 4194304 Run=1					2128.81	2172.46	2256.05	2270.64	2288.67	2288.93	1912.66	1744.95	1749.49
File size [kB] = 4194304 Run=2					2101.04	2177.59	2241.09	2220.5	2278.23	2317.31	1911.22	1740.0	1741.73
File size [kB] = 4194304 Run=3					2077.74	2148.52	2250.17	2244.23	2293.6	2265.64	1901.04	1745.89	1714.79
File size [kB] = 4194304 Run=4					2081.93	2237.98	2234.09	2256.7	2291.82	2270.28	1912.76	1747.46	1744.36
File size [kB] = 4194304 Run=5					2099.86	2209.24	2260.2	2258.98	2309.24	2273.06	1918.36	1733.92	1774.67
# Statistics (excluding 0 values)
#mean val.	681.5	874.22	963.88	1117.78	1410.42	1449.52	1462.91	1512.24	1538.8	1541.52	1393.72	1344.08	1349.34
#standard dev.	233.85	265.05	281.26	261.1	378.79	424.42	442.75	449.97	462.84	463.84	346.88	323.45	326.46
#ci. min. 90%	633.09	817.04	900.41	1055.88	1342.09	1370.54	1377.75	1422.58	1442.99	1441.45	1315.44	1267.39	1267.57
#ci. max 90%	729.91	931.4	1027.35	1179.69	1478.76	1528.5	1548.07	1601.91	1634.62	1641.58	1472.0	1420.77	1431.1
#geom. mean	630.54	822.66	895.71	1083.53	1361.5	1390.92	1396.93	1449.1	1471.74	1476.8	1352.4	1305.03	1309.39
#median	741.33	990.52	1000.93	1188.18	1356.68	1373.44	1379.5	1387.4	1401.97	1381.7	1279.54	1234.63	1316.19
#first quartile	520.53	688.41	822.78	937.21	1214.17	1215.56	1227.37	1260.0	1273.47	1248.47	1153.68	1108.01	1099.45
#third quartile	853.33	1056.51	1145.57	1304.34	1586.58	1573.65	1682.0	1779.22	1871.35	1942.49	1721.23	1655.87	1640.29
#minimum	205.3	243.08	97.12	578.81	695.7	611.13	555.45	711.19	698.84	856.52	861.88	833.67	833.77
#maximum	1080.0	1344.5	1465.71	1592.61	2171.39	2347.07	2382.83	2422.88	2406.75	2398.94	1994.3	1817.66	1816.98
#OOCALC formulas
#mean val.	=AVERAGE(B5:B109)
#standard dev.	=STDEV(B5:B109)
#ci. min. 90%	=AVERAGE(B5:B109)-TINV(1/10;COUNT(B5:B109)-1)*STDEV(B5:B109)/SQRT(COUNT(B5:B109))
#ci. max 90%	=AVERAGE(B5:B109)+TINV(1/10;COUNT(B5:B109)-1)*STDEV(B5:B109)/SQRT(COUNT(B5:B109))
#geom. mean	=GEOMEAN(B5:B109)
#median	=MEDIAN(B5:B109)
#first quatile	=QUARTILE(B5:B109;1)
#third quartile	=QUARTILE(B5:B109;3)
#minimum	=QUARTILE(B5:B109;0)
#maximum	=QUARTILE(B5:B109;4)
