# randwr throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	322.48												
File size [kB] = 4 Run=2	328.96												
File size [kB] = 4 Run=3	298.95												
File size [kB] = 4 Run=4	322.48												
File size [kB] = 4 Run=5	260.87												
File size [kB] = 8 Run=1	462.79	521.74											
File size [kB] = 8 Run=2	338.49	483.26											
File size [kB] = 8 Run=3	338.49	47.37											
File size [kB] = 8 Run=4	373.19	391.0											
File size [kB] = 8 Run=5	373.19	391.0											
File size [kB] = 16 Run=1	486.15	746.38	538.04										
File size [kB] = 16 Run=2	486.15	676.98	542.49										
File size [kB] = 16 Run=3	446.41	472.14	706.16										
File size [kB] = 16 Run=4	434.57	684.05	520.93										
File size [kB] = 16 Run=5	446.41	538.04	520.93										
File size [kB] = 32 Run=1	580.46	679.81	191.68	892.83									
File size [kB] = 32 Run=2	781.09	652.73	917.83	679.81									
File size [kB] = 32 Run=3	531.07	917.83	636.87	613.04									
File size [kB] = 32 Run=4	800.17	666.0	639.98	869.14									
File size [kB] = 32 Run=5	512.39	613.04	636.87	613.04									
File size [kB] = 64 Run=1	547.5	710.79	780.64	771.45	716.62								
File size [kB] = 64 Run=2	314.02	703.17	1160.93	802.14	975.22								
File size [kB] = 64 Run=3	880.25	701.28	753.71	762.48	672.5								
File size [kB] = 64 Run=4	584.09	1062.15	760.27	751.55	695.7								
File size [kB] = 64 Run=5	892.24	695.7	1181.86	771.45	693.86								
File size [kB] = 128 Run=1	612.63	1203.03	437.34	1327.96	828.51	739.68							
File size [kB] = 128 Run=2	352.15	1200.28	672.33	730.4	443.26	641.09							
File size [kB] = 128 Run=3	600.69	628.04	816.89	404.6	1200.28	634.11							
File size [kB] = 128 Run=4	578.17	473.27	1288.79	687.31	718.39	683.73							
File size [kB] = 128 Run=5	548.53	1008.62	682.84	709.64	518.68	324.67							
File size [kB] = 256 Run=1	783.8	626.84	624.97	1063.67	1322.61	681.42	972.88						
File size [kB] = 256 Run=2	710.03	804.24	609.71	1462.84	631.37	1309.4	831.01						
File size [kB] = 256 Run=3	704.31	1256.07	617.24	969.28	1381.88	922.39	1059.38						
File size [kB] = 256 Run=4	593.82	577.47	606.53	961.29	968.39	1152.53	849.87						
File size [kB] = 256 Run=5	731.32	832.99	905.66	922.39	972.88	923.2	873.95						
File size [kB] = 512 Run=1	742.93	892.86	954.2	1039.84	1278.9	1187.65	881.6	1048.15					
File size [kB] = 512 Run=2	941.78	786.1	844.67	1162.63	1184.96	778.8	846.03	745.04					
File size [kB] = 512 Run=3	665.8	1022.6	969.2	1165.86	1163.27	1149.25	844.33	1096.37					
File size [kB] = 512 Run=4	834.58	1160.05	843.31	1377.16	778.8	862.03	720.47	826.69					
File size [kB] = 512 Run=5	765.72	632.09	722.71	957.69	1173.69	766.84	723.7	648.51					
File size [kB] = 1024 Run=1	825.68	1067.31	1082.18	1301.85	1154.88	1567.49	1237.69	1351.34	972.75				
File size [kB] = 1024 Run=2	766.39	938.15	1148.24	1089.2	1123.63	1119.73	1097.75	1026.81	936.48				
File size [kB] = 1024 Run=3	786.8	838.22	1011.21	1088.07	1106.15	1114.67	1156.15	1017.34	937.11				
File size [kB] = 1024 Run=4	644.3	931.07	1034.15	1097.75	1481.66	1098.9	1096.61	1024.55	924.3				
File size [kB] = 1024 Run=5	651.92	1032.11	1036.19	1222.54	1095.17	1209.15	1111.13	1079.67	950.48				
File size [kB] = 2048 Run=1	893.28	1083.97	1322.75	1406.59	1324.42	1327.14	1433.51	1252.44	1154.06	974.65			
File size [kB] = 2048 Run=2	783.04	995.58	1202.01	1179.37	1345.88	1283.68	1305.46	1314.25	1069.59	951.0			
File size [kB] = 2048 Run=3	767.78	926.83	1090.59	1076.46	1193.97	1392.81	1220.91	1196.18	1028.8	931.98			
File size [kB] = 2048 Run=4	836.78	997.95	1175.24	1170.97	1315.07	1423.53	1299.39	1208.42	1212.08	887.23			
File size [kB] = 2048 Run=5	817.3	1047.03	1190.58	1254.69	1307.9	1406.35	1193.29	1096.43	1035.66	936.77			
File size [kB] = 4096 Run=1	850.35	1084.3	1270.63	1356.41	1477.54	1395.68	1390.36	1380.75	1313.2	1185.18	921.43		
File size [kB] = 4096 Run=2	842.62	1075.27	1101.6	1294.06	1275.56	1253.17	1384.97	1308.49	1250.0	1101.89	913.65		
File size [kB] = 4096 Run=3	825.58	1083.39	1139.31	1284.55	1357.29	1316.19	2368.39	2170.46	1714.62	1104.94	897.23		
File size [kB] = 4096 Run=4	840.34	1007.29	1183.84	1281.21	1324.5	1342.73	1350.95	1358.28	1153.09	1107.42	881.81		
File size [kB] = 4096 Run=5	836.15	1036.79	1189.47	1332.5	1335.04	1322.73	1329.75	1316.29	1300.48	1152.45	920.17		
File size [kB] = 8192 Run=1	831.51	1099.04	1223.77	1334.45	1391.1	1401.79	1399.1	1395.9	1332.01	1279.83	1042.46	848.0	
File size [kB] = 8192 Run=2	854.87	1026.57	1216.19	1281.4	1377.45	1383.13	1365.62	1406.49	1331.54	1226.05	1035.6	841.66	
File size [kB] = 8192 Run=3	853.24	1058.34	1209.35	1318.82	1363.57	1386.73	1372.94	1404.02	1343.21	1225.88	1043.82	856.36	
File size [kB] = 8192 Run=4	824.84	1035.06	1200.87	1271.64	1362.63	1398.81	1364.46	1335.99	1286.8	1261.22	1053.06	842.28	
File size [kB] = 8192 Run=5	842.63	1053.75	1215.04	1302.29	1376.88	1356.18	1383.58	1394.68	1354.54	1255.69	1046.55	845.48	
File size [kB] = 16384 Run=1	850.2	1087.1	1250.4	1331.45	1390.57	1415.18	1388.91	1410.06	1388.65	1346.57	1179.86	1012.84	847.19
File size [kB] = 16384 Run=2	847.91	1079.25	1214.34	1288.03	1379.2	1400.67	1405.46	1372.94	1381.7	1329.13	1153.0	1001.75	835.07
File size [kB] = 16384 Run=3	856.07	1095.82	1236.1	1338.25	1368.82	1391.29	1411.81	1410.95	1381.33	1331.13	1153.99	1010.94	855.52
File size [kB] = 16384 Run=4	849.84	1103.53	1221.74	1320.55	1401.29	1381.07	1367.17	1403.13	1363.56	1337.69	1168.23	1003.96	850.84
File size [kB] = 16384 Run=5	852.29	1062.91	1177.68	1327.26	1351.59	1369.85	1394.94	1418.2	1369.27	1333.43	1161.34	1006.68	859.38
File size [kB] = 32768 Run=1					1401.05	1394.21	1429.46	1417.94	1434.9	1378.77	1230.3	1096.83	1011.95
File size [kB] = 32768 Run=2					1378.47	1398.05	1349.87	1427.49	1396.53	1372.99	1209.65	1109.92	1005.78
File size [kB] = 32768 Run=3					1396.76	1410.76	1421.91	1429.16	1410.06	1386.18	1233.89	1118.14	1012.21
File size [kB] = 32768 Run=4					1371.03	1392.27	1422.6	1433.05	1410.18	1368.05	1223.1	1108.03	1005.54
File size [kB] = 32768 Run=5					1383.49	1405.66	1400.61	1411.56	1396.1	1387.02	1228.83	1116.96	1004.74
File size [kB] = 65536 Run=1					1380.03	1402.98	1420.83	1430.81	1442.58	1409.38	1278.95	1174.32	1118.88
File size [kB] = 65536 Run=2					1394.58	1401.01	1410.13	1434.95	1408.54	1406.25	1265.29	1170.42	1112.81
File size [kB] = 65536 Run=3					1397.77	1416.46	1419.66	1436.42	1429.97	1411.52	1272.77	1178.72	1126.04
File size [kB] = 65536 Run=4					1377.77	1399.15	1420.2	1430.84	1426.28	1405.2	1265.37	1182.23	1116.42
