# recrewr throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	298.95	432.26	713.86	951.14	1298.99	1486.05	1498.38	1683.37	1142.61	1505.0	1480.93	1505.17	1466.29								
Block size [kB] = 4 Run=2	241.63	432.26	472.14	652.73	1249.46	946.7	1024.19	1130.66	1069.48	1339.65	1261.46	1436.79	1383.12								
Block size [kB] = 4 Run=3	260.87	438.04	713.86	190.57	1255.44	1214.17	1381.88	1037.27	1655.99	1473.8	1429.09	1477.08	1434.23								
Block size [kB] = 4 Run=4	231.39	309.7	650.12	979.57	865.72	933.22	1582.03	934.64	1095.46	1221.79	1285.33	1417.96	1432.27								
Block size [kB] = 4 Run=5	298.95	325.06	676.98	741.33	295.94	466.53	980.16	842.97	1275.71	1200.46	1459.42	1343.64	1399.94								
Block size [kB] = 8 Run=1		490.5	713.86	1151.72	1331.99	1860.46	2064.92	2222.02	2252.81	2043.11	2004.97	2042.91	2044.21								
Block size [kB] = 8 Run=2		373.19	556.31	709.24	993.7	1237.09	1275.94	1385.35	1336.7	1683.51	1853.47	1715.57	1906.57								
Block size [kB] = 8 Run=3		462.79	782.0	1122.14	1449.87	1815.37	1713.9	2009.14	1505.6	1950.93	1971.28	1911.63	1986.07								
Block size [kB] = 8 Run=4		325.06	186.28	724.93	1009.0	516.64	1329.32	1366.4	1335.0	1453.63	1666.09	1880.14	1911.34								
Block size [kB] = 8 Run=5		462.79	706.16	1122.14	1491.1	1189.38	1309.4	1344.5	1089.48	1384.99	1711.64	1762.52	1849.91								
Block size [kB] = 16 Run=1			746.38	1122.14	1525.82	1928.91	1893.4	2359.52	2468.97	2139.51	2142.46	2140.8	2221.65								
Block size [kB] = 16 Run=2			556.31	694.22	1135.78	1288.79	1471.05	1123.99	2119.61	1673.77	1747.48	1893.5	1995.28								
Block size [kB] = 16 Run=3			746.38	846.69	1491.1	1561.28	1866.44	1351.43	2380.68	1976.21	2039.83	2093.64	2133.03								
Block size [kB] = 16 Run=4			90.29	1076.07	1116.43	1358.94	2136.44	1511.13	1396.79	1696.45	1779.36	1861.36	1992.02								
Block size [kB] = 16 Run=5			602.32	800.17	365.71	1288.79	1389.2	1515.5	1414.22	1606.15	1794.39	1830.69	2064.26								
Block size [kB] = 32 Run=1				1041.86	1457.93	1950.43	2295.45	1543.38	1841.38	2269.76	2520.69	2292.31	2326.95								
Block size [kB] = 32 Run=2				709.24	1062.15	1263.94	1533.44	1165.86	1474.89	2574.13	1798.62	2349.45	2286.05								
Block size [kB] = 32 Run=3				1041.86	1491.1	1894.06	2017.25	1234.49	2531.56	2621.6	2206.42	2331.66	2280.15								
Block size [kB] = 32 Run=4				741.33	1075.22	1373.18	1572.54	1677.98	1590.07	1834.86	1864.8	2198.44	2136.76								
Block size [kB] = 32 Run=5				825.36	1525.82	1327.96	2231.93	1665.99	2519.4	1808.35	1829.02	2016.64	2139.01								
Block size [kB] = 64 Run=1					1359.63	1708.86	2194.57	2485.35	2716.86	2299.0	2374.09	2304.28	2553.04	2483.91	2504.98	2466.38	2504.69	2471.93	3139.3	4404.39	4562.24
Block size [kB] = 64 Run=2					1298.99	1225.53	1971.73	1128.83	1818.23	1850.24	2345.87	2133.85	2514.12	2472.79	2455.87	2393.87	2478.84	2401.95	3398.56	4269.09	4543.36
Block size [kB] = 64 Run=3					1298.99	1737.17	2102.17	2212.64	2551.58	1930.28	2251.13	2438.23	2396.59	2398.98	2375.83	2443.87	2452.76	2795.58	3527.62	4331.67	4650.82
Block size [kB] = 64 Run=4					933.54	1137.76	1454.73	1660.71	2638.25	1855.56	2116.52	2121.44	2349.44	2365.95	2457.84	2426.17	2463.36	2493.33	3555.32	3642.67	4636.04
Block size [kB] = 64 Run=5					975.22	1157.87	2158.43	2380.95	1479.05	1834.86	1975.23	1917.64	2177.18	2424.42	2438.0	2452.62	2445.83	2622.45	4291.45	4470.18	4486.52
Block size [kB] = 128 Run=1						1524.95	1910.65	2250.63	2493.93	2185.78	2457.19	2334.42	2439.01	2411.83	2390.84	2394.45	2644.6	2365.35	3302.67	4441.44	4484.8
Block size [kB] = 128 Run=2						1059.58	1307.77	1077.78	1512.66	1727.19	2231.07	2062.37	2399.85	2350.0	2395.55	2404.48	2438.0	2587.99	3133.86	4113.4	4408.39
Block size [kB] = 128 Run=3						560.25	1849.97	1319.12	1763.2	2157.67	2362.39	2386.72	2305.77	2338.83	2342.7	2407.24	2404.25	2559.79	3244.38	4569.69	4501.97
Block size [kB] = 128 Run=4						1016.44	704.31	1533.22	1706.52	1760.54	1733.22	2044.9	2200.52	2349.47	2339.0	2378.25	2448.75	2299.62	3270.32	4208.29	4388.19
Block size [kB] = 128 Run=5						1016.44	1275.94	1798.89	1362.31	1607.69	1852.65	2077.83	2175.69	2311.99	2348.87	2349.23	2377.75	2620.63	2946.45	3852.88	4353.56
Block size [kB] = 256 Run=1							1633.79	1984.42	1727.61	2042.61	2106.42	2211.19	2249.72	2218.37	2272.17	2277.29	2277.93	2690.08	3002.73	4048.45	4254.25
