# recrewr throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	391.91	644.97	925.58	1250.62	318.99	1127.97	1041.49	1623.43	1312.03	1528.03	1727.86	1680.34	1711.05								
Block size [kB] = 4 Run=2	391.91	52.78	676.98	869.14	1041.06	461.19	663.32	1323.29	1270.69	1355.89	1530.79	1651.56	1631.32								
Block size [kB] = 4 Run=3	357.68	462.79	925.58	892.83	960.92	488.25	1033.28	1724.91	1587.06	1755.74	1282.09	1685.24	1724.11								
Block size [kB] = 4 Run=4	278.61	597.89	684.05	184.92	309.2	1137.76	679.21	740.83	1472.3	1680.48	1532.61	1623.75	1638.53								
Block size [kB] = 4 Run=5	357.68	432.26	676.98	1300.24	1009.0	1135.3	1046.69	1396.42	1277.27	1538.68	1448.21	1610.34	1659.39								
Block size [kB] = 8 Run=1		609.01	966.53	1009.75	1785.65	1406.33	822.54	1285.17	1766.17	2389.37	2631.8	2511.03	2462.64								
Block size [kB] = 8 Run=2		490.5	746.38	1041.86	1249.46	1402.57	748.02	1672.63	1647.53	1746.97	2191.72	2346.82	2346.73								
Block size [kB] = 8 Run=3		462.79	676.98	944.28	1155.81	1387.72	737.5	1695.62	1694.8	2057.64	2243.6	2520.46	2497.28								
Block size [kB] = 8 Run=4		432.26	713.86	979.57	1181.86	1406.33	1274.39	1173.69	2192.75	2043.11	2236.13	2493.68	2427.89								
Block size [kB] = 8 Run=5		566.86	980.99	1002.04	330.65	1387.72	1953.36	2325.5	2174.56	2074.43	2372.41	2431.69	2523.29								
Block size [kB] = 16 Run=1			864.53	1353.97	345.47	1507.42	889.52	1408.61	2985.68	2512.46	2846.58	2674.55	2742.52								
Block size [kB] = 16 Run=2			676.98	1009.75	1352.61	1604.28	1786.92	1817.59	2262.54	2169.39	2329.58	2626.4	2664.44								
Block size [kB] = 16 Run=3			650.12	972.3	1249.46	550.83	2662.67	1237.4	1979.56	2200.11	2747.3	2682.04	2688.14								
Block size [kB] = 16 Run=4			650.12	944.28	1359.63	1507.42	1436.79	1899.93	1785.72	2176.14	2325.39	2656.98	2665.71								
Block size [kB] = 16 Run=5			650.12	1368.1	347.3	1580.11	1774.82	1838.31	1748.5	2114.17	2174.96	2510.09	2579.74								
Block size [kB] = 32 Run=1				200.47	1203.57	1565.95	1907.17	2191.83	2531.56	2763.22	3108.15	2916.3	3046.41								
Block size [kB] = 32 Run=2				841.25	1226.08	1524.95	1524.52	2099.66	2160.0	2349.88	3027.94	2835.95	2934.13								
Block size [kB] = 32 Run=3				800.17	1135.78	1542.9	1479.36	1943.96	1919.76	2375.16	2580.79	3111.56	2948.31								
Block size [kB] = 32 Run=4				846.69	1176.56	1692.31	2775.44	1999.56	2543.84	2655.63	2787.47	2850.89	2883.45								
Block size [kB] = 32 Run=5				820.2	1726.84	1486.05	2295.45	1953.01	2525.46	2275.3	2828.83	2909.22	2899.02								
Block size [kB] = 64 Run=1					960.92	1263.94	2231.93	2253.05	3424.46	2797.32	3262.27	3299.09	3256.0	3243.48	3259.82	3321.67	3256.75	3249.37	4511.65	4597.88	5788.95
Block size [kB] = 64 Run=2					930.23	1957.72	1396.6	2014.93	2499.87	2433.03	2706.52	3032.54	3081.1	3179.02	3247.71	3209.71	3252.33	3291.25	4451.84	4696.96	5711.61
Block size [kB] = 64 Run=3					1418.48	953.59	811.71	2040.42	2154.45	2433.03	3003.01	3406.95	3278.75	3245.44	3258.67	3194.18	3236.48	3245.62	4582.09	5253.05	5459.61
Block size [kB] = 64 Run=4					917.21	1276.24	801.17	2703.19	2499.87	2496.75	2984.84	3326.57	2970.63	3198.72	3225.0	3262.64	3270.98	3272.57	4407.18	5248.36	5444.77
Block size [kB] = 64 Run=5					933.54	984.01	1374.63	1305.98	2597.4	2436.56	2998.71	2816.91	3073.9	3073.4	3265.29	3153.49	3284.7	3595.96	4216.09	5759.25	5483.74
Block size [kB] = 128 Run=1						1016.44	1998.03	1805.08	3105.04	2739.76	2892.22	3062.99	3143.45	2932.83	3130.19	3138.26	3197.84	3193.59	3934.54	5084.06	5613.27
Block size [kB] = 128 Run=2						1000.92	1689.06	1915.55	2761.58	2361.12	2577.22	2923.93	2949.35	3108.06	3117.83	3168.17	3179.81	3176.55	4398.81	5087.43	5864.95
Block size [kB] = 128 Run=3						1189.38	1250.08	1204.7	2455.96	2512.46	1976.16	2963.96	3116.44	3078.4	3156.92	3102.87	3093.06	3146.22	3782.66	4987.74	5257.68
Block size [kB] = 128 Run=4						822.02	1329.32	1190.34	2028.38	2338.74	2587.16	3087.51	2898.52	3154.29	3154.58	3144.8	3077.11	3299.65	4320.35	5864.04	5190.31
Block size [kB] = 128 Run=5						1486.05	2102.17	1984.42	2451.65	2336.13	2395.1	2923.93	3159.58	3028.53	3126.8	3137.64	3121.91	3170.95	4409.74	4440.17	5137.58
