# recrewr throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	298.95												
File size [kB] = 4 Run=2	241.63												
File size [kB] = 4 Run=3	260.87												
File size [kB] = 4 Run=4	231.39												
File size [kB] = 4 Run=5	298.95												
File size [kB] = 8 Run=1	432.26	490.5											
File size [kB] = 8 Run=2	432.26	373.19											
File size [kB] = 8 Run=3	438.04	462.79											
File size [kB] = 8 Run=4	309.7	325.06											
File size [kB] = 8 Run=5	325.06	462.79											
File size [kB] = 16 Run=1	713.86	713.86	746.38										
File size [kB] = 16 Run=2	472.14	556.31	556.31										
File size [kB] = 16 Run=3	713.86	782.0	746.38										
File size [kB] = 16 Run=4	650.12	186.28	90.29										
File size [kB] = 16 Run=5	676.98	706.16	602.32										
File size [kB] = 32 Run=1	951.14	1151.72	1122.14	1041.86									
File size [kB] = 32 Run=2	652.73	709.24	694.22	709.24									
File size [kB] = 32 Run=3	190.57	1122.14	846.69	1041.86									
File size [kB] = 32 Run=4	979.57	724.93	1076.07	741.33									
File size [kB] = 32 Run=5	741.33	1122.14	800.17	825.36									
File size [kB] = 64 Run=1	1298.99	1331.99	1525.82	1457.93	1359.63								
File size [kB] = 64 Run=2	1249.46	993.7	1135.78	1062.15	1298.99								
File size [kB] = 64 Run=3	1255.44	1449.87	1491.1	1491.1	1298.99								
File size [kB] = 64 Run=4	865.72	1009.0	1116.43	1075.22	933.54								
File size [kB] = 64 Run=5	295.94	1491.1	365.71	1525.82	975.22								
File size [kB] = 128 Run=1	1486.05	1860.46	1928.91	1950.43	1708.86	1524.95							
File size [kB] = 128 Run=2	946.7	1237.09	1288.79	1263.94	1225.53	1059.58							
File size [kB] = 128 Run=3	1214.17	1815.37	1561.28	1894.06	1737.17	560.25							
File size [kB] = 128 Run=4	933.22	516.64	1358.94	1373.18	1137.76	1016.44							
File size [kB] = 128 Run=5	466.53	1189.38	1288.79	1327.96	1157.87	1016.44							
File size [kB] = 256 Run=1	1498.38	2064.92	1893.4	2295.45	2194.57	1910.65	1633.79						
File size [kB] = 256 Run=2	1024.19	1275.94	1471.05	1533.44	1971.73	1307.77	1365.68						
File size [kB] = 256 Run=3	1381.88	1713.9	1866.44	2017.25	2102.17	1849.97	746.42						
File size [kB] = 256 Run=4	1582.03	1329.32	2136.44	1572.54	1454.73	704.31	1082.34						
File size [kB] = 256 Run=5	980.16	1309.4	1389.2	2231.93	2158.43	1275.94	1131.39						
File size [kB] = 512 Run=1	1683.37	2222.02	2359.52	1543.38	2485.35	2250.63	1984.42	1184.96					
File size [kB] = 512 Run=2	1130.66	1385.35	1123.99	1165.86	1128.83	1077.78	970.99	881.97					
File size [kB] = 512 Run=3	1037.27	2009.14	1351.43	1234.49	2212.64	1319.12	1922.57	1665.99					
File size [kB] = 512 Run=4	934.64	1366.4	1511.13	1677.98	1660.71	1533.22	1945.76	945.17					
File size [kB] = 512 Run=5	842.97	1344.5	1515.5	1665.99	2380.95	1798.89	980.52	1028.62					
File size [kB] = 1024 Run=1	1142.61	2252.81	2468.97	1841.38	2716.86	2493.93	1727.61	1590.07	1408.52				
File size [kB] = 1024 Run=2	1069.48	1336.7	2119.61	1474.89	1818.23	1512.66	1387.09	1739.07	1190.61				
File size [kB] = 1024 Run=3	1655.99	1505.6	2380.68	2531.56	2551.58	1763.2	1592.49	1976.76	1329.92				
File size [kB] = 1024 Run=4	1095.46	1335.0	1396.79	1590.07	2638.25	1706.52	1438.96	1689.34	1108.49				
File size [kB] = 1024 Run=5	1275.71	1089.48	1414.22	2519.4	1479.05	1362.31	1396.33	1739.07	1165.47				
File size [kB] = 2048 Run=1	1505.0	2043.11	2139.51	2269.76	2299.0	2185.78	2042.61	1939.65	1779.21	1383.16			
File size [kB] = 2048 Run=2	1339.65	1683.51	1673.77	2574.13	1850.24	1727.19	1512.88	1447.36	1499.09	1379.29			
File size [kB] = 2048 Run=3	1473.8	1950.93	1976.21	2621.6	1930.28	2157.67	2018.04	1926.73	1721.16	1452.37			
File size [kB] = 2048 Run=4	1221.79	1453.63	1696.45	1834.86	1855.56	1760.54	1555.23	1605.23	1296.18	1393.73			
File size [kB] = 2048 Run=5	1200.46	1384.99	1606.15	1808.35	1834.86	1607.69	1705.07	1607.69	1658.55	1472.77			
File size [kB] = 4096 Run=1	1480.93	2004.97	2142.46	2520.69	2374.09	2457.19	2106.42	2060.88	1968.51	1746.75	1344.13		
File size [kB] = 4096 Run=2	1261.46	1853.47	1747.48	1798.62	2345.87	2231.07	1924.92	1782.57	1689.24	1543.75	1311.46		
File size [kB] = 4096 Run=3	1429.09	1971.28	2039.83	2206.42	2251.13	2362.39	2087.81	2043.81	1905.68	1719.72	1177.53		
File size [kB] = 4096 Run=4	1285.33	1666.09	1779.36	1864.8	2116.52	1733.22	1819.89	1801.91	1797.85	1689.24	1302.5		
File size [kB] = 4096 Run=5	1459.42	1711.64	1794.39	1829.02	1975.23	1852.65	1835.02	1852.85	1668.08	1462.47	1329.75		
File size [kB] = 8192 Run=1	1505.17	2042.91	2140.8	2292.31	2304.28	2334.42	2211.19	2235.35	2205.67	1970.45	1562.5	1254.33	
File size [kB] = 8192 Run=2	1436.79	1715.57	1893.5	2349.45	2133.85	2062.37	2016.15	2048.65	1938.46	1921.15	1505.98	1254.15	
