# reread throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	787.48	1099.39	1430.74	351.58	452.9	478.89	436.21	536.38	509.71	588.6	619.87	761.53	880.81								
Block size [kB] = 4 Run=2	787.48	969.3	925.58	322.2	405.92	381.08	386.96	498.51	505.78	515.85	586.0	746.47	856.48								
Block size [kB] = 4 Run=3	568.78	1099.39	1430.74	339.74	456.06	448.18	551.65	477.95	492.13	527.56	606.71	727.47	859.11								
Block size [kB] = 4 Run=4	549.69	715.37	1430.74	318.29	130.69	451.27	487.3	459.92	588.94	531.07	544.13	769.74	857.68								
Block size [kB] = 4 Run=5	787.48	783.82	1430.74	302.84	381.13	428.06	499.13	432.87	551.32	532.75	584.03	705.42	837.78								
Block size [kB] = 8 Run=1		765.5	1400.17	355.4	529.79	463.23	407.88	595.31	546.15	598.98	668.66	842.83	937.81								
Block size [kB] = 8 Run=2		715.37	980.99	322.2	434.15	462.82	429.6	480.25	490.23	556.8	641.85	800.63	894.61								
Block size [kB] = 8 Run=3		998.85	1114.45	364.29	459.25	482.86	589.48	497.57	532.76	568.5	646.72	786.85	913.45								
Block size [kB] = 8 Run=4		715.37	1043.47	343.29	427.78	429.46	545.62	623.45	509.46	557.72	635.72	798.08	870.89								
Block size [kB] = 8 Run=5		866.75	1043.47	336.25	460.06	353.1	599.59	479.37	516.74	591.17	639.4	785.25	908.94								
Block size [kB] = 16 Run=1			980.99	372.57	488.34	473.69	592.48	648.51	573.4	649.38	699.79	848.0	968.8								
Block size [kB] = 16 Run=2			980.99	139.62	449.03	272.81	585.53	490.13	482.61	563.38	661.93	773.24	920.39								
Block size [kB] = 16 Run=3			925.58	331.99	500.46	502.28	592.48	619.58	638.62	538.53	634.42	793.97	891.02								
Block size [kB] = 16 Run=4			821.19	297.35	411.65	459.58	410.43	403.24	574.73	593.3	645.58	808.49	927.69								
Block size [kB] = 16 Run=5			925.58	381.24	237.71	379.97	519.66	570.22	451.06	601.17	640.82	788.04	924.48								
Block size [kB] = 32 Run=1				331.99	508.22	499.89	458.73	535.42	682.13	637.97	684.23	857.8	970.99								
Block size [kB] = 32 Run=2				322.2	456.06	308.62	446.43	500.54	525.81	565.77	660.94	793.25	936.28								
Block size [kB] = 32 Run=3				359.29	492.01	361.13	599.59	563.02	634.08	630.12	663.45	807.75	947.75								
Block size [kB] = 32 Run=4				315.22	282.85	221.24	485.5	480.36	534.73	616.91	675.01	848.9	948.93								
Block size [kB] = 32 Run=5				367.35	416.89	289.37	574.62	492.54	543.18	609.73	665.79	825.51	932.63								
Block size [kB] = 64 Run=1					459.25	432.65	548.19	582.74	635.33	630.73	713.02	866.08	971.88	1025.8	1084.96	1086.05	1089.93	189.66	116.76	105.84	100.73
Block size [kB] = 64 Run=2					396.1	327.31	419.46	513.91	542.61	546.6	660.84	822.96	943.06	1034.46	1072.94	1078.19	1095.54	202.78	111.83	105.69	100.33
Block size [kB] = 64 Run=3					452.9	381.35	425.94	524.71	577.66	597.7	660.16	841.94	956.08	1043.37	1079.19	1102.5	1093.67	221.44	108.46	107.19	99.93
Block size [kB] = 64 Run=4					385.62	400.58	342.47	520.8	544.38	546.75	687.76	834.03	952.37	1026.07	1058.27	1077.87	1085.06	221.65	107.45	105.28	100.66
Block size [kB] = 64 Run=5					422.26	292.6	364.49	465.12	543.74	590.84	653.81	814.83	944.96	1022.69	1072.6	1090.13	1089.42	206.3	110.76	105.78	100.47
Block size [kB] = 128 Run=1						454.79	505.14	539.97	506.33	587.86	658.55	670.8	683.4	722.15	709.41	723.45	719.88	124.47	113.9	103.97	100.12
Block size [kB] = 128 Run=2						283.43	413.18	517.71	510.95	582.43	602.03	634.61	671.96	713.41	719.75	705.77	715.24	155.04	114.15	104.76	100.14
Block size [kB] = 128 Run=3						439.91	411.24	494.63	549.44	535.51	607.35	665.05	673.17	708.65	717.58	728.97	701.71	160.08	114.03	103.88	99.85
Block size [kB] = 128 Run=4						238.12	476.23	492.08	524.96	534.18	629.02	648.77	664.31	693.86	696.2	700.53	699.33	154.17	116.52	105.38	99.75
Block size [kB] = 128 Run=5						288.1	393.05	486.37	515.22	527.72	586.6	662.74	649.98	701.54	713.89	725.77	701.47	138.9	116.01	104.44	99.95
Block size [kB] = 256 Run=1							497.94	474.49	522.21	619.6	666.22	684.41	710.29	723.11	733.45	739.51	728.54	119.37	115.02	103.82	100.0
Block size [kB] = 256 Run=2							355.59	476.1	481.73	545.11	612.09	663.74	700.12	715.24	727.77	715.29	720.02	156.25	112.54	105.54	100.34
Block size [kB] = 256 Run=3							456.34	535.42	533.84	572.73	607.26	644.49	675.45	713.08	722.03	734.83	617.34	168.8	116.42	104.33	99.83
Block size [kB] = 256 Run=4							342.47	432.15	521.11	553.38	628.13	660.94	680.22	699.15	705.68	711.49	715.19	158.15	118.34	105.41	99.72
Block size [kB] = 256 Run=5							346.2	496.04	512.51	509.3	601.77	655.46	671.2	721.08	730.66	735.47	722.43	144.91	114.62	104.33	100.26
Block size [kB] = 512 Run=1								448.03	493.34	571.94	645.48	668.67	701.63	730.64	734.13	725.88	731.79	118.63	114.88	104.45	99.57
Block size [kB] = 512 Run=2								468.97	489.94	580.73	635.75	663.19	686.52	723.26	731.72	721.79	729.99	162.83	115.36	105.14	99.71
Block size [kB] = 512 Run=3								458.71	508.91	573.86	610.97	643.29	688.53	721.62	730.21	733.8	720.69	155.99	117.79	103.68	99.88
Block size [kB] = 512 Run=4								446.41	520.85	565.77	631.89	662.36	697.38	702.16	715.67	716.6	722.45	156.83	118.2	105.72	99.95
Block size [kB] = 512 Run=5								457.01	506.08	556.32	622.86	678.72	690.55	725.44	734.1	735.57	726.83	141.42	114.4	104.65	99.49
Block size [kB] = 1024 Run=1									497.5	552.18	628.22	667.55	698.81	726.83	735.63	732.52	733.43	124.42	115.08	104.3	100.0
Block size [kB] = 1024 Run=2									492.88	546.28	600.41	621.5	678.89	725.59	733.78	738.35	729.69	153.37	114.64	104.2	99.89
Block size [kB] = 1024 Run=3									464.24	523.54	623.23	666.0	696.14	711.4	729.81	803.51	726.01	163.39	115.84	104.66	99.89
Block size [kB] = 1024 Run=4									461.68	537.77	605.61	640.92	692.79	694.5	716.08	717.7	725.4	156.32	116.66	105.97	99.93
Block size [kB] = 1024 Run=5									483.34	527.69	601.77	656.39	682.77	708.36	728.05	731.11	724.75	145.12	115.4	104.85	99.84
Block size [kB] = 2048 Run=1										488.77	587.3	644.07	694.18	709.28	726.34	734.11	731.51	121.74	114.34	104.46	100.09
Block size [kB] = 2048 Run=2										486.02	529.94	652.2	696.01	713.26	730.99	722.2	728.73	162.52	114.17	105.74	100.33
Block size [kB] = 2048 Run=3										487.54	583.76	639.58	681.75	689.64	726.04	723.58	728.46	160.24	116.09	104.65	99.79
Block size [kB] = 2048 Run=4										478.34	570.7	602.0	668.03	704.8	713.89	719.7	724.8	153.17	118.51	105.33	99.67
Block size [kB] = 2048 Run=5										478.92	579.63	617.33	671.26	712.13	726.76	736.6	730.17	141.96	117.09	105.4	99.74
Block size [kB] = 4096 Run=1											496.77	573.48	653.27	678.35	705.58	715.39	725.9	118.47	115.79	104.57	99.66
Block size [kB] = 4096 Run=2											474.06	557.22	641.54	694.25	715.68	729.51	727.34	158.54	116.2	105.42	99.86
Block size [kB] = 4096 Run=3											470.04	557.64	634.95	680.24	687.68	711.1	718.81	159.6	117.51	103.83	99.95
Block size [kB] = 4096 Run=4											467.72	559.51	621.07	675.37	693.88	703.37	712.62	159.87	118.2	105.38	99.81
Block size [kB] = 4096 Run=5											448.23	580.59	622.74	681.47	703.72	726.41	721.95	143.79	116.47	105.69	99.7
Block size [kB] = 8192 Run=1												461.57	560.18	636.27	666.07	697.38	712.18	115.01	112.98	104.32	99.86
Block size [kB] = 8192 Run=2												439.63	545.69	637.34	684.78	688.1	710.56	157.81	115.63	103.52	99.36
Block size [kB] = 8192 Run=3												463.88	543.74	627.56	688.43	690.9	705.7	160.46	116.76	103.61	99.32
Block size [kB] = 8192 Run=4												434.52	534.79	610.23	663.76	683.13	699.5	157.93	119.71	105.35	99.78
Block size [kB] = 8192 Run=5												458.43	534.65	624.46	678.58	700.79	708.09	141.49	114.31	104.52	99.89
Block size [kB] = 16384 Run=1													465.7	559.78	618.84	668.27	698.85	120.79	115.32	103.66	99.23
Block size [kB] = 16384 Run=2													457.6	556.88	634.19	685.12	697.36	151.85	115.58	104.73	99.75
Block size [kB] = 16384 Run=3													463.71	564.38	641.21	665.19	703.02	167.32	116.11	105.03	99.8
Block size [kB] = 16384 Run=4													457.53	547.63	621.11	658.2	688.45	155.67	119.55	104.95	99.52
Block size [kB] = 16384 Run=5													459.64	558.21	630.19	680.3	699.23	140.19	117.04	104.99	100.11
# Statistics (excluding 0 values)
#mean val.	696.18	872.91	1124.36	328.74	419.88	389.55	471.34	505.41	529.43	560.23	614.44	690.84	742.42	717.67	744.25	756.71	756.42	154.42	115.39	104.85	99.9
#standard dev.	125.2	156.95	229.42	50.18	88.04	83.48	82.89	54.77	48.4	42.09	58.54	113.45	155.74	123.39	122.08	120.62	120.99	24.63	2.47	0.78	0.31
#ci. min. 90%	576.82	781.93	1020.03	309.34	389.76	363.65	447.65	490.82	517.31	550.25	601.23	666.36	710.18	686.76	713.67	726.5	726.12	148.25	114.77	104.66	99.82
#ci. max 90%	815.54	963.89	1228.69	348.15	450.01	415.44	495.03	520.0	541.55	570.21	627.65	715.31	774.66	748.57	774.83	786.92	786.73	160.58	116.01	105.05	99.98
#geom. mean	686.68	860.58	1103.42	323.3	406.47	379.97	464.21	502.64	527.39	558.67	611.44	680.96	725.68	708.6	736.16	749.03	748.74	152.6	115.36	104.85	99.9
#median	787.48	825.28	1043.47	334.12	449.03	414.32	458.73	493.59	520.85	557.26	628.13	666.78	694.18	708.36	717.58	723.45	722.43	155.99	115.63	104.76	99.86
#first quartile	568.78	727.9	953.28	321.22	405.92	313.29	410.83	473.11	497.5	533.11	593.85	640.58	664.31	678.35	693.88	703.37	708.09	141.49	114.34	104.33	99.74
#third quartile	787.48	991.46	1415.45	356.37	459.25	458.38	546.9	535.42	544.38	590.28	656.18	793.43	908.94	722.15	730.99	734.83	728.73	160.24	116.76	105.4	100.0
#minimum	549.69	715.37	821.19	139.62	130.69	221.24	342.47	403.24	451.06	478.34	448.23	434.52	457.53	547.63	618.84	658.2	617.34	115.01	107.45	103.52	99.23
#maximum	787.48	1099.39	1430.74	381.24	529.79	502.28	599.59	648.51	682.13	649.38	713.02	866.08	971.88	1043.37	1084.96	1102.5	1095.54	221.65	119.71	107.19	100.73
#OOCALC formulas
#mean val.	=AVERAGE(B5:B69)
#standard dev.	=STDEV(B5:B69)
#ci. min. 90%	=AVERAGE(B5:B69)-TINV(1/10;COUNT(B5:B69)-1)*STDEV(B5:B69)/SQRT(COUNT(B5:B69))
#ci. max 90%	=AVERAGE(B5:B69)+TINV(1/10;COUNT(B5:B69)-1)*STDEV(B5:B69)/SQRT(COUNT(B5:B69))
#geom. mean	=GEOMEAN(B5:B69)
#median	=MEDIAN(B5:B69)
#first quatile	=QUARTILE(B5:B69;1)
#third quartile	=QUARTILE(B5:B69;3)
#minimum	=QUARTILE(B5:B69;0)
#maximum	=QUARTILE(B5:B69;4)
