# reread throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	660.49	969.3	1289.93	376.85	504.31	622.07	739.58	716.29	902.43	938.45	717.1	969.59	988.93								
Block size [kB] = 4 Run=2	787.48	700.08	1430.74	240.58	413.6	466.53	359.25	533.11	507.67	522.6	716.86	934.04	964.83								
Block size [kB] = 4 Run=3	787.48	866.75	285.18	368.38	346.84	317.98	449.49	527.88	498.21	553.56	711.75	939.06	985.16								
Block size [kB] = 4 Run=4	484.65	51.06	1315.83	328.66	442.96	367.71	516.59	550.61	520.33	516.42	719.44	938.2	963.32								
Block size [kB] = 4 Run=5	634.9	715.37	912.68	359.29	234.1	347.03	485.27	483.13	463.37	508.9	726.61	941.83	963.39								
Block size [kB] = 8 Run=1		969.3	1315.83	376.85	488.34	348.18	590.81	719.48	893.77	987.15	754.58	1022.23	1047.94								
Block size [kB] = 8 Run=2		715.37	1043.47	376.85	525.54	404.6	401.17	510.28	558.66	582.06	719.29	1018.6	1027.03								
Block size [kB] = 8 Run=3		657.92	1027.12	262.25	228.79	259.83	561.69	516.56	541.14	596.3	773.4	1020.8	1032.53								
Block size [kB] = 8 Run=4		644.97	1218.01	376.85	439.98	356.22	481.7	484.46	533.91	559.28	734.88	1020.27	1025.11								
Block size [kB] = 8 Run=5		700.08	299.52	247.86	480.29	394.26	527.5	561.06	522.47	577.85	804.86	1023.41	1046.03								
Block size [kB] = 16 Run=1			1195.79	452.28	270.58	601.38	816.77	976.42	893.58	996.06	809.25	1053.62	1070.88								
Block size [kB] = 16 Run=2			1195.79	278.99	428.48	471.56	462.17	503.54	605.34	577.85	792.39	1030.8	1052.91								
Block size [kB] = 16 Run=3			821.19	363.28	351.02	291.46	430.31	496.98	515.98	628.13	806.14	1041.26	1066.59								
Block size [kB] = 16 Run=4			912.68	306.38	476.79	376.43	566.86	591.61	541.42	542.89	783.07	1038.71	1035.54								
Block size [kB] = 16 Run=5			912.68	233.3	361.18	510.1	453.77	560.46	542.05	596.64	796.8	947.07	1064.95								
Block size [kB] = 32 Run=1				396.22	521.36	668.05	795.7	779.96	967.14	1007.54	787.12	1093.34	1088.14								
Block size [kB] = 32 Run=2				367.35	500.46	280.4	476.23	534.2	532.49	599.88	768.05	1093.48	1094.84								
Block size [kB] = 32 Run=3				231.66	349.15	488.25	565.63	570.68	580.06	609.38	873.55	1064.11	1107.96								
Block size [kB] = 32 Run=4				288.83	359.2	497.99	540.0	591.78	569.12	542.61	782.49	1053.35	1092.07								
Block size [kB] = 32 Run=5				325.4	428.48	400.89	582.93	573.34	538.78	569.65	815.66	1057.77	1092.75								
Block size [kB] = 64 Run=1					476.79	560.85	497.0	651.13	884.91	915.31	882.23	1087.07	1097.09	1102.5	1097.6	1104.34	1100.85	177.24	106.38	104.74	100.3
Block size [kB] = 64 Run=2					332.75	396.64	426.63	472.56	554.67	555.54	884.98	1065.4	1080.12	1085.33	1089.79	1101.81	1098.84	186.98	104.51	104.85	100.06
Block size [kB] = 64 Run=3					346.84	281.0	419.46	478.06	549.73	546.6	860.78	1081.36	1102.92	1102.23	1091.14	1096.89	1094.25	202.38	107.87	106.04	99.65
Block size [kB] = 64 Run=4					427.78	357.19	531.78	539.42	560.53	585.31	859.28	1076.71	1087.31	1102.15	1096.46	1101.33	1105.64	197.1	103.22	106.16	99.82
Block size [kB] = 64 Run=5					462.49	416.83	491.18	538.72	546.15	603.68	826.63	1063.54	1087.54	1099.47	1096.38	1091.41	1085.3	189.0	116.07	105.99	99.78
Block size [kB] = 128 Run=1						459.58	503.2	559.87	611.25	624.39	662.59	697.9	711.11	715.93	711.43	716.83	719.31	100.97	113.45	103.32	99.63
Block size [kB] = 128 Run=2						328.95	379.95	476.65	547.29	605.68	672.95	682.36	699.88	698.13	713.53	712.2	709.33	127.27	112.49	105.67	99.23
Block size [kB] = 128 Run=3						339.61	409.95	462.97	495.32	651.25	704.84	683.99	707.68	717.87	724.9	718.41	715.65	124.57	113.53	102.87	99.61
Block size [kB] = 128 Run=4						440.28	479.72	480.36	550.95	585.31	659.85	669.79	693.0	697.05	715.44	716.03	720.51	130.72	117.8	103.11	99.12
Block size [kB] = 128 Run=5						433.72	518.89	455.82	447.07	631.11	664.55	673.68	703.23	708.48	705.08	708.96	716.32	138.59	112.82	103.27	99.52
Block size [kB] = 256 Run=1							527.5	519.76	611.25	667.79	674.19	706.84	717.87	723.64	724.19	730.03	730.38	103.43	112.01	102.73	99.76
Block size [kB] = 256 Run=2							482.59	486.83	540.79	626.77	669.03	689.84	717.14	733.25	725.12	721.59	733.48	129.21	112.22	105.46	99.25
Block size [kB] = 256 Run=3							462.78	467.3	513.08	650.44	782.45	693.18	712.66	721.36	722.55	727.76	729.43	127.19	112.2	103.71	99.92
Block size [kB] = 256 Run=4							483.48	476.21	526.08	612.76	643.5	688.1	710.29	718.36	721.11	724.77	728.09	127.99	116.07	103.34	99.91
Block size [kB] = 256 Run=5							437.12	450.44	511.51	578.33	666.53	714.53	702.06	713.59	715.47	724.67	726.28	127.47	112.0	102.02	99.88
Block size [kB] = 512 Run=1								395.26	572.07	592.26	665.34	711.55	718.26	719.67	727.35	728.05	738.6	107.95	112.64	103.19	99.32
Block size [kB] = 512 Run=2								448.03	498.98	565.62	670.13	657.3	714.31	719.35	725.36	728.59	733.9	127.73	113.49	105.38	99.35
Block size [kB] = 512 Run=3								398.11	515.98	645.58	814.36	679.23	725.62	731.93	726.95	730.35	728.75	123.8	114.04	103.61	99.96
Block size [kB] = 512 Run=4								452.09	520.33	572.26	659.64	685.4	712.95	712.85	725.69	727.31	733.03	129.81	118.36	103.58	99.11
Block size [kB] = 512 Run=5								451.6	496.55	591.88	662.59	696.92	709.22	728.4	728.1	728.5	733.61	128.39	115.26	102.32	99.49
Block size [kB] = 1024 Run=1									482.84	561.49	620.44	683.77	718.84	720.46	730.53	732.78	736.66	107.56	112.41	103.68	99.4
Block size [kB] = 1024 Run=2									478.92	566.92	643.82	683.11	711.8	720.61	726.72	732.97	732.77	132.01	114.37	105.96	99.88
Block size [kB] = 1024 Run=3									473.73	539.36	772.65	674.31	696.35	727.98	723.55	734.79	732.44	126.42	113.38	103.51	99.33
Block size [kB] = 1024 Run=4									431.43	565.77	631.79	676.48	713.55	720.43	724.01	738.71	731.69	128.23	116.21	103.11	99.85
Block size [kB] = 1024 Run=5									467.71	582.95	638.16	689.54	711.17	717.99	721.6	734.04	738.02	135.1	113.62	103.66	99.3
Block size [kB] = 2048 Run=1										498.85	583.09	629.77	689.75	718.88	721.34	739.82	730.96	103.59	112.61	103.99	99.28
Block size [kB] = 2048 Run=2										486.16	538.22	615.96	684.44	705.98	723.18	730.83	731.74	129.14	111.93	104.76	98.91
Block size [kB] = 2048 Run=3										460.31	569.96	622.48	697.41	722.59	721.72	730.52	730.37	127.15	113.84	104.41	99.25
Block size [kB] = 2048 Run=4										451.68	568.11	638.16	685.46	703.48	718.41	727.99	729.61	126.61	117.62	103.13	99.42
Block size [kB] = 2048 Run=5										475.74	539.45	632.32	693.9	709.33	720.84	732.53	732.69	130.03	112.87	103.82	99.26
Block size [kB] = 4096 Run=1											461.84	548.03	616.8	681.28	704.04	716.41	726.54	105.37	113.65	103.88	99.1
Block size [kB] = 4096 Run=2											447.93	556.51	610.71	673.82	700.82	710.63	719.91	129.17	114.83	105.25	99.43
Block size [kB] = 4096 Run=3											432.38	555.1	620.22	683.92	704.26	725.34	727.04	126.4	112.0	103.87	99.31
Block size [kB] = 4096 Run=4											461.68	568.47	638.44	665.2	704.79	720.85	722.47	128.75	118.99	103.39	99.5
Block size [kB] = 4096 Run=5											472.99	574.8	624.34	673.61	695.79	719.4	722.98	136.76	113.98	103.83	99.53
Block size [kB] = 8192 Run=1												455.81	550.53	628.56	670.05	699.77	714.46	104.7	111.52	103.96	99.38
Block size [kB] = 8192 Run=2												433.53	547.72	627.5	664.57	700.77	704.8	124.37	114.11	105.96	99.42
Block size [kB] = 8192 Run=3												472.59	566.59	621.54	673.08	690.65	709.74	124.55	114.16	104.14	99.7
Block size [kB] = 8192 Run=4												473.73	546.99	624.66	668.16	694.56	706.91	118.69	119.82	103.82	99.97
Block size [kB] = 8192 Run=5												454.91	551.13	623.11	668.38	699.29	711.25	146.92	114.6	103.74	99.89
