# reread throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	787.48												
File size [kB] = 4 Run=2	787.48												
File size [kB] = 4 Run=3	568.78												
File size [kB] = 4 Run=4	549.69												
File size [kB] = 4 Run=5	787.48												
File size [kB] = 8 Run=1	1099.39	765.5											
File size [kB] = 8 Run=2	969.3	715.37											
File size [kB] = 8 Run=3	1099.39	998.85											
File size [kB] = 8 Run=4	715.37	715.37											
File size [kB] = 8 Run=5	783.82	866.75											
File size [kB] = 16 Run=1	1430.74	1400.17	980.99										
File size [kB] = 16 Run=2	925.58	980.99	980.99										
File size [kB] = 16 Run=3	1430.74	1114.45	925.58										
File size [kB] = 16 Run=4	1430.74	1043.47	821.19										
File size [kB] = 16 Run=5	1430.74	1043.47	925.58										
File size [kB] = 32 Run=1	351.58	355.4	372.57	331.99									
File size [kB] = 32 Run=2	322.2	322.2	139.62	322.2									
File size [kB] = 32 Run=3	339.74	364.29	331.99	359.29									
File size [kB] = 32 Run=4	318.29	343.29	297.35	315.22									
File size [kB] = 32 Run=5	302.84	336.25	381.24	367.35									
File size [kB] = 64 Run=1	452.9	529.79	488.34	508.22	459.25								
File size [kB] = 64 Run=2	405.92	434.15	449.03	456.06	396.1								
File size [kB] = 64 Run=3	456.06	459.25	500.46	492.01	452.9								
File size [kB] = 64 Run=4	130.69	427.78	411.65	282.85	385.62								
File size [kB] = 64 Run=5	381.13	460.06	237.71	416.89	422.26								
File size [kB] = 128 Run=1	478.89	463.23	473.69	499.89	432.65	454.79							
File size [kB] = 128 Run=2	381.08	462.82	272.81	308.62	327.31	283.43							
File size [kB] = 128 Run=3	448.18	482.86	502.28	361.13	381.35	439.91							
File size [kB] = 128 Run=4	451.27	429.46	459.58	221.24	400.58	238.12							
File size [kB] = 128 Run=5	428.06	353.1	379.97	289.37	292.6	288.1							
File size [kB] = 256 Run=1	436.21	407.88	592.48	458.73	548.19	505.14	497.94						
File size [kB] = 256 Run=2	386.96	429.6	585.53	446.43	419.46	413.18	355.59						
File size [kB] = 256 Run=3	551.65	589.48	592.48	599.59	425.94	411.24	456.34						
File size [kB] = 256 Run=4	487.3	545.62	410.43	485.5	342.47	476.23	342.47						
File size [kB] = 256 Run=5	499.13	599.59	519.66	574.62	364.49	393.05	346.2						
File size [kB] = 512 Run=1	536.38	595.31	648.51	535.42	582.74	539.97	474.49	448.03					
File size [kB] = 512 Run=2	498.51	480.25	490.13	500.54	513.91	517.71	476.1	468.97					
File size [kB] = 512 Run=3	477.95	497.57	619.58	563.02	524.71	494.63	535.42	458.71					
File size [kB] = 512 Run=4	459.92	623.45	403.24	480.36	520.8	492.08	432.15	446.41					
File size [kB] = 512 Run=5	432.87	479.37	570.22	492.54	465.12	486.37	496.04	457.01					
File size [kB] = 1024 Run=1	509.71	546.15	573.4	682.13	635.33	506.33	522.21	493.34	497.5				
File size [kB] = 1024 Run=2	505.78	490.23	482.61	525.81	542.61	510.95	481.73	489.94	492.88				
File size [kB] = 1024 Run=3	492.13	532.76	638.62	634.08	577.66	549.44	533.84	508.91	464.24				
File size [kB] = 1024 Run=4	588.94	509.46	574.73	534.73	544.38	524.96	521.11	520.85	461.68				
File size [kB] = 1024 Run=5	551.32	516.74	451.06	543.18	543.74	515.22	512.51	506.08	483.34				
File size [kB] = 2048 Run=1	588.6	598.98	649.38	637.97	630.73	587.86	619.6	571.94	552.18	488.77			
File size [kB] = 2048 Run=2	515.85	556.8	563.38	565.77	546.6	582.43	545.11	580.73	546.28	486.02			
File size [kB] = 2048 Run=3	527.56	568.5	538.53	630.12	597.7	535.51	572.73	573.86	523.54	487.54			
File size [kB] = 2048 Run=4	531.07	557.72	593.3	616.91	546.75	534.18	553.38	565.77	537.77	478.34			
File size [kB] = 2048 Run=5	532.75	591.17	601.17	609.73	590.84	527.72	509.3	556.32	527.69	478.92			
File size [kB] = 4096 Run=1	619.87	668.66	699.79	684.23	713.02	658.55	666.22	645.48	628.22	587.3	496.77		
File size [kB] = 4096 Run=2	586.0	641.85	661.93	660.94	660.84	602.03	612.09	635.75	600.41	529.94	474.06		
File size [kB] = 4096 Run=3	606.71	646.72	634.42	663.45	660.16	607.35	607.26	610.97	623.23	583.76	470.04		
File size [kB] = 4096 Run=4	544.13	635.72	645.58	675.01	687.76	629.02	628.13	631.89	605.61	570.7	467.72		
File size [kB] = 4096 Run=5	584.03	639.4	640.82	665.79	653.81	586.6	601.77	622.86	601.77	579.63	448.23		
File size [kB] = 8192 Run=1	761.53	842.83	848.0	857.8	866.08	670.8	684.41	668.67	667.55	644.07	573.48	461.57	
File size [kB] = 8192 Run=2	746.47	800.63	773.24	793.25	822.96	634.61	663.74	663.19	621.5	652.2	557.22	439.63	
File size [kB] = 8192 Run=3	727.47	786.85	793.97	807.75	841.94	665.05	644.49	643.29	666.0	639.58	557.64	463.88	
File size [kB] = 8192 Run=4	769.74	798.08	808.49	848.9	834.03	648.77	660.94	662.36	640.92	602.0	559.51	434.52	
File size [kB] = 8192 Run=5	705.42	785.25	788.04	825.51	814.83	662.74	655.46	678.72	656.39	617.33	580.59	458.43	
File size [kB] = 16384 Run=1	880.81	937.81	968.8	970.99	971.88	683.4	710.29	701.63	698.81	694.18	653.27	560.18	465.7
File size [kB] = 16384 Run=2	856.48	894.61	920.39	936.28	943.06	671.96	700.12	686.52	678.89	696.01	641.54	545.69	457.6
File size [kB] = 16384 Run=3	859.11	913.45	891.02	947.75	956.08	673.17	675.45	688.53	696.14	681.75	634.95	543.74	463.71
File size [kB] = 16384 Run=4	857.68	870.89	927.69	948.93	952.37	664.31	680.22	697.38	692.79	668.03	621.07	534.79	457.53
File size [kB] = 16384 Run=5	837.78	908.94	924.48	932.63	944.96	649.98	671.2	690.55	682.77	671.26	622.74	534.65	459.64
File size [kB] = 32768 Run=1					1025.8	722.15	723.11	730.64	726.83	709.28	678.35	636.27	559.78
File size [kB] = 32768 Run=2					1034.46	713.41	715.24	723.26	725.59	713.26	694.25	637.34	556.88
File size [kB] = 32768 Run=3					1043.37	708.65	713.08	721.62	711.4	689.64	680.24	627.56	564.38
File size [kB] = 32768 Run=4					1026.07	693.86	699.15	702.16	694.5	704.8	675.37	610.23	547.63
File size [kB] = 32768 Run=5					1022.69	701.54	721.08	725.44	708.36	712.13	681.47	624.46	558.21
