# reread throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	660.49												
File size [kB] = 4 Run=2	787.48												
File size [kB] = 4 Run=3	787.48												
File size [kB] = 4 Run=4	484.65												
File size [kB] = 4 Run=5	634.9												
File size [kB] = 8 Run=1	969.3	969.3											
File size [kB] = 8 Run=2	700.08	715.37											
File size [kB] = 8 Run=3	866.75	657.92											
File size [kB] = 8 Run=4	51.06	644.97											
File size [kB] = 8 Run=5	715.37	700.08											
File size [kB] = 16 Run=1	1289.93	1315.83	1195.79										
File size [kB] = 16 Run=2	1430.74	1043.47	1195.79										
File size [kB] = 16 Run=3	285.18	1027.12	821.19										
File size [kB] = 16 Run=4	1315.83	1218.01	912.68										
File size [kB] = 16 Run=5	912.68	299.52	912.68										
File size [kB] = 32 Run=1	376.85	376.85	452.28	396.22									
File size [kB] = 32 Run=2	240.58	376.85	278.99	367.35									
File size [kB] = 32 Run=3	368.38	262.25	363.28	231.66									
File size [kB] = 32 Run=4	328.66	376.85	306.38	288.83									
File size [kB] = 32 Run=5	359.29	247.86	233.3	325.4									
File size [kB] = 64 Run=1	504.31	488.34	270.58	521.36	476.79								
File size [kB] = 64 Run=2	413.6	525.54	428.48	500.46	332.75								
File size [kB] = 64 Run=3	346.84	228.79	351.02	349.15	346.84								
File size [kB] = 64 Run=4	442.96	439.98	476.79	359.2	427.78								
File size [kB] = 64 Run=5	234.1	480.29	361.18	428.48	462.49								
File size [kB] = 128 Run=1	622.07	348.18	601.38	668.05	560.85	459.58							
File size [kB] = 128 Run=2	466.53	404.6	471.56	280.4	396.64	328.95							
File size [kB] = 128 Run=3	317.98	259.83	291.46	488.25	281.0	339.61							
File size [kB] = 128 Run=4	367.71	356.22	376.43	497.99	357.19	440.28							
File size [kB] = 128 Run=5	347.03	394.26	510.1	400.89	416.83	433.72							
File size [kB] = 256 Run=1	739.58	590.81	816.77	795.7	497.0	503.2	527.5						
File size [kB] = 256 Run=2	359.25	401.17	462.17	476.23	426.63	379.95	482.59						
File size [kB] = 256 Run=3	449.49	561.69	430.31	565.63	419.46	409.95	462.78						
File size [kB] = 256 Run=4	516.59	481.7	566.86	540.0	531.78	479.72	483.48						
File size [kB] = 256 Run=5	485.27	527.5	453.77	582.93	491.18	518.89	437.12						
File size [kB] = 512 Run=1	716.29	719.48	976.42	779.96	651.13	559.87	519.76	395.26					
File size [kB] = 512 Run=2	533.11	510.28	503.54	534.2	472.56	476.65	486.83	448.03					
File size [kB] = 512 Run=3	527.88	516.56	496.98	570.68	478.06	462.97	467.3	398.11					
File size [kB] = 512 Run=4	550.61	484.46	591.61	591.78	539.42	480.36	476.21	452.09					
File size [kB] = 512 Run=5	483.13	561.06	560.46	573.34	538.72	455.82	450.44	451.6					
File size [kB] = 1024 Run=1	902.43	893.77	893.58	967.14	884.91	611.25	611.25	572.07	482.84				
File size [kB] = 1024 Run=2	507.67	558.66	605.34	532.49	554.67	547.29	540.79	498.98	478.92				
File size [kB] = 1024 Run=3	498.21	541.14	515.98	580.06	549.73	495.32	513.08	515.98	473.73				
