# rewrite throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	260.87	301.16	625.31	869.14	1009.0	1178.69	1146.23	1295.49	1079.95	1097.73	1085.21	1069.67	1069.01								
Block size [kB] = 4 Run=2	184.49	356.93	458.92	558.21	693.86	1147.73	806.1	695.39	851.15	890.91	975.15	992.06	1031.65								
Block size [kB] = 4 Run=3	245.25	391.0	446.41	820.2	315.53	1168.18	1106.32	1182.29	968.93	1042.87	1027.52	1013.31	1013.75								
Block size [kB] = 4 Run=4	228.17	97.87	134.62	504.5	650.79	762.26	1238.27	756.33	832.07	898.06	951.21	998.23	984.19								
Block size [kB] = 4 Run=5	260.87	373.19	458.92	825.36	726.55	753.5	776.26	687.86	719.46	859.5	948.52	990.48	983.4								
Block size [kB] = 8 Run=1		432.26	676.98	951.14	1181.86	1373.18	1294.85	1497.1	1248.38	1358.74	1264.22	1237.81	1249.31								
Block size [kB] = 8 Run=2		342.03	650.12	652.73	1155.81	905.81	926.46	746.1	1015.37	1109.93	1063.28	1087.71	1160.94								
Block size [kB] = 8 Run=3		415.81	650.12	440.13	1135.78	1314.64	729.29	1403.9	1420.45	1166.9	1165.83	1225.7	1197.52								
Block size [kB] = 8 Run=4		391.0	486.15	892.83	1135.78	868.31	905.66	990.25	955.03	992.52	1054.06	1096.02	1173.54								
Block size [kB] = 8 Run=5		338.49	650.12	758.49	762.48	885.91	929.75	678.29	997.03	963.45	1098.57	1158.25	1134.67								
Block size [kB] = 16 Run=1			706.16	972.3	1226.08	1437.17	1365.68	1118.6	1301.85	1320.25	1339.09	1347.9	1324.04								
Block size [kB] = 16 Run=2			556.31	709.24	303.48	969.46	1029.22	796.24	749.01	1195.5	1239.93	1270.63	1240.69								
Block size [kB] = 16 Run=3			676.98	944.28	993.7	1024.39	1344.66	1436.6	1228.63	1372.52	1287.5	1239.32	1270.24								
Block size [kB] = 16 Run=4			486.15	694.22	843.43	953.59	1028.21	809.15	1046.01	1131.79	1109.54	1223.64	1195.39								
Block size [kB] = 16 Run=5			684.05	944.28	1176.56	469.87	567.16	1474.99	989.27	1050.44	1214.0	1219.5	1219.32								
Block size [kB] = 32 Run=1				1009.75	1298.99	1503.09	1444.71	1660.71	1351.34	1356.76	1408.45	1379.77	1373.5								
Block size [kB] = 32 Run=2				762.91	892.24	1469.39	665.0	818.3	1371.67	1058.12	1156.75	1209.92	1295.97								
Block size [kB] = 32 Run=3				666.0	1226.08	1168.18	1055.11	1515.5	1200.5	1412.51	1312.79	1333.76	1332.43								
Block size [kB] = 32 Run=4				724.93	907.68	1006.69	1028.21	1567.61	1129.99	1075.9	1178.19	1237.63	1292.92								
Block size [kB] = 32 Run=5				892.83	1041.06	984.01	1082.34	831.94	1038.5	1172.94	1250.37	1165.5	1278.78								
Block size [kB] = 64 Run=1					1075.22	1520.53	1644.04	1701.12	1381.16	1384.07	1511.08	1433.23	1430.87	1434.08	1420.58	1424.58	1440.4	1827.39	2086.29	2203.15	2207.19
Block size [kB] = 64 Run=2					295.94	1034.49	662.9	864.87	1347.43	1099.02	1328.49	1308.28	1375.27	1381.63	1387.08	1391.98	1480.53	1645.72	1922.15	2245.84	2155.42
Block size [kB] = 64 Run=3					1273.74	1358.94	1603.8	1639.93	1308.75	1448.11	1338.24	1375.76	1361.82	1371.74	1389.04	1377.83	1377.97	1801.46	1930.73	2196.63	2198.71
Block size [kB] = 64 Run=4					920.43	473.27	1073.47	1219.41	1319.46	1096.58	1236.09	1334.24	1329.02	1373.57	1388.01	1393.78	1769.66	2370.06	2039.1	2222.94	2171.72
Block size [kB] = 64 Run=5					880.25	469.87	1082.34	853.26	1314.08	1049.91	1233.0	1329.11	1347.27	1381.75	1378.65	1391.14	1400.7	1731.71	2029.84	2162.26	2148.3
Block size [kB] = 128 Run=1						1358.94	1633.79	1690.15	1398.19	1397.45	1431.53	1423.98	1413.69	1412.49	1409.5	1422.54	1601.52	1682.81	2143.73	2252.4	2184.48
Block size [kB] = 128 Run=2						491.92	686.78	848.77	1083.29	1100.75	1395.22	1299.16	1357.08	1391.48	1404.25	1412.24	1484.58	1771.15	1967.33	2253.15	2170.15
Block size [kB] = 128 Run=3						534.55	1611.2	1524.31	1569.84	1441.88	1355.43	1403.02	1371.5	1364.91	1384.17	1401.28	1584.69	1741.34	1968.99	2220.4	2191.02
Block size [kB] = 128 Run=4						1040.65	1046.69	917.47	1104.98	1208.42	1231.55	1295.35	1365.89	1364.09	1397.22	2332.28	1802.85	1821.2	1999.86	2193.18	2202.71
Block size [kB] = 128 Run=5						1042.72	656.26	880.49	1135.19	1093.58	1228.58	1302.08	1312.54	1392.22	1374.39	1380.32	1396.05	1687.62	1931.69	2271.08	2168.29
