# rewrite throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	357.68	483.26	520.93	728.96	630.45	722.35	896.37	834.58	904.96	1064.98	1017.31	1024.19	1017.68								
Block size [kB] = 4 Run=2	304.5	368.98	504.88	917.83	1041.06	576.26	550.78	1116.21	986.24	957.41	987.89	961.53	958.03								
Block size [kB] = 4 Run=3	278.61	338.49	504.88	613.04	1045.21	714.48	806.72	606.85	895.87	687.54	987.66	1008.07	1014.33								
Block size [kB] = 4 Run=4	357.68	125.64	501.02	636.87	670.78	631.06	661.64	624.93	909.87	902.99	969.74	1000.64	1008.63								
Block size [kB] = 4 Run=5	322.48	410.6	520.93	624.73	904.55	468.2	755.02	1123.39	1017.09	962.02	994.81	996.28	987.84								
Block size [kB] = 8 Run=1		557.22	713.86	724.93	790.05	868.31	1446.7	1470.85	1161.6	1314.87	1238.01	1242.63	1176.82								
Block size [kB] = 8 Run=2		557.22	782.0	741.33	812.08	1358.94	879.82	829.3	1053.9	1205.64	1091.14	1149.76	1195.17								
Block size [kB] = 8 Run=3		410.6	556.31	1009.75	771.45	698.3	1294.85	1106.21	1021.31	1212.08	1235.0	1202.29	1227.55								
Block size [kB] = 8 Run=4		438.04	782.0	709.24	1279.96	1373.18	908.8	702.37	1040.56	1111.69	1107.42	1217.65	1180.38								
Block size [kB] = 8 Run=5		438.04	98.88	724.93	790.05	868.31	899.44	1110.89	1118.84	1177.21	1115.15	1158.25	1208.63								
Block size [kB] = 16 Run=1			864.53	1076.07	857.22	446.66	1082.34	1018.13	1089.48	1441.88	1302.9	1331.32	1300.29								
Block size [kB] = 16 Run=2			650.12	1041.86	1273.74	457.97	1427.01	1514.4	1228.63	1201.84	1219.82	1234.94	1281.22								
Block size [kB] = 16 Run=3			782.0	745.55	868.58	477.14	984.76	1408.61	1097.75	1165.6	1219.11	1308.23	1317.31								
Block size [kB] = 16 Run=4			625.31	762.91	854.43	953.59	647.75	899.37	1254.73	1373.65	1324.08	1326.27	1263.04								
Block size [kB] = 16 Run=5			650.12	781.09	1325.26	969.46	961.29	900.53	1098.9	1268.16	1151.74	1316.64	1301.22								
Block size [kB] = 32 Run=1				1161.93	892.24	1524.95	1644.04	1075.02	1120.93	1450.36	1419.9	1397.82	1403.87								
Block size [kB] = 32 Run=2				892.83	947.03	1016.44	1601.35	914.27	1144.17	1220.91	1336.53	1344.28	1356.04								
Block size [kB] = 32 Run=3				781.09	341.86	1008.62	1020.21	826.36	1351.34	1198.23	1349.97	1368.74	1374.57								
Block size [kB] = 32 Run=4				1161.93	1359.63	1006.69	668.39	1231.59	1412.32	1210.69	1327.96	1342.03	1362.51								
Block size [kB] = 32 Run=5				846.69	904.55	1016.44	976.5	1650.25	1288.65	1283.88	1361.48	1351.59	1320.14								
Block size [kB] = 64 Run=1					933.54	766.72	1471.05	1412.41	1180.56	1535.02	1529.54	1467.9	1444.95	1418.0	1416.65	1436.89	1435.68	1643.34	2140.21	2224.64	2264.47
Block size [kB] = 64 Run=2					964.45	491.92	999.78	910.69	1172.31	1380.2	1373.18	1418.2	1389.71	1396.82	1425.96	1420.19	1440.06	1712.43	2107.36	2167.59	2308.57
Block size [kB] = 64 Run=3					920.43	999.01	1452.71	1265.78	1171.0	1342.22	1467.33	1401.09	1387.67	1437.1	1419.64	1427.1	1428.51	1670.29	2052.44	2234.61	2292.02
Block size [kB] = 64 Run=4					904.55	795.82	1045.64	1288.33	1283.52	1245.38	1361.92	1336.89	1415.06	1403.94	1418.73	1433.79	1432.15	1914.86	1961.55	2225.56	2275.02
Block size [kB] = 64 Run=5					920.43	1561.28	661.64	941.78	1164.18	1343.08	1303.71	1404.49	1399.94	1427.11	1437.88	1408.87	1430.41	1887.74	2044.93	2177.84	2296.66
Block size [kB] = 128 Run=1						1542.9	1444.71	1361.96	1697.54	1519.73	1443.47	1468.41	1431.91	1427.3	1436.45	1439.99	1447.24	1888.5	2108.79	2192.08	2314.24
Block size [kB] = 128 Run=2						800.68	1633.79	1319.12	1182.22	1247.6	1377.46	1330.9	1374.82	1418.19	1413.9	1436.7	1437.09	1671.21	1944.25	2285.22	2283.25
Block size [kB] = 128 Run=3						801.9	1111.01	969.2	1190.28	1384.99	1367.02	1444.83	1429.22	1418.12	1428.7	1432.78	1420.61	1779.42	2153.85	2240.96	2288.5
Block size [kB] = 128 Run=4						1032.46	793.89	847.4	1191.63	1391.88	1344.56	1389.37	1373.53	1427.23	1420.14	1428.46	1422.02	1856.56	2076.24	2294.25	2298.68
Block size [kB] = 128 Run=5						1042.72	1076.78	1677.98	1307.12	1346.74	1372.17	1356.4	1399.56	1406.66	1416.11	1428.32	1438.14	1691.68	2029.74	2231.11	2323.0
Block size [kB] = 256 Run=1							1664.92	1098.67	1721.23	1536.15	1510.53	1396.66	1430.87	1417.43	1439.79	1443.11	1440.64	1687.5	1998.94	2241.82	2267.3
Block size [kB] = 256 Run=2							1195.9	862.03	1206.02	1174.25	1421.94	1432.92	1371.5	1405.35	1412.96	1437.44	1443.79	1779.98	2151.28	2177.5	2292.74
Block size [kB] = 256 Run=3							1644.04	1009.8	1317.39	1375.68	1396.15	1370.59	1419.82	1443.39	1438.43	1448.44	1434.82	1716.83	2096.93	2196.55	2298.88
Block size [kB] = 256 Run=4							1275.94	1645.08	1219.7	1315.69	1417.38	1451.89	1364.14	1410.19	1434.3	1435.22	1444.39	1804.1	1982.57	2204.66	2312.49
Block size [kB] = 256 Run=5							1173.16	1677.98	1237.33	1415.37	1411.53	1392.02	1421.47	1434.78	1435.72	1433.75	1438.97	1878.64	1986.2	2240.14	2276.59
Block size [kB] = 512 Run=1								1553.67	1377.08	1505.0	1449.71	1449.01	1446.5	1455.74	1449.93	1443.34	1450.01	1849.8	2062.02	2293.02	2320.02
Block size [kB] = 512 Run=2								1091.81	1321.12	1488.18	1410.46	1421.21	1403.13	1446.58	1443.55	1446.44	1453.08	1788.29	2093.24	2203.15	2325.38
Block size [kB] = 512 Run=3								1149.25	1096.32	1202.01	2555.63	1404.96	1465.75	1451.12	1457.79	1451.36	1446.3	1698.48	2035.61	2232.39	2333.09
Block size [kB] = 512 Run=4								1672.63	1319.46	1375.68	1444.09	1437.28	1442.62	1445.88	1438.78	1450.14	1453.97	1653.72	2064.81	2217.15	2286.92
Block size [kB] = 512 Run=5								1688.79	1094.32	1325.46	1343.7	1401.26	1421.32	1437.87	1441.99	1442.28	1461.6	1737.61	2195.93	2252.86	2305.85
Block size [kB] = 1024 Run=1									1375.72	1404.7	1449.33	1472.73	1449.13	1450.6	1469.1	1463.01	1461.74	1777.99	2060.74	2330.99	2338.85
Block size [kB] = 1024 Run=2									1340.12	1342.22	1477.02	1425.74	1434.2	1445.02	1450.56	1443.42	1463.45	1721.48	2041.19	2240.86	2291.6
Block size [kB] = 1024 Run=3									1589.47	1486.08	2267.56	1455.1	1449.0	1440.32	1448.19	1454.86	1413.62	1888.2	1994.72	2301.25	2296.05
Block size [kB] = 1024 Run=4									1652.73	1434.73	1406.09	1446.7	1447.57	1443.0	1445.97	1449.37	1460.64	1705.99	2063.1	2235.45	2368.14
Block size [kB] = 1024 Run=5									1592.49	1336.02	1399.06	1396.19	1440.42	1443.0	1445.12	1445.4	1456.63	1728.23	1971.71	2251.66	2291.56
Block size [kB] = 2048 Run=1										1544.63	1429.57	1415.93	1433.96	1425.2	1437.43	1457.0	1459.3	1641.81	2148.83	2331.65	2331.95
