# rewrite throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	260.87												
File size [kB] = 4 Run=2	184.49												
File size [kB] = 4 Run=3	245.25												
File size [kB] = 4 Run=4	228.17												
File size [kB] = 4 Run=5	260.87												
File size [kB] = 8 Run=1	301.16	432.26											
File size [kB] = 8 Run=2	356.93	342.03											
File size [kB] = 8 Run=3	391.0	415.81											
File size [kB] = 8 Run=4	97.87	391.0											
File size [kB] = 8 Run=5	373.19	338.49											
File size [kB] = 16 Run=1	625.31	676.98	706.16										
File size [kB] = 16 Run=2	458.92	650.12	556.31										
File size [kB] = 16 Run=3	446.41	650.12	676.98										
File size [kB] = 16 Run=4	134.62	486.15	486.15										
File size [kB] = 16 Run=5	458.92	650.12	684.05										
File size [kB] = 32 Run=1	869.14	951.14	972.3	1009.75									
File size [kB] = 32 Run=2	558.21	652.73	709.24	762.91									
File size [kB] = 32 Run=3	820.2	440.13	944.28	666.0									
File size [kB] = 32 Run=4	504.5	892.83	694.22	724.93									
File size [kB] = 32 Run=5	825.36	758.49	944.28	892.83									
File size [kB] = 64 Run=1	1009.0	1181.86	1226.08	1298.99	1075.22								
File size [kB] = 64 Run=2	693.86	1155.81	303.48	892.24	295.94								
File size [kB] = 64 Run=3	315.53	1135.78	993.7	1226.08	1273.74								
File size [kB] = 64 Run=4	650.79	1135.78	843.43	907.68	920.43								
File size [kB] = 64 Run=5	726.55	762.48	1176.56	1041.06	880.25								
File size [kB] = 128 Run=1	1178.69	1373.18	1437.17	1503.09	1520.53	1358.94							
File size [kB] = 128 Run=2	1147.73	905.81	969.46	1469.39	1034.49	491.92							
File size [kB] = 128 Run=3	1168.18	1314.64	1024.39	1168.18	1358.94	534.55							
File size [kB] = 128 Run=4	762.26	868.31	953.59	1006.69	473.27	1040.65							
File size [kB] = 128 Run=5	753.5	885.91	469.87	984.01	469.87	1042.72							
File size [kB] = 256 Run=1	1146.23	1294.85	1365.68	1444.71	1644.04	1633.79	1644.04						
File size [kB] = 256 Run=2	806.1	926.46	1029.22	665.0	662.9	686.78	657.91						
File size [kB] = 256 Run=3	1106.32	729.29	1344.66	1055.11	1603.8	1611.2	1613.68						
File size [kB] = 256 Run=4	1238.27	905.66	1028.21	1028.21	1073.47	1046.69	1157.62						
File size [kB] = 256 Run=5	776.26	929.75	567.16	1082.34	1082.34	656.26	704.31						
File size [kB] = 512 Run=1	1295.49	1497.1	1118.6	1660.71	1701.12	1690.15	1690.15	1082.23					
File size [kB] = 512 Run=2	695.39	746.1	796.24	818.3	864.87	848.77	1018.13	1416.22					
File size [kB] = 512 Run=3	1182.29	1403.9	1436.6	1515.5	1639.93	1524.31	1628.47	1660.71					
File size [kB] = 512 Run=4	756.33	990.25	809.15	1567.61	1219.41	917.47	912.28	1201.94					
File size [kB] = 512 Run=5	687.86	678.29	1474.99	831.94	853.26	880.49	1258.94	1138.64					
File size [kB] = 1024 Run=1	1079.95	1248.38	1301.85	1351.34	1381.16	1398.19	1386.64	1714.9	1392.62				
File size [kB] = 1024 Run=2	851.15	1015.37	749.01	1371.67	1347.43	1083.29	1396.33	1141.68	1148.24				
File size [kB] = 1024 Run=3	968.93	1420.45	1228.63	1200.5	1308.75	1569.84	1597.95	1660.58	1650.13				
