# striderd throughput for any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
File size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304
Block size [kB] = 4 Run=1	61.87	77.32	173.46	303.54	516.23	83.55	82.64	81.46	82.33	80.72	80.42	81.47	82.06								
Block size [kB] = 4 Run=2	55.02	95.31	162.7	343.29	589.34	90.58	80.49	82.22	81.9	80.49	79.72	81.17	82.42								
Block size [kB] = 4 Run=3	45.92	92.09	162.7	278.99	534.11	90.9	82.87	81.14	79.65	74.85	79.88	81.15	82.06								
Block size [kB] = 4 Run=4	43.95	96.43	159.53	343.29	371.94	82.5	81.22	81.07	81.65	80.18	80.39	81.41	82.37								
Block size [kB] = 4 Run=5	54.29	100.27	69.14	286.3	557.98	91.1	81.17	81.99	81.31	80.24	76.8	80.7	80.84								
Block size [kB] = 8 Run=1		105.77	185.76	344.2	525.54	1088.17	127.75	122.31	120.87	120.21	131.78	121.06	125.95								
Block size [kB] = 8 Run=2		38.65	157.99	131.23	512.19	1077.0	131.65	120.95	120.22	122.34	131.42	137.83	143.91								
Block size [kB] = 8 Run=3		90.82	97.12	350.64	520.33	805.6	130.68	121.98	121.5	119.41	136.14	120.41	130.73								
Block size [kB] = 8 Run=4		36.5	166.42	302.84	638.12	395.75	123.51	125.47	121.25	119.88	121.24	120.88	145.28								
Block size [kB] = 8 Run=5		35.66	162.7	300.76	516.23	616.22	121.83	126.97	121.78	124.49	121.84	137.88	142.32								
Block size [kB] = 16 Run=1			179.65	294.67	416.23	744.93	735.43	221.13	207.94	210.79	209.17	203.79	209.15								
Block size [kB] = 16 Run=2			162.7	303.54	481.17	766.72	1077.89	238.78	214.69	203.27	206.12	207.72	205.83								
Block size [kB] = 16 Run=3			153.19	256.1	477.66	446.66	675.71	216.36	208.07	212.18	202.32	205.78	226.04								
Block size [kB] = 16 Run=4			65.68	262.25	353.39	454.4	1106.32	218.34	205.94	207.25	209.62	207.19	207.27								
Block size [kB] = 16 Run=5			151.77	262.77	466.61	644.24	1100.51	218.73	201.9	202.43	208.19	205.39	205.29								
Block size [kB] = 32 Run=1				294.67	314.02	601.38	708.11	1240.33	343.52	336.31	327.36	332.32	331.71								
Block size [kB] = 32 Run=2				260.68	308.11	328.95	700.54	1577.04	325.85	329.72	315.18	326.37	328.78								
Block size [kB] = 32 Run=3				252.16	201.06	350.04	1059.38	1613.43	333.65	314.9	334.87	325.89	330.83								
Block size [kB] = 32 Run=4				278.99	277.75	578.81	1012.33	1231.59	344.93	326.05	320.38	328.42	331.26								
Block size [kB] = 32 Run=5				256.1	311.04	570.62	999.78	1823.92	342.82	335.12	328.0	328.28	325.38								
Block size [kB] = 64 Run=1					332.33	478.89	992.21	1567.61	2141.25	473.06	475.96	447.45	461.92	466.16	466.23	470.65	478.63	46.56	29.77	25.12	23.26
Block size [kB] = 64 Run=2					411.01	324.67	906.44	1465.71	2273.57	480.75	469.2	461.09	462.19	461.05	462.77	462.69	468.0	42.79	29.74	24.88	23.29
Block size [kB] = 64 Run=3					184.37	500.37	969.28	1087.28	2314.99	483.33	460.99	454.72	471.88	466.58	464.42	466.45	470.05	43.29	29.7	24.76	23.28
Block size [kB] = 64 Run=4					393.13	462.82	919.15	1534.34	1613.31	484.62	462.43	456.93	451.6	460.37	461.46	462.73	467.54	41.57	28.58	25.18	23.27
Block size [kB] = 64 Run=5					289.4	347.25	905.66	1529.87	1930.36	479.63	466.36	448.03	462.91	461.33	454.34	456.55	462.99	43.08	29.91	25.23	23.3
Block size [kB] = 128 Run=1						456.38	513.3	968.75	1547.82	2114.17	550.74	578.71	503.34	523.16	532.83	529.79	537.36	66.48	30.34	25.48	23.45
Block size [kB] = 128 Run=2						468.2	497.94	998.26	1577.51	2129.73	568.43	534.44	518.14	527.15	522.67	525.21	528.51	65.52	30.45	25.01	23.45
Block size [kB] = 128 Run=3						477.14	545.9	952.47	1261.14	2064.22	538.87	555.21	539.07	528.81	522.12	533.3	519.63	66.38	30.53	25.11	23.47
