# striderd throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	49.38												
File size [kB] = 4 Run=2	62.11												
File size [kB] = 4 Run=3	69.78												
File size [kB] = 4 Run=4	66.12												
File size [kB] = 4 Run=5	57.53												
File size [kB] = 8 Run=1	94.21	99.96											
File size [kB] = 8 Run=2	97.58	91.84											
File size [kB] = 8 Run=3	100.27	94.21											
File size [kB] = 8 Run=4	88.85	111.53											
File size [kB] = 8 Run=5	95.31	101.51											
File size [kB] = 16 Run=1	181.64	179.15	171.65										
File size [kB] = 16 Run=2	151.77	179.65	157.99										
File size [kB] = 16 Run=3	190.62	126.08	179.65										
File size [kB] = 16 Run=4	164.74	153.19	35.68										
File size [kB] = 16 Run=5	67.37	68.57	183.67										
File size [kB] = 32 Run=1	328.66	367.35	276.64	260.68									
File size [kB] = 32 Run=2	332.83	298.02	286.93	238.83									
File size [kB] = 32 Run=3	343.29	336.25	273.75	231.66									
File size [kB] = 32 Run=4	269.25	281.39	246.0	128.65									
File size [kB] = 32 Run=5	319.06	68.85	267.05	246.0									
File size [kB] = 64 Run=1	620.01	589.34	517.25	419.56	390.79								
File size [kB] = 64 Run=2	477.66	534.11	449.03	365.71	345.01								
File size [kB] = 64 Run=3	572.61	596.04	513.2	393.13	211.95								
File size [kB] = 64 Run=4	325.72	607.09	226.61	365.71	336.17								
File size [kB] = 64 Run=5	559.17	578.93	492.01	400.95	349.15								
File size [kB] = 128 Run=1	101.39	993.33	976.68	538.94	550.26	508.13							
File size [kB] = 128 Run=2	80.96	844.53	786.27	644.24	464.87	432.29							
File size [kB] = 128 Run=3	98.13	1097.28	752.42	766.72	543.41	484.64							
File size [kB] = 128 Run=4	83.39	832.46	775.8	641.09	514.61	441.39							
File size [kB] = 128 Run=5	88.34	976.68	416.83	386.98	466.53	468.2							
File size [kB] = 256 Run=1	86.18	133.54	1389.2	1225.25	995.98	609.71	391.29						
File size [kB] = 256 Run=2	84.04	124.01	686.78	671.82	562.9	476.23	397.37						
File size [kB] = 256 Run=3	85.68	128.54	1405.96	757.75	596.53	573.37	494.19						
File size [kB] = 256 Run=4	81.86	123.89	850.56	1058.31	804.24	537.78	374.78						
File size [kB] = 256 Run=5	80.49	129.81	1201.38	671.82	906.44	425.25	399.33						
File size [kB] = 512 Run=1	83.32	141.09	215.43	1449.5	1453.52	1050.78	919.08	472.99					
File size [kB] = 512 Run=2	81.37	127.49	226.55	1110.89	954.2	651.73	664.96	460.43					
File size [kB] = 512 Run=3	83.14	140.89	224.61	1917.3	1033.18	1010.28	887.94	470.02					
File size [kB] = 512 Run=4	82.45	122.91	222.7	1561.77	1157.49	769.37	671.13	381.11					
File size [kB] = 512 Run=5	76.12	138.13	210.52	1237.4	952.47	731.02	673.93	396.45					
File size [kB] = 1024 Run=1	82.75	126.23	211.69	359.97	1865.95	1366.31	1227.19	939.83	515.73				
File size [kB] = 1024 Run=2	80.17	126.15	212.32	331.78	1430.62	1353.52	1180.56	787.4	492.65				
File size [kB] = 1024 Run=3	80.25	125.06	214.64	339.65	2320.11	1365.86	1440.94	825.68	528.0				
File size [kB] = 1024 Run=4	79.96	131.61	205.12	340.95	1968.41	1085.82	1207.76	689.19	520.59				
File size [kB] = 1024 Run=5	81.41	133.35	213.04	335.47	1569.84	1073.04	1426.24	717.98	485.18				
File size [kB] = 2048 Run=1	82.79	139.89	217.13	346.38	494.79	2107.79	1874.21	1429.6	782.17	520.17			
File size [kB] = 2048 Run=2	79.43	133.24	204.81	332.22	434.22	1715.18	1811.48	1179.2	799.31	456.83			
File size [kB] = 2048 Run=3	83.4	134.9	208.42	335.29	464.46	2224.62	1839.68	1472.77	776.74	522.76			
File size [kB] = 2048 Run=4	81.9	124.02	204.79	331.12	481.58	2063.72	1460.97	1346.74	906.7	469.38			
File size [kB] = 2048 Run=5	79.66	121.88	210.1	342.76	438.12	2129.73	1888.56	1271.62	816.98	490.31			
File size [kB] = 4096 Run=1	81.94	124.47	213.12	339.04	484.61	660.06	2599.18	1973.14	1319.19	856.91	512.75		
File size [kB] = 4096 Run=2	82.07	123.72	206.43	314.12	457.35	601.86	2250.83	1671.4	1405.97	843.68	520.44		
File size [kB] = 4096 Run=3	82.34	123.95	205.57	332.5	469.2	616.61	2466.22	1877.95	1296.66	874.87	503.66		
File size [kB] = 4096 Run=4	81.52	136.96	207.84	320.59	452.39	601.12	2391.0	1766.62	1311.87	837.7	499.93		
File size [kB] = 4096 Run=5	81.07	131.32	213.3	322.68	453.58	599.79	2240.9	1726.44	1372.17	822.86	500.75		
File size [kB] = 8192 Run=1	83.53	144.74	215.27	338.95	473.46	576.45	685.64	2492.94	1986.55	1377.17	918.9	671.25	
File size [kB] = 8192 Run=2	82.9	124.01	210.63	330.49	453.98	550.85	625.68	2370.37	1940.37	1382.62	814.41	658.81	
File size [kB] = 8192 Run=3	82.9	123.92	212.13	331.87	459.29	550.06	643.45	2493.86	2016.64	1362.41	905.29	645.32	
File size [kB] = 8192 Run=4	82.88	121.7	210.56	324.18	457.4	592.46	629.67	2188.84	1839.53	1337.53	808.41	654.39	
File size [kB] = 8192 Run=5	82.27	142.84	210.39	317.25	453.41	525.55	694.81	2329.55	1998.02	1369.36	897.18	657.89	
File size [kB] = 16384 Run=1	83.38	132.44	222.1	339.31	472.32	562.33	641.54	751.91	2474.9	1921.47	1392.65	1025.05	774.89
File size [kB] = 16384 Run=2	83.06	126.72	213.15	335.77	465.79	542.65	614.06	645.81	2423.51	1971.19	1372.09	1020.93	762.59
File size [kB] = 16384 Run=3	82.61	147.69	214.04	335.04	460.82	526.63	584.6	621.02	2446.12	1935.66	1325.25	1019.55	764.71
File size [kB] = 16384 Run=4	83.73	149.1	206.38	325.98	458.29	537.92	592.22	638.9	2377.07	1832.78	1378.01	1030.59	747.94
File size [kB] = 16384 Run=5	83.32	127.68	211.63	331.85	459.9	527.17	582.58	677.1	2481.4	1975.54	1372.09	1038.68	746.37
File size [kB] = 32768 Run=1					489.75	556.6	630.32	647.47	949.19	2517.93	1857.66	1478.94	1161.82
File size [kB] = 32768 Run=2					475.59	533.16	645.86	638.87	1014.97	2551.43	1825.85	1485.81	1155.74
File size [kB] = 32768 Run=3					469.5	537.69	634.78	622.88	1012.18	2507.25	1855.61	1445.47	1148.06
File size [kB] = 32768 Run=4					460.93	524.29	612.66	640.09	916.83	2504.72	1818.82	1474.24	1139.53
File size [kB] = 32768 Run=5					469.04	542.27	623.23	634.88	987.47	2387.71	1814.35	1432.99	1148.64
File size [kB] = 65536 Run=1					488.01	548.7	634.1	654.35	951.18	1031.54	2276.62	1869.64	1587.78
File size [kB] = 65536 Run=2					470.01	531.97	631.16	638.51	918.68	1026.84	2270.47	1858.3	1584.82
File size [kB] = 65536 Run=3					472.77	541.31	633.75	622.04	760.11	1034.91	2258.06	1837.44	1580.33
File size [kB] = 65536 Run=4					451.17	517.9	608.4	629.54	929.68	981.53	2248.85	1823.72	1567.32
File size [kB] = 65536 Run=5					471.03	525.87	621.25	625.61	943.31	1012.37	2235.2	1838.55	1563.61
File size [kB] = 131072 Run=1					491.82	541.3	639.7	663.37	956.29	970.45	1012.35	2162.46	1942.87
