# striderd throughput for any FS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Block size [kB]	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
File size [kB] = 4 Run=1	61.87												
File size [kB] = 4 Run=2	55.02												
File size [kB] = 4 Run=3	45.92												
File size [kB] = 4 Run=4	43.95												
File size [kB] = 4 Run=5	54.29												
File size [kB] = 8 Run=1	77.32	105.77											
File size [kB] = 8 Run=2	95.31	38.65											
File size [kB] = 8 Run=3	92.09	90.82											
File size [kB] = 8 Run=4	96.43	36.5											
File size [kB] = 8 Run=5	100.27	35.66											
File size [kB] = 16 Run=1	173.46	185.76	179.65										
File size [kB] = 16 Run=2	162.7	157.99	162.7										
File size [kB] = 16 Run=3	162.7	97.12	153.19										
File size [kB] = 16 Run=4	159.53	166.42	65.68										
File size [kB] = 16 Run=5	69.14	162.7	151.77										
File size [kB] = 32 Run=1	303.54	344.2	294.67	294.67									
File size [kB] = 32 Run=2	343.29	131.23	303.54	260.68									
File size [kB] = 32 Run=3	278.99	350.64	256.1	252.16									
File size [kB] = 32 Run=4	343.29	302.84	262.25	278.99									
File size [kB] = 32 Run=5	286.3	300.76	262.77	256.1									
File size [kB] = 64 Run=1	516.23	525.54	416.23	314.02	332.33								
File size [kB] = 64 Run=2	589.34	512.19	481.17	308.11	411.01								
File size [kB] = 64 Run=3	534.11	520.33	477.66	201.06	184.37								
File size [kB] = 64 Run=4	371.94	638.12	353.39	277.75	393.13								
File size [kB] = 64 Run=5	557.98	516.23	466.61	311.04	289.4								
File size [kB] = 128 Run=1	83.55	1088.17	744.93	601.38	478.89	456.38							
File size [kB] = 128 Run=2	90.58	1077.0	766.72	328.95	324.67	468.2							
File size [kB] = 128 Run=3	90.9	805.6	446.66	350.04	500.37	477.14							
File size [kB] = 128 Run=4	82.5	395.75	454.4	578.81	462.82	471.99							
File size [kB] = 128 Run=5	91.1	616.22	644.24	570.62	347.25	446.28							
File size [kB] = 256 Run=1	82.64	127.75	735.43	708.11	992.21	513.3	416.63						
File size [kB] = 256 Run=2	80.49	131.65	1077.89	700.54	906.44	497.94	386.39						
File size [kB] = 256 Run=3	82.87	130.68	675.71	1059.38	969.28	545.9	370.94						
File size [kB] = 256 Run=4	81.22	123.51	1106.32	1012.33	919.15	403.17	399.94						
File size [kB] = 256 Run=5	81.17	121.83	1100.51	999.78	905.66	451.23	503.2						
File size [kB] = 512 Run=1	81.46	122.31	221.13	1240.33	1567.61	968.75	673.07	669.42					
File size [kB] = 512 Run=2	82.22	120.95	238.78	1577.04	1465.71	998.26	624.37	464.3					
File size [kB] = 512 Run=3	81.14	121.98	216.36	1613.43	1087.28	952.47	646.91	469.08					
File size [kB] = 512 Run=4	81.07	125.47	218.34	1231.59	1534.34	934.64	680.27	489.21					
File size [kB] = 512 Run=5	81.99	126.97	218.73	1823.92	1529.87	925.97	646.71	500.54					
File size [kB] = 1024 Run=1	82.33	120.87	207.94	343.52	2141.25	1547.82	1144.17	965.14	734.84				
File size [kB] = 1024 Run=2	81.9	120.22	214.69	325.85	2273.57	1577.51	1159.03	714.31	459.76				
File size [kB] = 1024 Run=3	79.65	121.5	208.07	333.65	2314.99	1261.14	1190.61	791.11	456.41				
File size [kB] = 1024 Run=4	81.65	121.25	205.94	344.93	1613.31	1220.76	1149.5	901.65	452.27				
File size [kB] = 1024 Run=5	81.31	121.78	201.9	342.82	1930.36	1375.72	1351.34	750.75	475.07				
File size [kB] = 2048 Run=1	80.72	120.21	210.79	336.31	473.06	2114.17	2081.12	1537.27	1234.56	837.12			
File size [kB] = 2048 Run=2	80.49	122.34	203.27	329.72	480.75	2129.73	1782.61	1094.0	836.12	485.79			
File size [kB] = 2048 Run=3	74.85	119.41	212.18	314.9	483.33	2064.22	1910.49	1203.39	834.7	532.35			
File size [kB] = 2048 Run=4	80.18	119.88	207.25	326.05	484.62	2424.59	1773.19	1331.57	775.23	514.8			
File size [kB] = 2048 Run=5	80.24	124.49	202.43	335.12	479.63	2077.0	1793.66	1304.64	789.23	482.52			
File size [kB] = 4096 Run=1	80.42	131.78	209.17	327.36	475.96	550.74	2552.91	1914.81	1421.46	843.55	523.51		
File size [kB] = 4096 Run=2	79.72	131.42	206.12	315.18	469.2	568.43	2245.7	1824.64	1374.98	815.66	525.75		
File size [kB] = 4096 Run=3	79.88	136.14	202.32	334.87	460.99	538.87	3941.27	3007.31	1347.26	882.42	529.04		
File size [kB] = 4096 Run=4	80.39	121.24	209.62	320.38	462.43	570.87	2324.42	2048.05	1389.44	884.74	539.15		
File size [kB] = 4096 Run=5	76.8	121.84	208.19	328.0	466.36	574.88	2490.75	1866.46	1330.59	868.04	504.29		
File size [kB] = 8192 Run=1	81.47	121.06	203.79	332.32	447.45	578.71	662.09	2530.92	1945.09	1379.09	863.45	663.57	
File size [kB] = 8192 Run=2	81.17	137.83	207.72	326.37	461.09	534.44	637.91	2616.17	1862.19	1309.76	880.56	631.91	
File size [kB] = 8192 Run=3	81.15	120.41	205.78	325.89	454.72	555.21	620.39	2481.32	1916.21	1335.99	876.9	651.1	
File size [kB] = 8192 Run=4	81.41	120.88	207.19	328.42	456.93	533.73	661.32	2492.94	1978.23	1440.12	865.88	633.56	
File size [kB] = 8192 Run=5	80.7	137.88	205.39	328.28	448.03	529.35	642.68	2403.13	1913.37	1413.9	842.44	644.08	
File size [kB] = 16384 Run=1	82.06	125.95	209.15	331.71	461.92	503.34	631.21	651.23	2524.05	2004.52	1341.62	997.75	743.22
File size [kB] = 16384 Run=2	82.42	143.91	205.83	328.78	462.19	518.14	640.57	680.07	2485.25	1941.54	1336.33	998.5	737.49
File size [kB] = 16384 Run=3	82.06	130.73	226.04	330.83	471.88	539.07	670.53	638.49	2615.23	1969.69	1340.14	993.97	758.58
File size [kB] = 16384 Run=4	82.37	145.28	207.27	331.26	451.6	519.18	642.34	662.09	2587.7	1968.24	1341.62	1001.63	745.75
File size [kB] = 16384 Run=5	80.84	142.32	205.29	325.38	462.91	529.29	645.47	673.94	2446.48	1968.99	1325.48	1007.57	747.7
File size [kB] = 32768 Run=1					466.16	523.16	629.65	636.92	1007.04	2544.9	1850.13	1421.27	1115.29
File size [kB] = 32768 Run=2					461.05	527.15	543.94	626.58	939.57	2542.11	1803.42	1364.72	1124.93
File size [kB] = 32768 Run=3					466.58	528.81	632.92	638.33	964.06	2533.04	1858.31	1409.76	1117.98
File size [kB] = 32768 Run=4					460.37	519.36	646.22	640.35	943.56	2561.22	1841.73	1398.66	1109.07
File size [kB] = 32768 Run=5					461.33	512.01	627.44	634.53	986.16	2523.09	1836.84	1417.25	1118.05
File size [kB] = 65536 Run=1					466.23	532.83	631.48	643.91	877.14	990.7	2243.64	1746.39	1513.4
File size [kB] = 65536 Run=2					462.77	522.67	623.87	642.88	878.71	1000.34	2211.55	1779.76	1519.32
File size [kB] = 65536 Run=3					464.42	522.12	628.11	635.93	905.45	991.23	2273.86	1797.14	1540.98
File size [kB] = 65536 Run=4					461.46	525.46	633.94	629.46	889.41	1022.77	2227.09	1763.82	1516.7
File size [kB] = 65536 Run=5					454.34	520.14	636.06	630.22	891.84	987.96	2216.15	1758.1	1505.98
File size [kB] = 131072 Run=1					470.65	529.79	637.14	650.17	925.52	977.24	1008.84	1999.22	1832.16
File size [kB] = 131072 Run=2					462.69	525.21	630.16	635.16	898.15	978.68	997.62	2018.0	1834.78
File size [kB] = 131072 Run=3					466.45	533.3	635.44	644.6	915.83	976.44	1002.62	2048.2	1891.08
File size [kB] = 131072 Run=4					462.73	529.76	629.98	640.82	897.84	973.32	1001.89	2029.17	1842.47
File size [kB] = 131072 Run=5					456.55	522.33	631.3	640.13	926.49	985.18	984.92	2031.53	1854.7
File size [kB] = 262144 Run=1					478.63	537.36	634.87	802.56	980.93	982.77	1014.77	1024.18	2262.52
File size [kB] = 262144 Run=2					468.0	528.51	633.53	808.28	941.69	991.82	980.88	1021.58	2284.45
File size [kB] = 262144 Run=3					470.05	519.63	635.99	806.63	946.23	988.79	984.33	1026.07	2379.63
File size [kB] = 262144 Run=4					467.54	524.63	632.96	806.08	941.81	990.14	985.43	1063.38	2076.05
File size [kB] = 262144 Run=5					462.99	519.87	631.67	800.45	942.84	984.72	982.21	1076.25	2275.79
File size [kB] = 524288 Run=1					46.56	66.48	72.26	99.36	127.74	130.55	135.54	138.29	135.55
File size [kB] = 524288 Run=2					42.79	65.52	82.84	113.94	133.76	142.89	141.8	154.67	155.13
File size [kB] = 524288 Run=3					43.29	66.38	79.0	112.18	135.87	141.33	145.93	142.78	130.59
File size [kB] = 524288 Run=4					41.57	67.49	85.82	115.45	131.68	146.33	150.47	148.01	133.13
File size [kB] = 524288 Run=5					43.08	62.62	78.31	107.13	128.25	135.04	134.66	135.56	132.08
File size [kB] = 1048576 Run=1					29.77	30.34	38.5	55.67	65.21	71.49	74.94	74.2	75.28
File size [kB] = 1048576 Run=2					29.74	30.45	38.58	55.47	65.34	73.33	82.1	80.22	84.26
File size [kB] = 1048576 Run=3					29.7	30.53	38.47	55.39	66.14	71.83	77.01	75.63	75.61
File size [kB] = 1048576 Run=4					28.58	29.27	38.64	55.53	73.7	91.34	103.11	109.24	112.5
File size [kB] = 1048576 Run=5					29.91	30.49	38.62	55.74	65.9	72.56	79.17	77.5	78.13
File size [kB] = 2097152 Run=1					25.12	25.48	33.03	48.49	60.29	71.32	78.44	80.08	82.94
File size [kB] = 2097152 Run=2					24.88	25.01	33.04	48.39	63.71	80.17	92.66	98.31	101.18
File size [kB] = 2097152 Run=3					24.76	25.11	33.1	47.51	60.95	73.78	84.53	86.67	88.31
File size [kB] = 2097152 Run=4					25.18	25.44	33.04	48.25	60.52	71.35	78.67	80.25	82.62
File size [kB] = 2097152 Run=5					25.23	25.47	33.09	47.31	60.02	70.91	79.79	80.7	81.6
File size [kB] = 4194304 Run=1					23.26	23.45	30.75	45.03	58.75	73.58	84.04	89.01	91.57
File size [kB] = 4194304 Run=2					23.29	23.45	30.66	45.24	59.22	74.22	84.53	89.67	92.81
File size [kB] = 4194304 Run=3					23.28	23.47	30.82	45.17	58.37	72.6	83.03	87.41	89.34
File size [kB] = 4194304 Run=4					23.27	23.45	30.73	44.96	58.59	73.23	84.12	88.69	91.59
File size [kB] = 4194304 Run=5					23.3	23.47	30.82	45.02	58.7	73.15	83.84	88.77	91.45
# Statistics (excluding 0 values)
#mean val.	136.09	227.27	333.58	507.97	530.45	583.45	722.27	779.47	867.36	886.94	834.56	828.47	876.75
#standard dev.	129.32	227.9	244.69	390.03	518.33	538.26	730.14	737.35	729.88	761.5	716.36	705.7	809.21
#ci. min. 90%	109.32	178.1	278.36	415.5	436.94	483.29	581.84	632.54	716.27	722.65	672.9	661.15	674.06
#ci. max 90%	162.87	276.43	388.8	600.45	623.95	683.61	862.71	926.41	1018.46	1051.22	996.22	995.8	1079.44
#geom. mean	105.72	166.77	277.8	421.89	286.05	314.4	369.18	419.07	479.18	487.54	461.03	444.52	428.23
#median	81.9	129.22	212.18	330.27	462.43	522.91	631.67	640.58	891.84	929.03	865.88	828.77	745.75
#first quartile	80.49	121.19	205.88	321.63	289.4	319.25	84.33	112.62	128.25	120.74	97.88	91.83	91.59
#third quartile	95.31	171.25	384.81	515.47	478.63	551.86	661.7	807.87	1007.04	1094.52	1330.9	1406.99	1519.32
#minimum	43.95	35.66	65.68	201.06	23.26	23.45	30.66	44.96	58.37	70.91	74.94	74.2	75.28
#maximum	589.34	1088.17	1106.32	1823.92	2314.99	2424.59	3941.27	3007.31	2615.23	2561.22	2273.86	2048.2	2379.63
#OOCALC formulas
#mean val.	=AVERAGE(B5:B109)
#standard dev.	=STDEV(B5:B109)
#ci. min. 90%	=AVERAGE(B5:B109)-TINV(1/10;COUNT(B5:B109)-1)*STDEV(B5:B109)/SQRT(COUNT(B5:B109))
#ci. max 90%	=AVERAGE(B5:B109)+TINV(1/10;COUNT(B5:B109)-1)*STDEV(B5:B109)/SQRT(COUNT(B5:B109))
#geom. mean	=GEOMEAN(B5:B109)
#median	=MEDIAN(B5:B109)
#first quatile	=QUARTILE(B5:B109;1)
#third quartile	=QUARTILE(B5:B109;3)
#minimum	=QUARTILE(B5:B109;0)
#maximum	=QUARTILE(B5:B109;4)
