# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
Filesize[kB] = 4 Block size [kB] = 4 Run=1	195.5	260.87	391.91	787.48	64.05	241.63	39.5	298.95	49.38	216.13	298.95	65.07	66.38
Filesize[kB] = 4 Block size [kB] = 4 Run=2	139.08	184.49	484.65	787.48	66.12	231.39	43.95	241.63	62.11	178.46	298.95	53.58	15.58
Filesize[kB] = 4 Block size [kB] = 4 Run=3	145.24	245.25	391.91	568.78	60.28	260.87	66.12	260.87	69.78	245.25	304.5	56.73	67.48
Filesize[kB] = 4 Block size [kB] = 4 Run=4	143.96	228.17	391.91	549.69	56.73	245.25	52.04	231.39	66.12	228.17	228.17	54.29	70.99
Filesize[kB] = 4 Block size [kB] = 4 Run=5	195.5	260.87	549.69	787.48	68.32	205.3	57.33	298.95	57.53	260.87	228.17	39.5	62.11
Filesize[kB] = 8 Block size [kB] = 4 Run=1	338.49	301.16	1099.39	1099.39	106.8	410.6	70.35	432.26	94.21	521.74	521.74	118.38	97.87
Filesize[kB] = 8 Block size [kB] = 4 Run=2	325.06	356.93	969.3	969.3	101.51	373.19	67.31	432.26	97.58	373.19	490.5	126.13	124.21
Filesize[kB] = 8 Block size [kB] = 4 Run=3	328.32	391.0	783.82	1099.39	101.51	373.19	71.73	438.04	100.27	483.26	483.26	96.43	105.77
Filesize[kB] = 8 Block size [kB] = 4 Run=4	190.73	97.87	783.82	715.37	92.88	260.46	35.86	309.7	88.85	456.34	521.74	95.31	88.85
Filesize[kB] = 8 Block size [kB] = 4 Run=5	338.49	373.19	969.3	783.82	91.07	260.46	70.96	325.06	95.31	456.34	410.6	88.85	105.77
Filesize[kB] = 8 Block size [kB] = 8 Run=1	373.19	432.26	998.85	765.5	83.21	243.08	110.03	490.5	99.96	456.34	490.5	107.15	105.43
Filesize[kB] = 8 Block size [kB] = 8 Run=2	301.16	342.03	998.85	715.37	100.27	312.65	98.76	373.19	91.84	410.6	368.98	96.43	90.82
Filesize[kB] = 8 Block size [kB] = 8 Run=3	356.93	415.81	866.75	998.85	110.03	391.0	100.27	462.79	94.21	438.04	432.26	99.05	104.09
Filesize[kB] = 8 Block size [kB] = 8 Run=4	290.48	391.0	715.37	715.37	108.57	386.39	92.09	325.06	111.53	301.16	356.93	110.03	118.38
Filesize[kB] = 8 Block size [kB] = 8 Run=5	373.19	338.49	715.37	866.75	37.54	325.06	96.43	462.79	101.51	456.34	391.0	90.82	88.85
Filesize[kB] = 16 Block size [kB] = 4 Run=1	501.02	625.31	1430.74	1430.74	141.91	575.86	78.88	713.86	181.64	556.31	676.98	177.7	175.79
Filesize[kB] = 16 Block size [kB] = 4 Run=2	520.93	458.92	1043.47	925.58	179.15	434.57	72.35	472.14	151.77	423.34	650.12	159.53	154.64
Filesize[kB] = 16 Block size [kB] = 4 Run=3	504.88	446.41	1430.74	1430.74	67.02	580.96	79.36	713.86	190.62	556.31	706.16	175.32	169.87
Filesize[kB] = 16 Block size [kB] = 4 Run=4	354.62	134.62	966.53	1430.74	147.67	400.08	72.67	650.12	164.74	381.45	504.88	185.76	147.34
Filesize[kB] = 16 Block size [kB] = 4 Run=5	520.93	458.92	1027.12	1430.74	175.79	381.45	73.0	676.98	67.37	412.68	650.12	149.01	173.46
Filesize[kB] = 16 Block size [kB] = 8 Run=1	556.31	676.98	980.99	1400.17	190.62	602.32	112.45	713.86	179.15	746.38	821.19	183.67	190.62
Filesize[kB] = 16 Block size [kB] = 8 Run=2	538.04	650.12	1114.45	980.99	177.7	458.92	89.8	556.31	179.65	676.98	575.86	156.11	161.1
