# iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite	rewrite	iread	reread	randrd	randwr	bkwdrd	recrewr	striderd	fwrite	frewrite	fread	freread
Filesize[kB] = 4 Block size [kB] = 4 Run=1	184.49	357.68	549.69	660.49	56.73	322.48	47.65	391.91	61.87	304.5	433.37	41.6	61.87
Filesize[kB] = 4 Block size [kB] = 4 Run=2	184.49	304.5	499.42	787.48	42.03	328.96	48.21	391.91	55.02	298.95	357.68	53.58	58.35
Filesize[kB] = 4 Block size [kB] = 4 Run=3	195.5	278.61	484.65	787.48	55.76	298.95	17.2	357.68	45.92	278.61	433.37	15.26	44.42
Filesize[kB] = 4 Block size [kB] = 4 Run=4	186.59	357.68	433.37	484.65	53.58	322.48	52.04	278.61	43.95	278.61	322.48	49.98	53.58
Filesize[kB] = 4 Block size [kB] = 4 Run=5	186.59	322.48	484.65	634.9	50.13	260.87	48.79	357.68	54.29	278.61	433.37	53.58	55.02
Filesize[kB] = 8 Block size [kB] = 4 Run=1	353.08	483.26	866.75	969.3	84.06	462.79	52.78	644.97	77.32	557.22	715.37	80.55	108.57
Filesize[kB] = 8 Block size [kB] = 4 Run=2	50.43	368.98	969.3	700.08	75.19	338.49	50.04	52.78	95.31	521.74	700.08	39.44	40.51
Filesize[kB] = 8 Block size [kB] = 4 Run=3	373.19	338.49	644.97	866.75	104.09	338.49	43.94	462.79	92.09	490.5	557.22	83.21	40.02
Filesize[kB] = 8 Block size [kB] = 4 Run=4	356.93	125.64	998.85	51.06	71.73	373.19	28.3	597.89	96.43	391.0	715.37	95.31	84.06
Filesize[kB] = 8 Block size [kB] = 4 Run=5	269.02	410.6	969.3	715.37	102.78	373.19	42.46	432.26	100.27	521.74	715.37	96.43	107.15
Filesize[kB] = 8 Block size [kB] = 8 Run=1	462.79	557.22	866.75	969.3	108.21	521.74	80.55	609.01	105.77	456.34	609.01	108.57	97.58
Filesize[kB] = 8 Block size [kB] = 8 Run=2	410.6	557.22	597.89	715.37	67.31	483.26	38.88	490.5	38.65	462.79	521.74	95.03	36.87
Filesize[kB] = 8 Block size [kB] = 8 Run=3	373.19	410.6	866.75	657.92	43.64	47.37	82.37	462.79	90.82	456.34	490.5	95.31	46.76
Filesize[kB] = 8 Block size [kB] = 8 Run=4	368.98	438.04	866.75	644.97	34.87	391.0	101.51	432.26	36.5	490.5	521.74	79.0	107.15
Filesize[kB] = 8 Block size [kB] = 8 Run=5	52.78	438.04	700.08	700.08	86.96	391.0	73.01	566.86	35.66	432.26	483.26	106.8	92.09
Filesize[kB] = 16 Block size [kB] = 4 Run=1	556.31	520.93	1315.83	1289.93	175.79	486.15	69.73	925.58	173.46	650.12	602.32	141.0	173.46
Filesize[kB] = 16 Block size [kB] = 4 Run=2	486.15	504.88	1043.47	1430.74	153.19	486.15	55.97	676.98	162.7	602.32	782.0	164.74	164.33
Filesize[kB] = 16 Block size [kB] = 4 Run=3	381.45	504.88	925.58	285.18	134.62	446.41	58.95	925.58	162.7	602.32	596.84	169.87	52.94
Filesize[kB] = 16 Block size [kB] = 4 Run=4	504.88	501.02	126.08	1315.83	100.24	434.57	53.9	684.05	159.53	602.32	821.19	80.93	120.07
Filesize[kB] = 16 Block size [kB] = 4 Run=5	504.88	520.93	1289.93	912.68	94.19	446.41	72.35	676.98	69.14	625.31	602.32	64.07	53.33
Filesize[kB] = 16 Block size [kB] = 8 Run=1	602.32	713.86	980.99	1315.83	164.33	746.38	108.54	966.53	185.76	782.0	966.53	156.48	185.76
Filesize[kB] = 16 Block size [kB] = 8 Run=2	602.32	782.0	980.99	1043.47	159.53	676.98	42.23	746.38	157.99	746.38	105.57	162.7	190.62
